,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,957,1,hamilton,131,1,1,Finished,183685,357750,529981,699092,862328,978546,1101670.0,1243196.0,1355506.0,1467957.0,1581253.0,1692727.0,1805250.0,1916979.0,2028623.0,2139272.0,2246185.0,2370772.0,2474055.0,2576179.0,2675271.0,2774886.0,2874448.0,2972602.0,3070513.0,3168236.0,3266032.0,3366972.0,3465138.0,3562578.0,3659469.0,3756898.0,3853557.0,3950915.0,4049152.0,4145763.0,4242414.0,4339377.0,4436288.0,4533467.0,4630024.0,4726323.0,4822156.0,4918348.0,5014119.0,5110139.0,5206802.0,5304234.0,5401118.0,5498623.0,5596484.0,5695831.0
1,957,3,rosberg,131,3,1,Finished,184513,358481,531045,700185,863695,982281,1108569.0,1248022.0,1360732.0,1473005.0,1585497.0,1697903.0,1809791.0,1921545.0,2033647.0,2146915.0,2256129.0,2383014.0,2485573.0,2586638.0,2687268.0,2786005.0,2884046.0,2981872.0,3079189.0,3176574.0,3274186.0,3372736.0,3470409.0,3568541.0,3666821.0,3764297.0,3861512.0,3958574.0,4055931.0,4153396.0,4251056.0,4348163.0,4444519.0,4540827.0,4636816.0,4733016.0,4828905.0,4924453.0,5020258.0,5119457.0,5217959.0,5315314.0,5412028.0,5508486.0,5605348.0,5702742.0
16,957,830,max_verstappen,9,2,1,Finished,185442,359197,531757,700796,864488,983552,1109458.0,1251058.0,1363770.0,1475618.0,1587821.0,1699337.0,1811283.0,1922872.0,2034222.0,2145622.0,2253101.0,2357871.0,2481183.0,2581930.0,2681070.0,2782569.0,2881507.0,2979505.0,3077323.0,3174738.0,3272147.0,3371365.0,3469072.0,3567925.0,3665909.0,3763562.0,3860692.0,3957877.0,4055136.0,4152732.0,4250371.0,4348696.0,4446282.0,4543074.0,4639481.0,4736381.0,4833073.0,4929775.0,5026409.0,5123008.0,5219982.0,5316671.0,5413482.0,5510138.0,5607101.0,5704081.0
10,957,817,ricciardo,9,4,1,Finished,186469,360358,533594,702973,865069,982793,1142003.0,1259874.0,1373660.0,1486243.0,1598427.0,1711009.0,1823231.0,1936120.0,2048987.0,2160027.0,2267753.0,2392198.0,2497274.0,2599572.0,2699990.0,2799940.0,2898753.0,2998008.0,3096035.0,3193525.0,3290967.0,3388781.0,3486415.0,3583572.0,3680966.0,3779274.0,3876891.0,3973992.0,4071071.0,4169110.0,4267516.0,4364756.0,4461843.0,4558808.0,4655618.0,4752665.0,4849949.0,4947355.0,5044646.0,5141610.0,5238343.0,5335578.0,5432328.0,5529502.0,5626029.0,5722042.0
3,957,8,raikkonen,6,5,1,Finished,187914,361583,534859,704193,862545,1001900,1142767.0,1263383.0,1378819.0,1493189.0,1607332.0,1720569.0,1833069.0,1946995.0,2058229.0,2166684.0,2299558.0,2406124.0,2511488.0,2613350.0,2714106.0,2813647.0,2919242.0,3019064.0,3119466.0,3218907.0,3317737.0,3416230.0,3514606.0,3612586.0,3710323.0,3807726.0,3905484.0,4002576.0,4099858.0,4197257.0,4295094.0,4392655.0,4489649.0,4586999.0,4684602.0,4782230.0,4880076.0,4978349.0,5077232.0,5175728.0,5273538.0,5371242.0,5468913.0,5567087.0,5665219.0,5765574.0
12,957,822,bottas,3,14,11,+1 Lap,188552,362274,535632,704887,863457,1004015,1145161.0,1266892.0,1384096.0,1506370.0,1622843.0,1739013.0,1854514.0,1969555.0,2083905.0,2194123.0,2325668.0,2432726.0,2538016.0,2641265.0,2743394.0,2845088.0,2946245.0,3053479.0,3154165.0,3254942.0,3355140.0,3454390.0,3553711.0,3653112.0,3752298.0,3850908.0,3949671.0,4050709.0,4149210.0,4248036.0,4346465.0,4447916.0,4546874.0,4647221.0,4747535.0,4846130.0,4943735.0,5041576.0,5138959.0,5236532.0,5337183.0,5435983.0,5534271.0,5632662.0,5731475.0,
18,957,832,sainz,5,8,1,Finished,189701,363178,536874,705939,864066,1004761,1143934.0,1264966.0,1381327.0,1496052.0,1609806.0,1722885.0,1835639.0,1949141.0,2062021.0,2174294.0,2282229.0,2409841.0,2513979.0,2615850.0,2716952.0,2816726.0,2916024.0,3016177.0,3125774.0,3225789.0,3324694.0,3423595.0,3522243.0,3620914.0,3719327.0,3817862.0,3916245.0,4014513.0,4112346.0,4209812.0,4308081.0,4406203.0,4504019.0,4601615.0,4699543.0,4797203.0,4894604.0,4992873.0,5091203.0,5189916.0,5288470.0,5387326.0,5485573.0,5583856.0,5682664.0,5781689.0
8,957,807,hulkenberg,10,7,1,Finished,190430,364035,537676,706552,864633,1005312,1145952.0,1267409.0,1384854.0,1500611.0,1614659.0,1729460.0,1843863.0,1958700.0,2073475.0,2185898.0,2292210.0,2415304.0,2517894.0,2622135.0,2722432.0,2822235.0,2921154.0,3020872.0,3121358.0,3220954.0,3320054.0,3418611.0,3517129.0,3615307.0,3713610.0,3811578.0,3909821.0,4007860.0,4106004.0,4203793.0,4301989.0,4402170.0,4500365.0,4598461.0,4696525.0,4794577.0,4892431.0,4990224.0,5087948.0,5185653.0,5283640.0,5381686.0,5479671.0,5577765.0,5675383.0,5773543.0
2,957,4,alonso,1,13,11,+1 Lap,191719,365457,539035,707353,865098,1005928,1146798.0,1267838.0,1385448.0,1501821.0,1616137.0,1730568.0,1844737.0,1958989.0,2074128.0,2187389.0,2297654.0,2420000.0,2523029.0,2626024.0,2727416.0,2827586.0,2926955.0,3049477.0,3148818.0,3248003.0,3347176.0,3447830.0,3546821.0,3645381.0,3743748.0,3841818.0,3940325.0,4038552.0,4136235.0,4234055.0,4332764.0,4430683.0,4528402.0,4646334.0,4744817.0,4843204.0,4938873.0,5035617.0,5132678.0,5229302.0,5326519.0,5423730.0,5520692.0,5618063.0,5714793.0,
9,957,815,perez,10,6,1,Finished,192245,366451,539947,708286,867232,986577,1113308.0,1253821.0,1368162.0,1482293.0,1595774.0,1709054.0,1821841.0,1934769.0,2047261.0,2158654.0,2266932.0,2389795.0,2496017.0,2598726.0,2701106.0,2802422.0,2902445.0,3001686.0,3101035.0,3200073.0,3299267.0,3397816.0,3496243.0,3594300.0,3692378.0,3797354.0,3895523.0,3993724.0,4091624.0,4191447.0,4290165.0,4388414.0,4486397.0,4584380.0,4682806.0,4781032.0,4879477.0,4977617.0,5076622.0,5176703.0,5275841.0,5376318.0,5475480.0,5574840.0,5673717.0,5772772.0
