,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,222779.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,224192.0,2,2,2,2,2,6,12,10,9,7,7,7,6,6,6,5,4,5,4,4,5,7,13,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7
2,225809.0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,227268.0,4,4,4,4,4,3,3,6,11,9,8,8,8,8,8,6,5,4,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4,227790.0,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,8,8,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
5,229373.0,6,6,6,6,6,5,7,12,12,10,9,9,9,9,9,8,7,7,8,7,7,6,6,6,6,6,6,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
6,230504.0,7,7,7,7,12,18,16,14,14,13,12,12,12,10,10,10,10,10,10,14,18,18,18,17,15,14,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8
7,232101.0,8,8,10,12,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,232228.0,9,9,8,9,7,7,5,4,4,4,5,5,5,5,4,4,3,3,5,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
9,233173.0,10,10,9,8,8,8,6,5,5,5,4,4,4,4,5,9,9,9,9,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,233840.0,11,11,11,10,9,9,8,8,7,12,18,17,17,17,17,16,16,16,16,16,14,14,14,12,11,13,19,19,18,17,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,0
11,234456.0,12,12,12,11,14,19,17,15,15,16,14,14,14,14,13,12,12,12,12,11,10,10,9,13,18,16,15,13,12,12,12,12,12,12,12,12,12,14,14,14,15,16,0,0,0,0,0,0,0,0,0
12,236368.0,13,14,14,14,11,11,13,19,18,18,16,16,16,16,16,15,15,14,14,13,12,12,12,16,19,19,18,17,17,16,15,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,0
13,235008.0,14,13,13,13,10,10,9,7,6,6,6,6,7,7,7,7,6,6,6,8,13,13,10,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9
14,237333.0,15,15,15,15,13,15,19,17,17,17,15,15,15,15,15,14,13,13,13,12,11,11,11,11,12,18,16,15,14,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11
15,238885.0,16,16,16,16,15,12,10,9,8,8,10,10,10,11,11,12,14,15,15,15,15,15,15,14,13,11,13,12,16,19,20,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0
16,239080.0,17,17,17,17,16,14,14,18,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,17,17,17,18,19,20,19,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,0
17,239761.0,18,18,18,21,21,20,18,16,16,15,13,13,13,13,12,11,11,11,11,10,9,9,8,8,9,9,10,16,15,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,240620.0,19,19,19,18,19,16,15,13,13,14,17,19,19,19,19,19,18,18,18,18,17,17,17,18,16,15,14,14,13,15,17,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,0
19,240782.0,20,20,20,19,17,13,11,11,10,11,11,11,11,12,14,17,19,19,19,19,19,19,20,20,20,21,20,20,20,18,18,17,17,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,0
20,241938.0,21,21,21,20,18,17,20,20,19,19,19,18,18,18,18,18,17,17,17,17,16,16,16,15,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,14,14,14,0
21,276619.0,22,22,22,22,22,21,21,21,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,18,0,0
