,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
0,958,1,hamilton,131,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,16121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,958,3,rosberg,131,2,1,Finished,1076,1401,1404,1621,1405,1402,1436,1812,1768,2033,2215,2555,2655,2510,2557,0,0,1416,1101,1059,963,1135,1183,1142,1169,1133,1391,1407,1548,1839,2020,2046,1950,2809,2665,2519,2537,2437,2473,2503,0,0,4522,3116,2422,2124,1785,1837,2328,1958,1768,619,1208,1229,2688,2953,2747,2378,2116,1931,1523.0,687.0,1137.0,1350.0,1278.0,1339.0,927.0,1272.0,2067.0,1977.0
2,958,817,ricciardo,9,3,1,Finished,1927,2224,2383,2465,2673,2740,2941,3282,3804,4498,5143,5888,6932,7679,10438,28728,26024,9601,8649,7598,6813,6463,5996,5712,5501,5462,5615,5132,4789,4675,4991,5156,6665,24932,24411,24823,24982,25506,26612,26986,25081,23073,8352,7537,7394,7573,7126,7371,6938,7776,8623,8470,9424,10505,10645,10959,13102,14412,15196,15949,16423.0,17152.0,17420.0,18839.0,19860.0,21334.0,22390.0,24056.0,26069.0,27539.0
3,958,830,max_verstappen,9,5,1,Finished,2513,2889,3147,3302,3462,3674,3661,4188,4744,5691,6506,7481,8898,9974,11526,12913,30802,14639,14575,14660,14177,14203,14217,14214,14266,14606,15831,16389,17054,17074,17135,17367,16551,17107,17555,18691,20989,24930,42764,42445,39886,38118,23102,22486,22588,22629,21807,22435,21551,21617,21863,21358,22137,23018,23512,24391,25899,27052,28984,31356,33177.0,34076.0,35048.0,37409.0,38869.0,40693.0,42026.0,44076.0,46575.0,48659.0
4,958,20,vettel,6,4,1,Finished,3058,3796,4602,4980,5280,5677,5915,6403,6766,7395,8106,8999,10228,13408,30540,29523,27621,11481,10754,10050,9351,8940,8499,7988,7606,7510,7752,7542,7187,7041,7029,7407,6710,7765,9519,10049,10720,11678,12649,13701,14904,30256,15349,14011,14131,14374,14355,14305,13028,12566,12191,11785,12541,13068,13607,13554,14849,16968,17366,18141,18588.0,18393.0,18752.0,19906.0,20957.0,22335.0,23087.0,24705.0,26724.0,28213.0
5,958,4,alonso,1,7,11,+1 Lap,3988,5526,6785,8281,9072,9829,10651,11772,12984,14585,16403,17971,19694,21326,25192,42638,42539,27697,28488,29161,29777,30752,31955,32691,33468,34202,35122,35341,35876,36645,38259,38870,38603,39812,41041,42612,44397,46211,48612,51283,50391,49752,36157,38976,58180,59174,59941,60845,60980,61958,62978,63208,64761,65879,66829,67741,69269,70906,72810,75353,76856.0,76181.0,76483.0,78559.0,79945.0,82372.0,86281.0,87750.0,90439.0,
6,958,832,sainz,5,8,11,+1 Lap,4586,6362,7640,9106,10388,11233,12232,13237,14501,16092,17775,19645,21544,22999,24328,25922,43856,28643,29223,30141,30803,32352,33628,34766,35593,36592,37563,37966,38677,39886,40944,41873,41882,43247,44743,46493,48460,50520,52905,55175,55048,58731,63149,62327,63057,63830,64406,65211,65109,66409,67077,66880,68458,69643,70636,71739,73261,74598,76371,78550,81233.0,81494.0,82503.0,87407.0,88769.0,90411.0,90838.0,92423.0,93921.0,
7,958,18,button,1,22,44,Oil leak,4998,7063,8619,11136,32409,34410,37618,56121,56772,61045,75318,76948,78917,80500,82156,81257,80451,65374,65632,66101,66402,67206,67795,68777,70465,72763,75090,79557,99230,100406,101657,105036,105546,107592,111490,114035,116271,120810,123411,125565,126380,127245,114410,115560,117679,119726,121144,123050,124141,125941,127488,128409,131037,133836,136361,138835,141928,144777,147936,163372,,,,,,,,,,
8,958,822,bottas,3,9,11,+1 Lap,5614,7649,9520,11316,12247,13093,13974,15465,16964,18828,20631,22420,24612,26422,28329,31207,48263,33698,33581,34002,34691,35654,36633,37768,39071,40285,41716,42420,43304,44372,45533,46424,46377,47737,49263,50860,52651,54596,56808,59013,58881,59063,49279,66824,67396,68356,68633,69593,69643,70604,71196,71115,72514,73830,74937,76024,77611,78658,79946,81587,83886.0,86594.0,87988.0,91031.0,92907.0,94947.0,96447.0,98496.0,101189.0,
9,958,807,hulkenberg,10,10,11,+1 Lap,5972,8270,10235,11762,13185,14184,15240,16684,18505,20485,22673,25174,28037,33988,53306,51291,50797,36369,37354,38964,40634,42655,44806,46990,49318,49546,50211,50877,51545,52389,53285,54119,53864,55404,57297,59548,61932,64481,69743,90361,89023,88219,74363,74624,76128,77599,78246,78914,78876,79644,80563,81102,83235,86572,89530,90612,92238,93865,95517,97479,98951.0,99105.0,99856.0,101653.0,103134.0,104752.0,105562.0,106737.0,108280.0,
