,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,rosberg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,vettel,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,raikkonen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,bottas,4,4,4,4,4,4,4,4,4,4,5,5,7,12,10,8,6,6,5,5,5,5,5,5,5,5,5,5,5,6,9,9,8,8,8,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
4,ricciardo,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,4,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5
5,hamilton,6,5,5,5,5,5,5,5,5,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,perez,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,10,8,8,8,8,8,7,7,7,7,7,7,8,11,11,11,10,10,9,9,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8
7,massa,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,5,11,11,10,10,10,10,10,9,9,9,9,9,8,8,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,alonso,9,9,9,9,9,9,9,10,10,10,10,10,11,16,16,15,14,14,13,13,13,12,12,12,12,12,12,11,10,10,10,11,11,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,0
9,hulkenberg,10,10,10,10,11,11,11,11,11,11,11,11,9,9,15,14,13,12,12,12,11,11,11,11,11,10,10,10,9,9,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,max_verstappen,11,11,11,11,10,10,10,9,9,9,9,9,10,15,14,13,10,10,9,9,9,8,8,8,8,8,8,7,7,7,6,6,6,6,6,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
11,wehrlein,12,13,13,13,13,13,13,13,13,13,13,13,13,10,9,11,16,16,16,15,15,15,15,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,grosjean,13,12,12,12,12,12,12,12,12,12,12,12,12,8,8,7,5,5,7,7,7,9,9,10,10,11,11,12,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
13,sainz,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,9,9,9,11,11,12,13,13,16,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,15,15,14,14,14,14,14,14,14,14,14,14,14,0
14,kvyat,15,15,15,15,15,15,15,15,15,15,15,15,18,19,18,18,17,18,18,18,18,18,18,17,17,16,15,15,15,15,15,15,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,nasr,16,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,jolyon_palmer,17,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,kevin_magnussen,18,16,16,16,16,16,18,18,18,18,18,18,17,17,19,19,19,19,19,19,19,19,19,19,19,19,17,17,17,17,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
18,ericsson,19,17,17,17,17,17,16,16,16,16,16,16,15,13,12,12,12,13,14,14,14,14,14,18,18,17,16,16,16,16,16,16,15,15,14,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,0
19,gutierrez,20,18,18,18,18,18,17,17,17,17,17,17,16,14,13,16,18,17,17,17,17,16,16,14,14,14,13,13,12,12,12,12,12,12,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,0
20,ocon,21,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,15,15,15,16,16,17,17,15,16,18,18,18,18,18,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0
