,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,964,3,rosberg,131,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12103,9415,7538,5768,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,964,830,max_verstappen,9,2,1,Finished,1544,1772,2177,2848,3536,4355,4999,5315,5718,8194,25237,20846,2537,2629,2583,2478,3076,3392,3823,4018,4282,4118,4265,4620,4610,4523,5046,8658,24371,16016,14045,12354,10463,5936,4035,5527,5102,4211,4164,5679,6379,5761,5285,5603,5148,5036,4831,5132,5966,5845,5735,5686,4978.0
2,964,815,perez,10,7,1,Finished,2692,4034,6658,8388,9873,11283,12658,13795,14462,15420,16183,16565,20664,22501,24122,27177,28489,31245,32316,33412,34573,35568,37032,38340,39556,40236,40811,41786,42722,54480,52499,51214,49774,45847,44352,45487,46181,46477,46805,47786,48498,48536,49396,49882,50533,51174,51730,52575,53689,54285,55234,56034,57495.0
3,964,20,vettel,6,4,1,Finished,3417,4282,4681,5450,5779,6477,7058,7359,7465,7624,7392,7149,7151,6551,6050,5822,6255,6303,6843,6992,7034,6826,6793,7031,6953,6776,6822,7470,6596,0,0,0,0,0,15085,14048,13114,12287,11483,11307,10925,10257,10813,11514,11308,11911,12670,13196,14449,15795,17309,18992,20269.0
4,964,817,ricciardo,9,6,1,Finished,3773,5262,7223,8994,10417,12202,13822,14654,15537,18600,37573,35975,18943,20427,22140,23563,24272,24771,25647,26090,26722,26797,27033,27674,27950,28244,28686,29535,28413,22247,22642,25610,45509,39811,36958,36314,35129,33472,32096,31415,30854,29188,28740,29089,29633,29338,29286,29546,30266,31563,32448,33687,33941.0
5,964,807,hulkenberg,10,8,1,Finished,4557,6245,8206,10235,12235,15749,18650,20031,21097,22028,25503,40388,23007,24277,24973,27584,31466,32814,35932,38749,39686,40562,41470,42756,43697,44235,44804,47643,62546,55229,54100,53644,52456,48713,47589,48869,49567,49547,49840,50960,51762,52015,52825,53907,54532,55307,55783,56692,58236,58860,59589,59769,59177.0
6,964,8,raikkonen,6,5,1,Finished,4914,6783,8670,10819,12534,13333,14561,15892,16286,17035,17256,17408,20799,21216,23574,24052,27088,26811,27148,27365,27785,28097,28226,28614,28770,31286,47894,46223,42297,33527,31232,28804,25992,21111,18997,19474,18994,18110,18057,18836,19383,18145,17984,18284,19186,20293,21775,23787,25525,26263,27722,28095,28370.0
7,964,1,hamilton,131,3,1,Finished,5535,7458,9449,11413,13237,16069,16791,17148,17359,17816,18062,15963,549,19721,19660,19618,19649,19669,19817,19676,19543,19016,18441,18258,17792,17162,16711,16444,13718,6000,4841,4234,6013,17732,14410,13407,12177,11071,9965,9722,8889,7726,7483,6646,6125,5731,5508,5846,6931,6733,6367,7329,5776.0
8,964,154,grosjean,210,11,1,Finished,6443,8543,10818,13344,15542,18322,20807,22745,24561,28407,48562,45042,28131,30854,33672,34857,37333,39019,41736,44917,47998,50930,52737,55553,56910,58297,59438,60634,59874,56615,76903,75382,73914,70426,69238,71094,72678,73498,75403,76994,78977,79855,80869,82163,83682,84965,86408,88206,90481,92948,95251,97429,99254.0
9,964,821,gutierrez,210,20,11,+1 Lap,7016,9248,11792,14365,16677,19215,21870,23767,25933,27620,31999,51763,35083,38749,41158,43718,47471,51067,60643,63456,66401,69359,72385,75307,78621,81948,84208,88670,107862,100707,100983,103341,104355,101835,103174,106536,109746,112968,116642,119804,122013,123349,127203,130077,132726,135055,137328,139880,142983,145353,147517,149833,
10,964,826,kvyat,5,13,11,+1 Lap,7482,10315,12886,15808,18262,20762,23096,25135,26920,30863,50777,49837,33750,36684,39072,42100,45766,49598,53442,56905,60384,63942,69204,90505,90533,91457,92351,94212,94284,88955,88420,88617,88212,86531,86024,88431,90154,91654,93249,95582,98844,99677,101620,105749,107786,111084,112851,115072,117142,118662,120007,121035,
11,964,832,sainz,5,17,11,+1 Lap,7944,10966,13730,16603,19218,21624,24032,25929,27620,29592,30680,28920,15647,37619,40336,43045,46884,50560,55999,58294,61556,64836,68538,71341,74950,77377,80007,81796,83044,77190,78444,79082,79276,77042,77258,80324,85379,104976,105772,108807,109579,110098,112312,114447,117761,119578,121347,124472,128951,131101,133264,134486,
12,964,822,bottas,3,10,1,Finished,8609,11926,14943,17990,20793,23611,25881,27806,29508,30924,32430,31016,15253,17795,20581,23278,26865,31023,35496,39086,42384,45140,47899,50943,53583,58311,81144,82589,80761,73808,73302,72922,71964,68664,68078,70531,71959,73041,74615,76231,77324,77564,78837,80531,82075,83479,85047,87185,89823,92165,94629,97017,98323.0
13,964,13,massa,3,9,1,Finished,9167,12566,16041,19305,22190,24824,27269,29143,30740,32227,33557,32171,16672,19588,23481,26867,31312,35307,38685,41996,44951,47857,51194,57229,78951,79127,80566,82232,80139,73190,72388,71908,71046,67730,66735,68557,69674,70408,71441,73224,74549,75936,77622,79299,81013,82458,84178,86296,89099,91393,93883,96188,97763.0
14,964,4,alonso,1,16,11,+1 Lap,9637,12834,16241,20523,23036,25580,27870,30057,34343,52784,52710,51221,34683,37263,39985,42645,46332,50246,53834,57446,60900,64408,67881,70778,74559,77058,81128,101343,99607,93660,94675,94970,95278,92877,92936,96116,99429,100350,102972,105262,108564,109618,111826,113936,116136,117969,120893,124150,126957,128965,132008,133604,
15,964,835,jolyon_palmer,4,12,11,+1 Lap,10092,13989,17714,21725,24985,27690,30076,32397,34008,35130,36473,35426,20412,25839,28629,31382,34616,37750,41250,44489,47587,50598,54703,58272,63843,85320,86549,87430,86258,80571,81810,82261,82802,80910,81745,83614,84900,85636,86598,88412,89776,90431,91547,92867,94365,95978,99615,105017,108107,110369,112865,114991,
16,964,828,ericsson,15,15,11,+1 Lap,10247,14600,18411,22402,25751,28986,31902,33951,35986,37627,39395,38030,23873,27239,30201,33132,36934,41192,45056,48758,52419,55775,59562,63454,66962,73168,94752,95493,96247,92403,94152,94571,94760,92390,92356,94987,96988,99350,100987,104431,107021,108846,110971,113195,115230,117204,119164,121401,124948,127050,129321,131456,
17,964,825,kevin_magnussen,4,14,11,+1 Lap,10874,15473,19317,23397,26782,30214,33229,35540,37421,38995,41023,39959,25844,29989,33384,37699,41336,45048,48940,52345,55667,58992,63058,67081,72817,93362,93724,95136,96112,92218,93804,93833,93799,91287,91024,93635,95277,96636,99325,101520,103304,106176,109746,111482,113136,114955,117063,119200,121784,124167,127970,130702,
18,964,831,nasr,15,19,11,+1 Lap,11285,16057,20260,24133,27779,31300,34070,36658,39028,40879,42527,42288,27465,31875,35125,38754,42771,46871,51477,55304,59398,62829,66451,70333,78482,101133,103645,104434,103605,99737,100501,101471,101770,101074,102614,105466,107900,112026,114264,118563,120615,121765,123918,126063,129218,131023,133011,135627,138874,141584,144097,146764,
