,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,966.0,1.0,hamilton,1.0,1.0,Finished,98829.0,220206.0,339546.0,422943.0,505988.0,589237.0,672578.0,755972.0,839489.0,922854.0,1006265.0,1089645.0,1173103.0,1256472.0,1339852.0,1423228.0,1509941.0,1611687.0,1694680.0,1778224.0,1862402.0,1946413.0,2029877.0,2113556.0,2197450.0,2281028.0,2365022.0,2448848.0,2532669.0,2616534.0,2700811.0,2784557.0,2868190.0,2951892.0,3035417.0,3118591.0,3201704.0,3285854.0,3369039.0,3452568.0,3536225.0,3619902.0,3703034.0,3785905.0,3869484.0,3953147.0,4036796.0,4119919.0,4203765.0,4286545.0,4369476.0,4453075.0,4536095.0,4619387.0,4702438.0,4785250.0,4868435.0,4951751.0,5034757.0,5117621.0,5200899.0,5283725.0,5366599.0,5449413.0,5532046.0,5614642.0,5697885.0,5780783.0,5863725.0,5947184.0,6031402.0
2,966.0,3.0,rosberg,2.0,1.0,Finished,99961.0,220878.0,340201.0,423980.0,507420.0,591062.0,674760.0,758666.0,842392.0,926200.0,1010125.0,1093821.0,1177548.0,1261194.0,1345071.0,1428945.0,1512289.0,1595734.0,1679484.0,1766126.0,1868486.0,1951922.0,2035387.0,2119296.0,2202664.0,2286258.0,2370069.0,2453802.0,2537561.0,2621113.0,2705339.0,2789506.0,2873059.0,2956464.0,3039691.0,3122951.0,3206645.0,3289846.0,3373286.0,3456731.0,3540260.0,3624125.0,3706917.0,3790096.0,3873258.0,3956605.0,4040376.0,4124208.0,4208568.0,4292855.0,4376637.0,4459959.0,4542827.0,4625927.0,4709232.0,4792386.0,4875792.0,4959095.0,5042058.0,5125212.0,5208414.0,5291572.0,5374811.0,5458140.0,5541232.0,5624250.0,5707256.0,5790390.0,5873620.0,5956943.0,6039756.0
17,966.0,830.0,max_verstappen,4.0,1.0,Finished,100751.0,221492.0,340673.0,424651.0,508048.0,591770.0,675752.0,759578.0,843424.0,927873.0,1012372.0,1100001.0,1201889.0,1286237.0,1369804.0,1453411.0,1536571.0,1619963.0,1704019.0,1788489.0,1872313.0,1955846.0,2039025.0,2122433.0,2205911.0,2289336.0,2372899.0,2456593.0,2540097.0,2623724.0,2707383.0,2791241.0,2874492.0,2957931.0,3041232.0,3124488.0,3207771.0,3291407.0,3374550.0,3458195.0,3541630.0,3625070.0,3708519.0,3791875.0,3875100.0,3958041.0,4041528.0,4125304.0,4209188.0,4295565.0,4378780.0,4462362.0,4545389.0,4628631.0,4712125.0,4795269.0,4878424.0,4962115.0,5045261.0,5128472.0,5211840.0,5295113.0,5378291.0,5461785.0,5545289.0,5628176.0,5711646.0,5795440.0,5879397.0,5963709.0,6047725.0
9,966.0,807.0,hulkenberg,7.0,1.0,Finished,101261.0,222472.0,341147.0,425399.0,509220.0,593117.0,677193.0,761228.0,845226.0,929586.0,1013928.0,1098570.0,1183294.0,1271329.0,1374389.0,1458760.0,1542754.0,1626773.0,1711139.0,1795406.0,1879966.0,1964356.0,2048613.0,2132843.0,2217185.0,2301689.0,2387118.0,2471660.0,2555802.0,2639931.0,2724012.0,2808371.0,2892574.0,2976886.0,3060995.0,3144782.0,3228494.0,3312387.0,3396354.0,3480157.0,3564032.0,3647755.0,3731730.0,3815318.0,3898693.0,3982366.0,4066049.0,4150149.0,4235576.0,4318864.0,4402725.0,4487661.0,4571807.0,4655852.0,4739709.0,4823510.0,4907229.0,4990996.0,5074639.0,5158201.0,5241860.0,5325663.0,5409622.0,5493705.0,5577457.0,5661009.0,5752353.0,5836918.0,5921432.0,6005605.0,6090293.0
4,966.0,8.0,raikkonen,6.0,1.0,Finished,104181.0,223965.0,341839.0,426291.0,510399.0,594221.0,678580.0,762506.0,846485.0,930589.0,1014847.0,1099304.0,1183939.0,1268924.0,1352391.0,1436195.0,1520082.0,1603707.0,1687461.0,1774788.0,1877782.0,1961767.0,2045719.0,2129709.0,2213452.0,2297264.0,2381039.0,2465136.0,2549208.0,2632939.0,2716677.0,2800647.0,2884430.0,2967973.0,3051436.0,3134525.0,3217790.0,3301026.0,3384149.0,3467416.0,3550967.0,3634219.0,3717659.0,3801132.0,3887627.0,3990104.0,4072616.0,4155699.0,4238821.0,4322097.0,4406172.0,4489461.0,4572622.0,4656675.0,4740637.0,4824350.0,4908658.0,4992259.0,5075633.0,5159069.0,5242577.0,5326986.0,5410772.0,5494450.0,5578172.0,5661569.0,5746221.0,5829653.0,5913580.0,5996467.0,6080778.0
11,966.0,817.0,ricciardo,3.0,1.0,Finished,105827.0,235277.0,347868.0,434674.0,521677.0,607379.0,691725.0,777047.0,861523.0,945489.0,1029637.0,1115228.0,1198770.0,1282889.0,1366676.0,1450523.0,1534334.0,1618158.0,1703073.0,1787918.0,1871502.0,1956885.0,2040777.0,2124393.0,2207793.0,2291749.0,2375470.0,2459344.0,2542991.0,2626747.0,2710477.0,2794624.0,2878475.0,2962120.0,3045477.0,3128827.0,3212149.0,3295601.0,3379149.0,3462575.0,3546291.0,3630162.0,3713538.0,3797051.0,3879966.0,3963226.0,4046549.0,4130162.0,4214289.0,4301580.0,4403360.0,4485612.0,4566746.0,4649657.0,4732188.0,4813532.0,4895451.0,4977738.0,5060545.0,5142230.0,5223892.0,5305601.0,5387801.0,5469712.0,5551246.0,5632930.0,5714275.0,5797128.0,5880552.0,5967021.0,6052260.0
5,966.0,13.0,massa,9.0,1.0,Finished,106260.0,224770.0,342477.0,427497.0,511825.0,596083.0,680366.0,764860.0,849072.0,933558.0,1018153.0,1103032.0,1189114.0,1277857.0,1381744.0,1467102.0,1552463.0,1637570.0,1722337.0,1807072.0,1891749.0,1976238.0,2062065.0,2147323.0,2232643.0,2317263.0,2401998.0,2486837.0,2571504.0,2656041.0,2740725.0,2825500.0,2910071.0,2994747.0,3079190.0,3163555.0,3247819.0,3332341.0,3417142.0,3501962.0,3586336.0,3670389.0,3754358.0,3838379.0,3922449.0,4006513.0,4090436.0,4174583.0,4258714.0,4342993.0,4427670.0,4512175.0,4596627.0,4680652.0,4764421.0,4848476.0,4932503.0,5016496.0,5100418.0,5184343.0,5268186.0,5351863.0,5435697.0,5519273.0,5603059.0,5686921.0,5770805.0,5855150.0,5939178.0,6023282.0,6107608.0
7,966.0,20.0,vettel,5.0,1.0,Finished,107198.0,225391.0,343038.0,428271.0,512644.0,596870.0,680968.0,765547.0,849758.0,934156.0,1018718.0,1103498.0,1189762.0,1275379.0,1358816.0,1442424.0,1525773.0,1608970.0,1692619.0,1776264.0,1859717.0,1943072.0,2026377.0,2109693.0,2193224.0,2276999.0,2360967.0,2444744.0,2528910.0,2612848.0,2697073.0,2784500.0,2886835.0,2970236.0,3053516.0,3136909.0,3219925.0,3303005.0,3386020.0,3469071.0,3552134.0,3635587.0,3718750.0,3802249.0,3885483.0,3968710.0,4051369.0,4134734.0,4217956.0,4301150.0,4384648.0,4468257.0,4551474.0,4635148.0,4718854.0,4801616.0,4884441.0,4967336.0,5050103.0,5132888.0,5215385.0,5298094.0,5380894.0,5463567.0,5546351.0,5629214.0,5712260.0,5796054.0,5880058.0,5965582.0,6048715.0
13,966.0,822.0,bottas,8.0,1.0,Finished,108526.0,226250.0,343437.0,429375.0,513873.0,598247.0,682679.0,767042.0,851410.0,936357.0,1021119.0,1105542.0,1190696.0,1276108.0,1361269.0,1446242.0,1531128.0,1616127.0,1704915.0,1808154.0,1892564.0,1976741.0,2060784.0,2145057.0,2229275.0,2313637.0,2398018.0,2482290.0,2566795.0,2651039.0,2735357.0,2819846.0,2904183.0,2988547.0,3072773.0,3157191.0,3241215.0,3325318.0,3409413.0,3493415.0,3577525.0,3661705.0,3745517.0,3829577.0,3913637.0,3997697.0,4081990.0,4166285.0,4250522.0,4334472.0,4418554.0,4502464.0,4586499.0,4670512.0,4754456.0,4838293.0,4922460.0,5006341.0,5090241.0,5173797.0,5257422.0,5341194.0,5424808.0,5508412.0,5591952.0,5675638.0,5759649.0,5843515.0,5927739.0,6012268.0,6097014.0
10,966.0,815.0,perez,10.0,1.0,Finished,109395.0,227360.0,343996.0,429910.0,514582.0,599200.0,683447.0,767812.0,852110.0,937036.0,1021952.0,1106187.0,1191283.0,1276482.0,1362014.0,1446932.0,1531957.0,1616668.0,1702408.0,1790437.0,1893347.0,1977444.0,2062503.0,2147805.0,2233753.0,2318401.0,2402680.0,2487436.0,2572103.0,2656828.0,2741601.0,2826231.0,2910757.0,2995329.0,3079904.0,3164465.0,3248461.0,3332971.0,3417626.0,3502649.0,3587420.0,3671276.0,3755330.0,3839310.0,3923432.0,4007498.0,4091481.0,4175576.0,4259927.0,4344187.0,4428587.0,4512877.0,4597318.0,4681462.0,4765527.0,4849769.0,4933885.0,5017921.0,5102143.0,5185985.0,5269741.0,5353348.0,5437015.0,5520742.0,5604446.0,5688515.0,5772768.0,5856546.0,5940393.0,6024311.0,6108200.0
19,966.0,832.0,sainz,16.0,11.0,+1 Lap,111452.0,228854.0,344450.0,430441.0,515445.0,600510.0,685675.0,770700.0,856219.0,941596.0,1027368.0,1117401.0,1221763.0,1306390.0,1391241.0,1476184.0,1561285.0,1646354.0,1732028.0,1817532.0,1903282.0,1988656.0,2073881.0,2159261.0,2244730.0,2330240.0,2415638.0,2501402.0,2587007.0,2672252.0,2757878.0,2843479.0,2928989.0,3014392.0,3099723.0,3184679.0,3269475.0,3354319.0,3439569.0,3524486.0,3609852.0,3695006.0,3779908.0,3865516.0,3950616.0,4035986.0,4121921.0,4207563.0,4297666.0,4382713.0,4469331.0,4553798.0,4639078.0,4724323.0,4809102.0,4893915.0,4980244.0,5065010.0,5150287.0,5235385.0,5321071.0,5406184.0,5491256.0,5576813.0,5663493.0,5749015.0,5834609.0,5920180.0,6007256.0,6092263.0,
3,966.0,4.0,alonso,13.0,11.0,+1 Lap,113143.0,230118.0,345029.0,431276.0,516708.0,601724.0,686729.0,771670.0,857152.0,942633.0,1027972.0,1114814.0,1201016.0,1287258.0,1372573.0,1461299.0,1565123.0,1649837.0,1734998.0,1820017.0,1905447.0,1990731.0,2075952.0,2161413.0,2246678.0,2332334.0,2417739.0,2503273.0,2588775.0,2674230.0,2759564.0,2845077.0,2930642.0,3015822.0,3100951.0,3186122.0,3271218.0,3355940.0,3441234.0,3526167.0,3611369.0,3696443.0,3781258.0,3866650.0,3954696.0,4059544.0,4143746.0,4227862.0,4311927.0,4396049.0,4480155.0,4563880.0,4647644.0,4731841.0,4816129.0,4899972.0,4983837.0,5067581.0,5151412.0,5235919.0,5319604.0,5403676.0,5488340.0,5572663.0,5658163.0,5744069.0,5828013.0,5911783.0,5995451.0,6081399.0,
14,966.0,825.0,kevin_magnussen,17.0,11.0,+1 Lap,113664.0,230902.0,345534.0,432379.0,519399.0,604749.0,690368.0,775658.0,860986.0,947363.0,1032949.0,1121369.0,1225481.0,1310528.0,1396016.0,1481775.0,1567370.0,1652753.0,1738714.0,1826438.0,1911951.0,1997488.0,2082817.0,2168081.0,2253470.0,2339153.0,2424944.0,2510874.0,2598217.0,2684235.0,2769855.0,2855518.0,2940780.0,3025936.0,3111188.0,3196331.0,3281164.0,3366371.0,3451529.0,3538453.0,3623593.0,3710987.0,3796368.0,3882738.0,3968167.0,4054096.0,4140402.0,4226049.0,4311381.0,4399302.0,4488628.0,4590138.0,4673284.0,4757047.0,4840664.0,4924662.0,5008463.0,5092082.0,5175923.0,5259611.0,5343476.0,5427265.0,5511276.0,5595151.0,5679127.0,5763234.0,5847525.0,5932051.0,6016515.0,6101268.0,
6,966.0,18.0,button,12.0,11.0,+1 Lap,115056.0,231747.0,346012.0,432725.0,519895.0,605490.0,691044.0,776714.0,862837.0,948263.0,1033724.0,1119628.0,1205396.0,1291690.0,1377261.0,1462838.0,1551003.0,1654525.0,1739271.0,1824513.0,1909356.0,1993919.0,2078989.0,2164021.0,2248804.0,2334140.0,2419303.0,2504337.0,2589762.0,2675172.0,2760555.0,2845765.0,2931496.0,3016596.0,3101847.0,3187018.0,3272066.0,3356673.0,3441913.0,3527049.0,3612234.0,3697508.0,3782608.0,3867717.0,3952567.0,4038271.0,4123275.0,4210649.0,4296576.0,4380879.0,4465731.0,4550222.0,4635986.0,4720609.0,4805249.0,4891338.0,4976595.0,5062612.0,5147324.0,5231364.0,5315840.0,5399884.0,5483887.0,5568118.0,5652179.0,5736430.0,5820785.0,5904990.0,5989185.0,6072962.0,
12,966.0,821.0,gutierrez,19.0,11.0,+1 Lap,116201.0,232515.0,346701.0,433360.0,521232.0,606979.0,693458.0,778952.0,864612.0,950101.0,1035804.0,1125128.0,1232206.0,1317269.0,1402284.0,1487439.0,1573316.0,1658771.0,1745213.0,1830621.0,1915997.0,2004143.0,2089754.0,2175289.0,2260770.0,2346014.0,2431350.0,2516911.0,2602090.0,2687655.0,2773325.0,2859093.0,2944227.0,3029489.0,3114125.0,3199362.0,3286538.0,3371566.0,3459279.0,3544472.0,3631346.0,3716276.0,3804406.0,3889280.0,3973887.0,4058822.0,4145871.0,4234724.0,4338475.0,4423785.0,4507744.0,4592009.0,4675803.0,4760118.0,4843945.0,4927882.0,5011629.0,5095180.0,5179134.0,5262702.0,5346505.0,5430023.0,5513479.0,5597087.0,5680794.0,5764744.0,5848721.0,5933212.0,6017544.0,6101934.0,
18,966.0,831.0,nasr,15.0,11.0,+1 Lap,116996.0,233144.0,347119.0,435076.0,522388.0,608709.0,694789.0,781323.0,867247.0,953062.0,1038716.0,1124264.0,1209711.0,1295465.0,1381032.0,1466454.0,1551836.0,1639079.0,1724632.0,1810332.0,1895877.0,1981085.0,2066405.0,2151590.0,2237094.0,2323529.0,2409570.0,2495461.0,2581084.0,2666466.0,2751861.0,2837625.0,2925229.0,3010884.0,3095973.0,3181247.0,3266608.0,3351712.0,3436694.0,3521816.0,3607185.0,3692435.0,3777628.0,3862760.0,3947786.0,4032761.0,4117871.0,4203202.0,4292530.0,4396905.0,4480860.0,4564738.0,4648782.0,4734062.0,4818176.0,4903138.0,4987247.0,5070904.0,5155056.0,5239410.0,5323750.0,5408129.0,5493305.0,5580035.0,5665331.0,5750944.0,5837749.0,5923758.0,6009309.0,6095456.0,
