,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,965,1,hamilton,131,1,1,Finished,104036,208328.0,312487.0,416684.0,521100.0,624749.0,728606.0,832252.0,935709.0,1039540.0,1143220.0,1266004.0,1369749.0,1473867.0,1577894.0,1681602.0,1785304.0,1888747.0,1992118.0,2095774.0,2199538.0,2303276.0,2406471.0,2509812.0,2613511.0,2716782.0,2820521.0,2924324.0,3028070.0,3132366.0,3253418.0,3406982.0,3521696.0,3624533.0,3727466.0,3830122.0,3932891.0,4035822.0,4138851.0,4242639.0,4345844.0,4448611.0,4551458.0,4654593.0,4756979.0,4860181.0,4963811.0,5067235.0,5170953.0,5274828.0,5377870.0,5480399.0,5583256.0,5685750.0,5788604.0,5892618.0
10,965,817,ricciardo,9,3,1,Finished,104920,209400.0,313733.0,417901.0,522266.0,626672.0,730963.0,835302.0,958767.0,1062810.0,1166550.0,1270278.0,1374551.0,1478414.0,1582153.0,1686131.0,1789987.0,1893749.0,1997217.0,2101114.0,2205328.0,2309389.0,2413548.0,2517878.0,2622370.0,2743986.0,2847352.0,2950279.0,3053929.0,3158042.0,3290095.0,3426187.0,3535569.0,3638403.0,3741571.0,3844884.0,3947756.0,4050798.0,4154515.0,4258206.0,4361800.0,4464580.0,4567436.0,4670327.0,4773050.0,4876108.0,4979747.0,5083035.0,5186108.0,5289057.0,5391612.0,5494406.0,5597512.0,5701292.0,5805950.0,5912310.0
1,965,3,rosberg,131,2,1,Finished,105682,210317.0,314676.0,419076.0,523260.0,627899.0,732247.0,836921.0,941068.0,1045826.0,1169455.0,1273224.0,1377399.0,1480787.0,1584160.0,1687998.0,1791520.0,1895097.0,1998589.0,2102306.0,2206757.0,2310865.0,2414869.0,2518875.0,2623067.0,2726284.0,2829634.0,2933812.0,3038237.0,3142986.0,3268698.0,3423636.0,3533016.0,3634913.0,3737147.0,3839879.0,3943272.0,4046277.0,4149512.0,4253178.0,4355412.0,4457687.0,4560715.0,4664208.0,4767355.0,4870489.0,4973766.0,5076277.0,5178930.0,5281459.0,5384006.0,5486970.0,5589448.0,5691826.0,5794341.0,5897138.0
3,965,8,raikkonen,6,19,36,Wheel,106308,211115.0,315469.0,419904.0,524278.0,628780.0,733203.0,838090.0,961934.0,1065960.0,1170452.0,1274746.0,1379822.0,1483857.0,1587738.0,1691659.0,1795539.0,1899557.0,2003565.0,2107755.0,2212238.0,2316866.0,2421791.0,2526765.0,2647789.0,2749630.0,2852187.0,2954813.0,3057775.0,3160911.0,3293813.0,3430571.0,3538405.0,3640410.0,3742942.0,3845950.0,3949011.0,4052749.0,,,,,,,,,,,,,,,,,,
16,965,830,max_verstappen,9,20,6,Gearbox,108017,213005.0,317566.0,421698.0,526138.0,630833.0,735254.0,839861.0,944711.0,1068503.0,1172802.0,1275895.0,1378951.0,1482411.0,1585470.0,1688969.0,1792311.0,1895923.0,1999511.0,2103822.0,2208504.0,2313350.0,2418045.0,2522166.0,2626810.0,2731770.0,2865695.0,2968119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,965,20,vettel,6,4,1,Finished,108486,213797.0,318501.0,423062.0,527986.0,632631.0,736906.0,841339.0,945920.0,1050885.0,1155417.0,1260075.0,1365131.0,1470965.0,1594050.0,1697146.0,1800327.0,1903757.0,2007326.0,2110729.0,2214539.0,2318435.0,2422733.0,2527148.0,2630812.0,2734697.0,2838663.0,2942366.0,3046598.0,3168995.0,3302115.0,3438726.0,3545821.0,3648796.0,3752392.0,3855877.0,3959161.0,4062323.0,4165583.0,4269041.0,4372293.0,4476041.0,4579352.0,4682801.0,4786228.0,4890776.0,4994499.0,5097623.0,5200306.0,5303017.0,5405920.0,5509141.0,5613404.0,5735317.0,5835194.0,5935752.0
4,965,13,massa,3,7,11,+1 Lap,109244,215226.0,320781.0,426046.0,531233.0,636965.0,742427.0,848148.0,953805.0,1060005.0,1166283.0,1289579.0,1393703.0,1498110.0,1602646.0,1707442.0,1811824.0,1916597.0,2021098.0,2125688.0,2231080.0,2336016.0,2441128.0,2546198.0,2652179.0,2757675.0,2863931.0,2970810.0,3077945.0,3210342.0,3349801.0,3479660.0,3583074.0,3686722.0,3790329.0,3894084.0,3997938.0,4102048.0,4206434.0,4310540.0,4414682.0,4519269.0,4623825.0,4727920.0,4832401.0,4937162.0,5041813.0,5146177.0,5250731.0,5355403.0,5461886.0,5567140.0,5671964.0,5777921.0,5899087.0,
18,965,832,sainz,5,6,1,Finished,109893,216098.0,321562.0,426804.0,532900.0,639105.0,744569.0,850519.0,956252.0,1062159.0,1169208.0,1295127.0,1399374.0,1504417.0,1609309.0,1714469.0,1819629.0,1924717.0,2029960.0,2134848.0,2240210.0,2345715.0,2450931.0,2556381.0,2661572.0,2766935.0,2872719.0,2978613.0,3084621.0,3191970.0,3349287.0,3478431.0,3581263.0,3684658.0,3788309.0,3892136.0,3996185.0,4100551.0,4205085.0,4309354.0,4413632.0,4518202.0,4622607.0,4726766.0,4831339.0,4936100.0,5040740.0,5145222.0,5249762.0,5354537.0,5459074.0,5563573.0,5668720.0,5774727.0,5882046.0,5988742.0
2,965,4,alonso,1,5,1,Finished,111313,217629.0,323471.0,428828.0,534752.0,640921.0,746652.0,852343.0,958298.0,1065566.0,1172983.0,1298456.0,1404598.0,1509727.0,1615634.0,1721241.0,1826728.0,1931844.0,2037071.0,2142350.0,2247795.0,2352858.0,2457892.0,2562602.0,2667328.0,2772776.0,2878341.0,2983663.0,3089145.0,3200474.0,3355189.0,3483534.0,3587328.0,3691283.0,3795074.0,3898576.0,4002212.0,4106072.0,4210384.0,4314322.0,4418354.0,4522546.0,4626239.0,4729835.0,4833610.0,4937933.0,5042482.0,5147219.0,5251776.0,5355937.0,5461023.0,5565471.0,5669593.0,5775186.0,5881162.0,5986571.0
11,965,821,gutierrez,210,21,23,Brakes,112258,219554.0,327298.0,433817.0,540686.0,647482.0,755628.0,863844.0,971073.0,1078379.0,1185737.0,1294953.0,1403268.0,1528580.0,1633944.0,1768943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
