,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1,969.0,1.0,hamilton,2.0,1.0,Finished,94404.0,184042.0,273161.0,362205.0,450991.0,539910.0,628707.0,717086.0,805477.0,893803.0,982267.0,1070691.0,1158808.0,1247845.0,1336339.0,1424777.0,1531122.0,1624690.0,1712241.0,1800714.0,1889695.0,1979574.0,2069031.0,2160505.0,2250811.0,2338763.0,2426597.0,2514443.0,2602256.0,2690788.0,2779055.0,2866766.0,2954314.0,3043288.0,3130723.0,3219077.0,3306789.0,3394347.0,3481965.0,3569490.0,3658210.0,3745683.0,3834525.0,3921558.0,4008709.0,4096056.0,4183341.0,4270669.0,4358732.0,4447721.0,4535489.0,4623096.0,4710183.0,4798482.0,4885978.0,4973505.0,5061647.0
5,969.0,20.0,vettel,1.0,1.0,Finished,95078.0,184805.0,273848.0,362976.0,452103.0,541186.0,630051.0,718804.0,807038.0,895695.0,984088.0,1072309.0,1160681.0,1249371.0,1337878.0,1426099.0,1514463.0,1602941.0,1691059.0,1779283.0,1867861.0,1956362.0,2063357.0,2157187.0,2244913.0,2332511.0,2420557.0,2508283.0,2596292.0,2684680.0,2772799.0,2861025.0,2948726.0,3036354.0,3123837.0,3211184.0,3298804.0,3386294.0,3473880.0,3561598.0,3648984.0,3736432.0,3824251.0,3912205.0,3999940.0,4087635.0,4175370.0,4264077.0,4351690.0,4439112.0,4526894.0,4614512.0,4701150.0,4788157.0,4875526.0,4962963.0,5051672.0
10,969.0,822.0,bottas,3.0,1.0,Finished,96009.0,186150.0,275785.0,365086.0,454546.0,543681.0,632845.0,722333.0,811524.0,900399.0,989491.0,1078280.0,1166657.0,1255871.0,1344626.0,1434411.0,1523462.0,1612322.0,1701102.0,1790144.0,1879053.0,1968018.0,2056889.0,2146560.0,2253207.0,2346645.0,2433697.0,2520970.0,2608705.0,2696201.0,2784376.0,2871829.0,2959261.0,3046774.0,3135306.0,3222445.0,3309730.0,3397167.0,3484563.0,3572274.0,3660611.0,3748136.0,3836185.0,3923782.0,4010905.0,4098460.0,4185951.0,4273054.0,4360739.0,4449456.0,4537851.0,4625695.0,4712740.0,4800152.0,4888822.0,4975415.0,5062922.0
3,969.0,8.0,raikkonen,4.0,1.0,Finished,97493.0,188060.0,278223.0,368173.0,457771.0,546997.0,636308.0,725632.0,815260.0,904872.0,994338.0,1083839.0,1172780.0,1262309.0,1351727.0,1441018.0,1530275.0,1618973.0,1707889.0,1796725.0,1885712.0,1975197.0,2063813.0,2152559.0,2241266.0,2347491.0,2441617.0,2529065.0,2617119.0,2704678.0,2792735.0,2880634.0,2968585.0,3056858.0,3145156.0,3233134.0,3320984.0,3409140.0,3497872.0,3585631.0,3673040.0,3760741.0,3848466.0,3936291.0,4023774.0,4111413.0,4198725.0,4286648.0,4373747.0,4461176.0,4548597.0,4636303.0,4723512.0,4811085.0,4898545.0,4985083.0,5074065.0
14,969.0,830.0,max_verstappen,5.0,1.0,Finished,98375.0,189204.0,279694.0,369682.0,459586.0,549222.0,638761.0,728309.0,817668.0,907221.0,996630.0,1086159.0,1175395.0,1264954.0,1354264.0,1443298.0,1532806.0,1621965.0,1710798.0,1799841.0,1889221.0,1979055.0,2068511.0,2159527.0,2268182.0,2361734.0,2449725.0,2537484.0,2625402.0,2713107.0,2801203.0,2889068.0,2976754.0,3064503.0,3151676.0,3239203.0,3326705.0,3414088.0,3501491.0,3589889.0,3677055.0,3764100.0,3851064.0,3938695.0,4025747.0,4112925.0,4200182.0,4288635.0,4375782.0,4463452.0,4550598.0,4637978.0,4725190.0,4812544.0,4901068.0,4990470.0,5080499.0
4,969.0,13.0,massa,6.0,1.0,Finished,99674.0,190825.0,281448.0,372061.0,462591.0,553099.0,643243.0,733318.0,823394.0,913504.0,1003833.0,1094256.0,1184898.0,1275265.0,1365923.0,1456288.0,1546745.0,1637297.0,1728140.0,1835622.0,1930626.0,2019592.0,2108633.0,2198081.0,2287112.0,2376161.0,2465754.0,2555654.0,2644846.0,2733821.0,2822712.0,2911691.0,3000591.0,3089786.0,3178483.0,3267420.0,3356171.0,3444989.0,3533979.0,3622902.0,3712617.0,3801269.0,3889671.0,3978439.0,4067191.0,4155948.0,4244905.0,4333559.0,4421604.0,4509945.0,4598443.0,4686701.0,4775094.0,4863925.0,4952117.0,5040607.0,5135058.0
6,969.0,154.0,grosjean,20.0,47.0,Water leak,100716.0,191958.0,283008.0,373771.0,464345.0,554916.0,645204.0,735565.0,826035.0,916331.0,1006668.0,1096851.0,1187343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,969.0,832.0,sainz,8.0,11.0,+1 Lap,101891.0,193277.0,284935.0,375581.0,466326.0,556991.0,647615.0,738398.0,829328.0,920107.0,1010500.0,1100802.0,1191009.0,1281498.0,1371665.0,1462186.0,1552844.0,1660283.0,1757349.0,1847397.0,1937335.0,2027605.0,2117872.0,2208256.0,2298450.0,2388354.0,2478429.0,2568155.0,2658246.0,2748143.0,2837670.0,2927252.0,3017053.0,3107049.0,3196755.0,3286126.0,3375534.0,3464580.0,3553516.0,3642363.0,3733493.0,3822502.0,3911317.0,4002014.0,4090675.0,4179070.0,4267712.0,4357674.0,4450650.0,4539503.0,4627926.0,4716032.0,4803709.0,4891836.0,4980163.0,5068873.0,
8,969.0,815.0,perez,7.0,11.0,+1 Lap,102868.0,194457.0,285996.0,377039.0,467787.0,558801.0,649421.0,740050.0,830553.0,921044.0,1011803.0,1102182.0,1192693.0,1283222.0,1373445.0,1463649.0,1572008.0,1666375.0,1756566.0,1846162.0,1935846.0,2025765.0,2115736.0,2205855.0,2295792.0,2385663.0,2475383.0,2565108.0,2655394.0,2745310.0,2834977.0,2924703.0,3015041.0,3104784.0,3193956.0,3283562.0,3372996.0,3462192.0,3551348.0,3640319.0,3729368.0,3818457.0,3907353.0,3996230.0,4085020.0,4174203.0,4264904.0,4353768.0,4442418.0,4531162.0,4619916.0,4708757.0,4799256.0,4890769.0,4979243.0,5067579.0,
12,969.0,826.0,kvyat,9.0,11.0,+1 Lap,103910.0,195696.0,287306.0,378311.0,469387.0,560241.0,651093.0,741882.0,832703.0,923180.0,1013531.0,1103978.0,1194341.0,1284889.0,1375186.0,1465274.0,1555556.0,1645195.0,1735180.0,1825030.0,1915031.0,2005073.0,2095315.0,2186021.0,2275785.0,2365554.0,2455125.0,2544885.0,2634800.0,2725636.0,2815259.0,2905132.0,2995086.0,3106518.0,3202167.0,3291189.0,3379842.0,3468156.0,3556199.0,3644182.0,3732257.0,3820406.0,3908693.0,3997112.0,4085843.0,4176294.0,4265529.0,4354536.0,4463610.0,4557648.0,4644359.0,4731297.0,4818953.0,4906221.0,4994275.0,5082486.0,
