,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4
1,vettel,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,6,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3
2,perez,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,14,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0
3,max_verstappen,4,4,4,4,4,4,4,4,4,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,raikkonen,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,6,6,6,6,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,0,0,0,0,0
5,massa,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,4,4,4,4,3,3,3,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ocon,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,5,5,5,5,15,13,13,13,11,8,8,8,8,7,7,7,6,5,4,4,4,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5
7,stroll,8,8,8,8,8,8,8,8,8,8,8,7,4,7,7,7,7,7,7,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,ricciardo,9,9,9,9,12,17,15,15,15,11,11,11,10,10,10,9,9,9,9,5,5,5,6,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,hulkenberg,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,6,6,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,kevin_magnussen,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,7,7,7,7,7,5,5,5,5,5,5,5,4,4,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
11,kvyat,12,12,12,12,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,wehrlein,13,14,14,17,16,16,16,16,16,15,15,15,16,16,16,16,16,16,16,13,14,14,14,14,12,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9
13,grosjean,14,13,19,19,19,19,18,18,18,17,17,17,15,15,15,15,14,14,14,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
14,ericsson,15,15,13,13,13,12,12,12,13,14,14,14,14,14,14,14,15,15,15,11,11,11,11,13,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
15,vandoorne,16,16,15,14,18,18,17,17,17,16,16,16,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,10,10,10,11,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
16,jolyon_palmer,17,18,18,18,17,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,alonso,18,17,16,15,14,13,13,13,12,12,12,12,11,11,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,6,6,5,6,5,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
18,sainz,19,19,17,16,15,14,14,14,14,13,13,13,12,12,12,12,12,12,12,9,9,9,9,9,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
