,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,978,1,hamilton,131,1,1,Finished,96075,216745,366162,512783,605862,699226,792423,886035,979457,1072846,1165970,1258865,1351369,1444802,1538030,1631204,1724081,1816441,1908897,2001183,2093487,2185677,2278114,2371212,2463622,2574616,2666145,2758400,2850258,2943003,3034774,3127418,3220275.0,3312992.0,3405857.0,3498435.0,3590473.0,3681894.0,3773637.0,3865851.0,3957630.0,4049792.0,4142132.0,4234769.0,4327409.0,4419282.0,4510378.0,4600999.0,4693748.0,4790218.0,4887430.0
2,978,8,raikkonen,6,3,1,Finished,97751,218438,367450,513480,607273,701194,794961,888429,981922,1075221,1168648,1262033,1355463,1448858,1542153,1635145,1728372,1821645,1914926,2008442,2101872,2195339,2288738,2382249,2494717,2586620,2678989,2771223,2864278,2956924,3049121,3141576,3234101.0,3326157.0,3418312.0,3510453.0,3602473.0,3694419.0,3786459.0,3878688.0,3970969.0,4062918.0,4154811.0,4246328.0,4338263.0,4429919.0,4521760.0,4613878.0,4715584.0,4830175.0,4924000.0
13,978,830,max_verstappen,9,4,1,Finished,99180,221930,368726,514451,609027,703502,797839,892266,986441,1080573,1174605,1268669,1363819,1457956,1551825,1645552,1739813,1833616,1926544,2040306,2132758,2225644,2318410,2411177,2503991,2596832,2689945,2782946,2876045,2969160,3062038,3154681,3247978.0,3340758.0,3433675.0,3526087.0,3618365.0,3710538.0,3803031.0,3895605.0,3988502.0,4081614.0,4174512.0,4267422.0,4361098.0,4454738.0,4548979.0,4643442.0,4736944.0,4848877.0,4939555.0
4,978,20,vettel,6,7,1,Finished,100228,222533,369439,515012,610153,704590,798644,893107,987406,1081607,1175455,1269553,1364283,1458938,1553051,1646361,1740431,1833677,1945241,2037466,2129929,2222237,2314871,2407200,2499378,2591516,2683678,2775827,2868558,2961400,3054114,3146483,3238764.0,3331022.0,3423042.0,3515012.0,3606967.0,3698839.0,3791026.0,3883361.0,3976440.0,4069937.0,4164197.0,4258358.0,4352407.0,4445805.0,4539667.0,4634057.0,4729086.0,4859738.0,4981419.0
6,978,807,hulkenberg,4,6,1,Finished,101351,224492,370494,515676,611319,706627,802744,898318,993421,1088184,1183067,1277849,1372651,1467602,1562167,1656665,1751437,1846231,1941074,2035779,2131054,2226769,2321987,2416226,2532718,2626350,2720202,2813874,2907332,3000731,3094172,3187642,3280736.0,3373847.0,3467213.0,3560132.0,3652950.0,3745595.0,3838188.0,3931024.0,4023836.0,4116471.0,4209048.0,4302173.0,4394800.0,4487670.0,4580484.0,4673436.0,4766514.0,4861010.0,4955539.0
16,978,839,ocon,10,8,11,+1 Lap,102018,226957,371268,516037,613710,709945,805174,901147,996727,1092164,1187625,1282748,1377976,1473113,1568341,1663402,1758917,1854211,1949738,2044302,2158779,2252980,2347414,2441902,2536606,2630749,2725165,2819821,2914316,3008590,3102898,3197183,3291435.0,3386450.0,3480993.0,3575612.0,3669797.0,3763782.0,3857303.0,3950948.0,4044556.0,4138249.0,4231831.0,4325555.0,4420447.0,4514519.0,4608134.0,4701872.0,4795706.0,4889920.0,
9,978,822,bottas,131,2,1,Finished,102367,227821,372886,516479,612920,707918,801931,896206,990173,1084079,1178232,1272477,1366466,1460430,1554518,1648003,1741748,1835751,1928849,2021815,2114192,2206423,2298589,2390783,2482984,2576503,2668961,2761741,2854293,2947291,3040262,3132548,3244265.0,3335387.0,3426446.0,3518133.0,3609986.0,3701569.0,3793645.0,3885561.0,3977634.0,4070558.0,4162893.0,4253970.0,4344977.0,4435882.0,4527204.0,4618168.0,4712473.0,4806880.0,4901493.0
7,978,815,perez,10,9,11,+1 Lap,102960,228658,373834,516848,614397,710960,806460,902238,997746,1093324,1188660,1283746,1378859,1474053,1569702,1665082,1760359,1855851,1951345,2046465,2141382,2235964,2330192,2443864,2537505,2631288,2726006,2820428,2915067,3009310,3103576,3198015,3292178.0,3387149.0,3481588.0,3576206.0,3670638.0,3764511.0,3858091.0,3951748.0,4045375.0,4138879.0,4232575.0,4326451.0,4421930.0,4515884.0,4609603.0,4703534.0,4797575.0,4891922.0,
15,978,838,vandoorne,1,11,11,+1 Lap,103518,230896,376169,517157,615050,711991,807930,903787,999485,1095142,1190648,1286094,1381418,1476591,1571895,1667250,1762535,1857806,1952885,2047955,2143068,2239026,2334636,2429606,2524770,2619594,2735566,2829408,2923325,3017009,3110793,3204689,3298691.0,3392542.0,3486369.0,3580043.0,3673969.0,3767833.0,3861670.0,3955397.0,4050759.0,4144721.0,4238185.0,4331719.0,4425443.0,4519166.0,4614814.0,4709079.0,4802697.0,4896659.0,
3,978,13,massa,3,10,11,+1 Lap,104231,232165,377287,517580,615934,712991,809025,904797,1000486,1096278,1192214,1288000,1383476,1478836,1574388,1669728,1765303,1861792,1957715,2053205,2148362,2243111,2338500,2433649,2527809,2640205,2733962,2827825,2921596,3015277,3109160,3202801,3296576.0,3390389.0,3484187.0,3577769.0,3671690.0,3765574.0,3859136.0,3952998.0,4046673.0,4140382.0,4234043.0,4329485.0,4423209.0,4517088.0,4610758.0,4704500.0,4798524.0,4892729.0,
