,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,972.0,822.0,bottas,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.0,20607.0,19950.0,19867.0,19680.0,20078.0,20694.0,16008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,972.0,20.0,vettel,2.0,1.0,Finished,1909.0,548.0,1276.0,1840.0,1833.0,1954.0,2372.0,2757.0,3147.0,3258.0,3612.0,3745.0,3796.0,3903.0,4500.0,4279.0,4394.0,4633.0,5175.0,5547.0,5331.0,5313.0,4823.0,4057.0,3256.0,2553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4677.0,4335.0,4044.0,3065.0,2264.0,1858.0,1513.0,1442.0,1462.0,1961.0,1776.0,1355.0,1459.0,1212.0,1157.0,908.0,760.0,617.0
2,972.0,8.0,raikkonen,3.0,1.0,Finished,5338.0,1929.0,2444.0,3181.0,3868.0,4281.0,4920.0,5609.0,6252.0,6998.0,7405.0,7487.0,7441.0,7572.0,8149.0,8455.0,9072.0,9690.0,10524.0,10873.0,10948.0,11169.0,11142.0,10822.0,10018.0,8434.0,4941.0,5235.0,9977.0,29956.0,28981.0,28507.0,27912.0,22891.0,7620.0,8760.0,9867.0,9744.0,9380.0,8773.0,8130.0,7626.0,7609.0,7482.0,9118.0,9048.0,9102.0,9444.0,8921.0,8894.0,9502.0,11000.0
3,972.0,1.0,hamilton,4.0,1.0,Finished,5988.0,2653.0,3049.0,4502.0,5401.0,5853.0,6884.0,7807.0,8583.0,8797.0,9220.0,9710.0,9906.0,10912.0,12250.0,12849.0,13055.0,13053.0,13540.0,14051.0,14082.0,14200.0,14731.0,14857.0,14581.0,13646.0,10628.0,10349.0,11206.0,17825.0,40255.0,41182.0,41912.0,37699.0,22416.0,22992.0,23798.0,23193.0,23411.0,23645.0,23904.0,24473.0,24870.0,25239.0,26055.0,26815.0,27636.0,28987.0,30595.0,31774.0,33212.0,36320.0
4,972.0,830.0,max_verstappen,5.0,1.0,Finished,7010.0,3379.0,3693.0,5995.0,7826.0,9441.0,11010.0,12651.0,14405.0,15725.0,17001.0,18504.0,19855.0,21390.0,23078.0,24554.0,26421.0,27897.0,29617.0,31279.0,32356.0,33783.0,34771.0,35257.0,35527.0,35248.0,32858.0,33862.0,39692.0,61312.0,61955.0,62610.0,63035.0,58989.0,43952.0,44785.0,46121.0,48339.0,49053.0,49993.0,50261.0,51090.0,52520.0,53435.0,54797.0,56353.0,56989.0,58061.0,59294.0,60294.0,60744.0,60416.0
5,972.0,13.0,massa,9.0,11.0,+1 Lap,8309.0,4351.0,4345.0,7129.0,9168.0,11153.0,13330.0,15638.0,17780.0,19505.0,21497.0,23398.0,25217.0,27037.0,28885.0,30612.0,32794.0,35144.0,37355.0,39624.0,46196.0,68186.0,69222.0,70108.0,70833.0,70667.0,69027.0,69680.0,70857.0,72246.0,73622.0,74983.0,76060.0,72867.0,58746.0,60674.0,62746.0,63434.0,64830.0,66264.0,71829.0,92094.0,92192.0,92458.0,92875.0,93487.0,94071.0,94958.0,96104.0,96932.0,101305.0,
6,972.0,817.0,ricciardo,17.0,23.0,Brakes,9108.0,5132.0,4844.0,8129.0,49611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,972.0,815.0,perez,6.0,1.0,Finished,10175.0,5794.0,5329.0,8711.0,11461.0,13599.0,16049.0,18279.0,20726.0,22786.0,25170.0,27398.0,29464.0,31556.0,33529.0,35494.0,37782.0,39958.0,42273.0,44424.0,46035.0,48165.0,49700.0,50822.0,51816.0,52187.0,55190.0,75940.0,76529.0,77896.0,79684.0,81375.0,82925.0,79655.0,65792.0,67616.0,69671.0,70416.0,71739.0,72920.0,73857.0,74895.0,76266.0,77404.0,78797.0,80258.0,81694.0,83112.0,85278.0,86223.0,86904.0,86788.0
8,972.0,839.0,ocon,7.0,1.0,Finished,10934.0,6495.0,5920.0,9462.0,12819.0,15244.0,17773.0,20090.0,22588.0,24857.0,27276.0,29720.0,31936.0,34296.0,36602.0,38705.0,41131.0,43444.0,45839.0,48121.0,49942.0,51985.0,53823.0,55402.0,56710.0,62208.0,80565.0,81198.0,82280.0,84209.0,85984.0,87742.0,89448.0,86445.0,72379.0,74516.0,76789.0,77970.0,79405.0,80852.0,81883.0,82758.0,84074.0,85223.0,86919.0,88537.0,89919.0,91290.0,92978.0,93981.0,95007.0,95004.0
9,972.0,807.0,hulkenberg,8.0,1.0,Finished,13103.0,8053.0,6797.0,10441.0,13757.0,16494.0,19375.0,22309.0,25253.0,27879.0,30211.0,32553.0,34962.0,37370.0,39802.0,42384.0,45050.0,47857.0,50466.0,52661.0,54407.0,56334.0,58162.0,59251.0,60223.0,60406.0,58293.0,59125.0,60190.0,63348.0,65149.0,66991.0,68328.0,65110.0,50896.0,52848.0,55126.0,56073.0,57843.0,64686.0,86563.0,86655.0,87532.0,88644.0,89810.0,90856.0,91711.0,92902.0,94112.0,95328.0,96641.0,96188.0
