,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,vettel,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2
1,hamilton,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,bottas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5
3,ricciardo,4,4,4,4,4,4,4,4,4,4,4,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ocon,5,6,6,6,6,6,6,6,6,7,7,7,6,6,11,11,10,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,raikkonen,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,2,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4
6,alonso,7,7,7,7,7,7,8,8,8,8,8,8,7,7,12,12,11,10,10,8,8,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sainz,8,8,8,8,8,9,9,9,9,9,9,9,8,9,6,6,6,6,6,11,11,11,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,massa,9,9,9,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,0
9,perez,10,10,11,11,11,11,11,11,11,11,11,11,15,15,14,13,12,11,11,9,9,9,9,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
10,kvyat,11,12,12,12,12,12,12,12,12,12,12,12,11,11,8,8,8,13,13,12,12,12,12,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,0
11,grosjean,12,13,13,13,13,13,13,13,13,13,13,13,12,12,9,9,15,15,14,14,14,13,13,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,0
12,max_verstappen,13,11,10,9,9,8,7,7,7,6,6,6,5,5,5,5,4,4,3,2,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3
13,ericsson,14,14,14,16,16,16,16,16,16,16,15,15,14,14,13,14,13,12,12,13,13,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,0
14,stroll,15,15,15,14,14,14,14,15,15,15,17,17,17,17,16,16,16,16,16,16,16,15,15,15,14,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13,12,11,0
15,hulkenberg,16,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,vandoorne,17,17,16,15,15,15,15,14,14,14,14,14,13,13,10,10,9,9,9,10,10,10,11,11,11,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,0
17,kevin_magnussen,18,19,19,17,17,17,17,17,17,17,16,16,16,16,15,15,14,14,15,15,15,14,14,13,13,12,12,12,12,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,0
18,wehrlein,19,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
