,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
4,992.0,20.0,vettel,4.0,1.0,Finished,148071.0,337390.0,490739.0,645034.0,828063.0,939379.0,1048966.0,1157431.0,1265276.0,1372782.0,1480022.0,1586847.0,1693711.0,1801141.0,1907863.0,2015134.0,2122045.0,2228918.0,2335393.0,2441722.0,2548230.0,2654428.0,2760982.0,2868141.0,2974843.0,3082364.0,3188985.0,3295731.0,3402238.0,3512774.0,3635419.0,3741717.0,3847997.0,3954419.0,4060258.0,4166216.0,4272082.0,4377612.0,4484008.0,4605156.0,4784999.0,4955724.0,5133561.0,5301840.0,5468355.0,5628980.0,5795788.0,5907764.0,6016521.0,6122865.0,6229620.0
1,992.0,1.0,hamilton,1.0,1.0,Finished,149923.0,338532.0,491898.0,646566.0,828507.0,941968.0,1051830.0,1160206.0,1268020.0,1375212.0,1482265.0,1590254.0,1697268.0,1804692.0,1912502.0,2019555.0,2126572.0,2233169.0,2339500.0,2445620.0,2551935.0,2667106.0,2791321.0,2898627.0,3005209.0,3111716.0,3218045.0,3324426.0,3430541.0,3536463.0,3643413.0,3749385.0,3855733.0,3961378.0,4066790.0,4173791.0,4279734.0,4385284.0,4490862.0,4616609.0,4787863.0,4957448.0,5134391.0,5302774.0,5469029.0,5630393.0,5795902.0,5903697.0,6011432.0,6117449.0,6224291.0
9,992.0,822.0,bottas,14.0,29.0,Puncture,151366.0,339792.0,493731.0,647674.0,828688.0,943243.0,1054382.0,1163187.0,1271379.0,1379225.0,1486966.0,1595044.0,1702826.0,1810555.0,1917590.0,2024684.0,2131976.0,2238999.0,2345731.0,2452808.0,2559871.0,2666890.0,2773495.0,2879991.0,2986483.0,3092667.0,3199604.0,3305895.0,3411722.0,3517667.0,3623679.0,3729586.0,3835181.0,3942622.0,4048742.0,4154573.0,4259722.0,4365269.0,4470723.0,4587260.0,4783413.0,4954603.0,5130100.0,5298185.0,5465042.0,5627224.0,5795611.0,5902444.0,,,
8,992.0,817.0,ricciardo,17.0,4.0,Collision,152391.0,341432.0,495318.0,648589.0,829162.0,947055.0,1059699.0,1170215.0,1281308.0,1390531.0,1500078.0,1610372.0,1719459.0,1828147.0,1937301.0,2044923.0,2152666.0,2260363.0,2367673.0,2474795.0,2581698.0,2688665.0,2795162.0,2901346.0,3007839.0,3113722.0,3222715.0,3329323.0,3435769.0,3541632.0,3647742.0,3754401.0,3860265.0,3965684.0,4071866.0,4178229.0,4288783.0,4411628.0,4517230.0,,,,,,,,,,,,
12,992.0,830.0,max_verstappen,16.0,4.0,Collision,153345.0,342128.0,496298.0,649440.0,829205.0,945956.0,1057837.0,1169306.0,1280247.0,1390327.0,1499933.0,1610041.0,1718675.0,1826471.0,1936755.0,2044315.0,2151809.0,2258959.0,2365870.0,2472754.0,2579238.0,2685459.0,2792161.0,2899697.0,3006681.0,3113590.0,3221983.0,3328335.0,3434854.0,3540758.0,3646529.0,3752599.0,3859132.0,3965603.0,4072742.0,4179384.0,4285535.0,4395350.0,4516996.0,,,,,,,,,,,,
3,992.0,8.0,raikkonen,2.0,1.0,Finished,154726.0,349402.0,506122.0,659926.0,830755.0,950952.0,1063680.0,1173891.0,1284204.0,1393007.0,1502706.0,1612530.0,1722473.0,1830801.0,1939133.0,2047389.0,2155163.0,2263882.0,2371947.0,2480173.0,2587616.0,2694878.0,2802966.0,2910816.0,3018606.0,3126210.0,3234542.0,3342312.0,3449755.0,3556620.0,3664128.0,3771395.0,3879912.0,3987333.0,4094662.0,4201899.0,4308948.0,4415807.0,4523280.0,4660865.0,4819196.0,4957678.0,5135096.0,5303934.0,5470177.0,5631548.0,5795988.0,5905603.0,6013553.0,6120076.0,6226751.0
13,992.0,832.0,sainz,5.0,1.0,Finished,155191.0,343715.0,498832.0,651281.0,829312.0,945865.0,1057849.0,1169351.0,1278513.0,1387621.0,1496925.0,1606363.0,1716164.0,1826032.0,1941235.0,2067816.0,2176203.0,2284390.0,2392353.0,2500293.0,2608135.0,2715941.0,2824548.0,2932937.0,3040666.0,3148529.0,3256140.0,3363669.0,3471146.0,3579498.0,3686947.0,3794452.0,3901779.0,4008999.0,4116207.0,4223419.0,4330679.0,4437922.0,4544889.0,4687377.0,4846498.0,4968243.0,5140754.0,5309186.0,5475829.0,5635586.0,5797569.0,5908913.0,6017767.0,6124623.0,6231806.0
15,992.0,840.0,stroll,8.0,1.0,Finished,156169.0,344302.0,499481.0,651802.0,830152.0,949356.0,1061927.0,1172947.0,1282045.0,1391467.0,1501626.0,1612155.0,1721654.0,1830683.0,1940637.0,2049646.0,2158491.0,2267461.0,2376010.0,2484498.0,2594813.0,2703681.0,2817896.0,2941687.0,3049736.0,3158240.0,3266054.0,3373967.0,3481402.0,3588630.0,3695794.0,3802912.0,3909982.0,4017175.0,4124642.0,4232017.0,4339196.0,4446199.0,4553751.0,4702423.0,4863090.0,4986521.0,5143516.0,5312238.0,5478972.0,5639042.0,5797898.0,5910935.0,6019972.0,6126787.0,6236837.0
7,992.0,815.0,perez,3.0,1.0,Finished,156904.0,345543.0,511349.0,664788.0,832009.0,953789.0,1066831.0,1179052.0,1289450.0,1398458.0,1507374.0,1616849.0,1725996.0,1834867.0,1944916.0,2052842.0,2160925.0,2269117.0,2377038.0,2484715.0,2592430.0,2700085.0,2809023.0,2917483.0,3028528.0,3137007.0,3245604.0,3353718.0,3461506.0,3569086.0,3676626.0,3783712.0,3890745.0,3998053.0,4105133.0,4212554.0,4320367.0,4427294.0,4534294.0,4673393.0,4838440.0,4963073.0,5138022.0,5305420.0,5473734.0,5632742.0,5796719.0,5907813.0,6015685.0,6122109.0,6228315.0
6,992.0,807.0,hulkenberg,18.0,3.0,Accident,157771.0,345164.0,501667.0,653701.0,830138.0,947882.0,1060738.0,1170261.0,1280178.0,1389045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,992.0,842.0,gasly,12.0,1.0,Finished,159485.0,346190.0,502571.0,654854.0,830238.0,947867.0,1060941.0,1173269.0,1286394.0,1398936.0,1511998.0,1627849.0,1756577.0,1867548.0,1978757.0,2089775.0,2200614.0,2312323.0,2422691.0,2532732.0,2642355.0,2751918.0,2861338.0,2972405.0,3083588.0,3193013.0,3301752.0,3410347.0,3521225.0,3630074.0,3738537.0,3847215.0,3956993.0,4065339.0,4175577.0,4284659.0,4394888.0,4502923.0,4633551.0,4792054.0,4933345.0,5046997.0,5164450.0,5316489.0,5482781.0,5643153.0,5799704.0,5912696.0,6024959.0,6137518.0,6249011.0
