,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1001,20,vettel,6,1,1,Finished,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1001,1,hamilton,131,2,1,Finished,1825,1792,1459,619,1681,2255,2580,2768,2865.0,3295.0,3777.0,3779.0,3789.0,3980.0,3780.0,3589.0,3370.0,3476.0,3282.0,3237.0,7938.0,14939.0,1932.0,2091.0,2303.0,3234.0,3869.0,4497.0,4928.0,5049.0,5232.0,5110.0,5435.0,5256.0,5149.0,5201.0,5840.0,6664.0,7010.0,7766.0,8729.0,9759.0,11004.0,11061.0
2,1001,815,perez,10,5,1,Finished,2955,2894,2910,1120,3721,5886,8115,10139,11853.0,14638.0,17670.0,19672.0,21418.0,23103.0,24727.0,26632.0,28331.0,29987.0,31266.0,32577.0,33975.0,31322.0,21423.0,24409.0,32420.0,48575.0,50388.0,52237.0,53368.0,54586.0,55842.0,57029.0,58243.0,59116.0,60005.0,60783.0,62203.0,63500.0,64900.0,68027.0,69880.0,71169.0,72210.0,71023.0
3,1001,839,ocon,10,6,1,Finished,3673,4046,4117,1573,4868,7681,11665,14243,16213.0,18518.0,20878.0,22784.0,24633.0,26552.0,28276.0,30591.0,32582.0,34382.0,35901.0,37459.0,38948.0,36495.0,27206.0,34879.0,52008.0,54039.0,55904.0,57689.0,59600.0,61636.0,63350.0,65801.0,67495.0,68529.0,69217.0,70083.0,71801.0,73639.0,75766.0,77112.0,78612.0,79855.0,80822.0,79520.0
4,1001,830,max_verstappen,9,3,1,Finished,5356,5640,4945,2066,5599,8295,9740,11087,12486.0,12669.0,13749.0,14310.0,14831.0,15460.0,15824.0,16644.0,17264.0,17543.0,17546.0,17702.0,17945.0,14238.0,4788.0,6801.0,8693.0,14679.0,28390.0,28800.0,29101.0,29603.0,29961.0,30164.0,30359.0,30098.0,29963.0,29564.0,30391.0,31076.0,31623.0,32185.0,32489.0,32716.0,32741.0,31372.0
5,1001,154,grosjean,210,7,1,Finished,6652,7069,6018,2391,6771,10032,13055,15848,18275.0,20678.0,23087.0,25410.0,27852.0,30252.0,32350.0,34864.0,37135.0,39297.0,40970.0,42798.0,44616.0,42308.0,37600.0,54035.0,56359.0,58311.0,60310.0,62325.0,64357.0,66457.0,68663.0,70455.0,72299.0,73621.0,74514.0,75905.0,77482.0,79116.0,81043.0,82464.0,83874.0,85077.0,86364.0,85953.0
6,1001,825,kevin_magnussen,210,8,1,Finished,7978,8269,7138,2961,7671,11134,14942,18353,21362.0,24034.0,26656.0,28995.0,31378.0,33669.0,35719.0,38070.0,40473.0,42722.0,44543.0,46249.0,47942.0,47574.0,38578.0,43913.0,48127.0,56235.0,72801.0,74108.0,75361.0,76738.0,78136.0,79259.0,80430.0,81249.0,81835.0,82427.0,83581.0,84764.0,86144.0,87065.0,87913.0,88622.0,89048.0,87639.0
7,1001,842,gasly,5,9,1,Finished,10363,10051,8086,3334,8191,12137,15682,19222,22597.0,25714.0,28579.0,31148.0,33587.0,36064.0,38057.0,40764.0,43259.0,47078.0,49226.0,52682.0,54669.0,52534.0,43629.0,47708.0,56594.0,73081.0,74852.0,76757.0,78954.0,80876.0,82878.0,84925.0,86846.0,88566.0,90116.0,91359.0,93381.0,95498.0,98166.0,100345.0,102506.0,104200.0,105948.0,105892.0
8,1001,828,ericsson,15,10,11,+1 Lap,11477,11420,10402,4032,9336,14104,16640,20190,23354.0,26528.0,29702.0,32251.0,34879.0,37474.0,39669.0,42104.0,45572.0,49456.0,51597.0,54048.0,56468.0,54591.0,45620.0,49875.0,54228.0,61940.0,79421.0,84078.0,86117.0,88525.0,91342.0,93246.0,95413.0,96889.0,98193.0,99585.0,101355.0,103592.0,105752.0,109351.0,111618.0,113349.0,114720.0,
9,1001,845,sirotkin,3,12,11,+1 Lap,12970,12470,11493,4480,8933,13611,18301,22282,25376.0,28658.0,31885.0,36216.0,40654.0,44049.0,46897.0,50115.0,52732.0,56254.0,58911.0,61430.0,64127.0,62764.0,54451.0,62951.0,79857.0,82233.0,84393.0,87340.0,90185.0,93547.0,97344.0,101539.0,104740.0,108192.0,110155.0,112110.0,115553.0,118356.0,121084.0,123658.0,126104.0,127618.0,129607.0,
