,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
4,995.0,20.0,vettel,1.0,1.0,Finished,100809.0,232427.0,357231.0,483437.0,560382.0,636697.0,712513.0,788461.0,864316.0,939791.0,1015597.0,1090946.0,1166509.0,1242030.0,1317455.0,1393050.0,1468260.0,1543719.0,1618947.0,1694268.0,1769566.0,1844926.0,1920493.0,1995728.0,2072487.0,2147974.0,2224119.0,2299669.0,2374728.0,2449805.0,2525219.0,2600959.0,2676545.0,2751712.0,2827410.0,2902687.0,2994418.0,3072126.0,3146694.0,3220857.0,3295818.0,3370284.0,3445230.0,3520576.0,3595844.0,3670282.0,3745074.0,3819636.0,3893950.0,3968776.0,4043215.0,4118004.0,4192229.0,4267267.0,4342163.0,4416634.0,4490598.0,4564664.0,4638891.0,4713456.0,4787959.0,4862607.0,4937646.0,5012122.0,5087190.0,5161687.0,5236692.0,5311377.0
9,995.0,822.0,bottas,2.0,1.0,Finished,102548.0,233340.0,358092.0,484324.0,561676.0,638428.0,714475.0,790841.0,866965.0,943282.0,1019293.0,1094982.0,1170858.0,1246419.0,1321959.0,1397510.0,1472960.0,1548340.0,1623598.0,1698892.0,1774315.0,1849815.0,1925359.0,2000818.0,2076088.0,2151738.0,2227516.0,2302842.0,2378190.0,2453613.0,2529298.0,2605116.0,2681685.0,2757784.0,2833741.0,2925566.0,3002950.0,3077462.0,3152438.0,3227101.0,3301771.0,3376653.0,3451346.0,3526132.0,3600809.0,3675328.0,3750249.0,3825030.0,3899950.0,3974289.0,4048281.0,4122329.0,4196725.0,4270940.0,4345319.0,4422108.0,4496841.0,4571973.0,4646607.0,4721485.0,4795837.0,4870397.0,4945292.0,5020198.0,5094557.0,5169274.0,5243788.0,5318753.0
12,995.0,830.0,max_verstappen,3.0,1.0,Finished,104359.0,234012.0,359301.0,484611.0,562347.0,639059.0,715113.0,791678.0,868453.0,944905.0,1021341.0,1097495.0,1173787.0,1250300.0,1326743.0,1418764.0,1497339.0,1573281.0,1649162.0,1724947.0,1800829.0,1876622.0,1952518.0,2028094.0,2103660.0,2179116.0,2254500.0,2329897.0,2405119.0,2480321.0,2555663.0,2631045.0,2706329.0,2781629.0,2856854.0,2932104.0,3007454.0,3083254.0,3158071.0,3232685.0,3307609.0,3382465.0,3457257.0,3531817.0,3607247.0,3681766.0,3756524.0,3830973.0,3905451.0,3980251.0,4054817.0,4129277.0,4203609.0,4277741.0,4351958.0,4426395.0,4501454.0,4576442.0,4651129.0,4725910.0,4800208.0,4874392.0,4948744.0,5023018.0,5096882.0,5170881.0,5245475.0,5319737.0
1,995.0,1.0,hamilton,5.0,1.0,Finished,107409.0,236313.0,360751.0,485146.0,563306.0,640335.0,716625.0,793172.0,869803.0,946214.0,1023045.0,1099511.0,1176067.0,1252722.0,1328948.0,1421126.0,1500073.0,1575980.0,1651676.0,1727532.0,1803297.0,1878916.0,1955326.0,2031495.0,2107292.0,2182822.0,2258771.0,2334575.0,2410496.0,2486306.0,2561630.0,2637057.0,2713007.0,2788539.0,2863938.0,2939182.0,3014257.0,3089261.0,3164614.0,3239574.0,3314392.0,3389591.0,3464939.0,3539695.0,3614626.0,3689432.0,3764136.0,3839330.0,3914106.0,3988878.0,4063685.0,4138181.0,4212556.0,4287460.0,4362854.0,4437610.0,4511818.0,4586644.0,4661179.0,4735575.0,4810007.0,4884309.0,4958843.0,5033735.0,5108712.0,5182895.0,5257953.0,5332936.0
8,995.0,817.0,ricciardo,4.0,1.0,Finished,108328.0,237172.0,361649.0,485540.0,564021.0,641206.0,717904.0,794693.0,871713.0,948072.0,1024307.0,1100689.0,1177145.0,1253448.0,1329696.0,1405503.0,1496545.0,1574906.0,1650593.0,1726589.0,1802424.0,1878188.0,1954252.0,2030365.0,2106042.0,2181509.0,2257048.0,2332537.0,2408066.0,2483505.0,2558937.0,2635039.0,2710858.0,2786195.0,2861250.0,2936311.0,3011387.0,3086228.0,3162373.0,3237473.0,3312250.0,3387510.0,3463165.0,3537868.0,3612777.0,3687444.0,3762575.0,3837812.0,3912874.0,3987653.0,4062776.0,4137251.0,4211707.0,4286464.0,4360662.0,4435805.0,4510890.0,4585515.0,4659674.0,4734370.0,4809074.0,4883573.0,4958169.0,5033055.0,5107920.0,5182274.0,5257017.0,5332269.0
3,995.0,8.0,raikkonen,6.0,1.0,Finished,110068.0,239137.0,362804.0,485914.0,564871.0,642173.0,719104.0,796112.0,872671.0,949090.0,1025271.0,1101903.0,1178298.0,1254676.0,1331027.0,1407310.0,1483361.0,1559231.0,1635243.0,1710967.0,1787048.0,1862787.0,1938776.0,2014184.0,2089847.0,2165318.0,2241149.0,2316661.0,2392385.0,2468075.0,2543661.0,2635872.0,2714387.0,2789413.0,2864796.0,2940093.0,3015119.0,3090470.0,3165840.0,3241417.0,3316750.0,3392333.0,3467366.0,3543000.0,3618481.0,3693715.0,3769082.0,3844115.0,3918936.0,3993866.0,4068658.0,4143419.0,4217842.0,4292624.0,4367442.0,4442009.0,4517214.0,4591482.0,4665557.0,4740301.0,4814826.0,4889529.0,4963897.0,5038477.0,5113100.0,5187778.0,5263770.0,5338561.0
15,995.0,839.0,ocon,9.0,11.0,+1 Lap,110822.0,239803.0,364468.0,486389.0,566351.0,644244.0,721426.0,798572.0,875642.0,952502.0,1046996.0,1126067.0,1202788.0,1279671.0,1357456.0,1434695.0,1511935.0,1588999.0,1666263.0,1743375.0,1820336.0,1897484.0,1974382.0,2051180.0,2128114.0,2204723.0,2281478.0,2358125.0,2435093.0,2512348.0,2589314.0,2665813.0,2742709.0,2819879.0,2896713.0,2973295.0,3049821.0,3126267.0,3202748.0,3279136.0,3355641.0,3432091.0,3508549.0,3585001.0,3661297.0,3737671.0,3813733.0,3890165.0,3966510.0,4042159.0,4119604.0,4195405.0,4272084.0,4347928.0,4424042.0,4500458.0,4577995.0,4653865.0,4729596.0,4805514.0,4881124.0,4956737.0,5034742.0,5110809.0,5186832.0,5265041.0,5340910.0,
6,995.0,807.0,hulkenberg,7.0,11.0,+1 Lap,112345.0,241630.0,366822.0,486620.0,566813.0,644699.0,721602.0,799102.0,876078.0,953020.0,1029599.0,1105513.0,1198753.0,1277724.0,1354269.0,1431285.0,1508273.0,1585210.0,1662133.0,1739047.0,1816450.0,1893294.0,1970322.0,2046586.0,2123551.0,2200250.0,2277647.0,2354555.0,2431190.0,2507825.0,2584531.0,2661342.0,2738125.0,2814473.0,2891253.0,2967995.0,3044502.0,3120945.0,3197451.0,3274115.0,3350442.0,3426938.0,3503465.0,3579941.0,3656344.0,3732428.0,3808703.0,3885146.0,3961512.0,4037752.0,4114041.0,4190091.0,4266152.0,4343463.0,4419776.0,4495966.0,4573995.0,4649974.0,4726680.0,4802598.0,4878317.0,4953919.0,5029574.0,5105162.0,5180937.0,5258912.0,5335353.0,
13,995.0,832.0,sainz,8.0,11.0,+1 Lap,114314.0,242657.0,368241.0,487282.0,567333.0,645465.0,722503.0,799533.0,876808.0,953747.0,1030555.0,1107155.0,1183927.0,1277353.0,1355815.0,1432563.0,1509817.0,1586825.0,1663921.0,1740824.0,1817639.0,1894319.0,1971001.0,2048330.0,2124676.0,2201899.0,2278906.0,2355857.0,2432713.0,2509444.0,2586158.0,2662586.0,2739587.0,2816234.0,2892997.0,2969553.0,3046179.0,3122333.0,3199148.0,3275859.0,3352222.0,3428721.0,3505461.0,3581814.0,3658050.0,3734415.0,3811671.0,3887852.0,3963786.0,4039782.0,4115477.0,4191386.0,4268824.0,4345159.0,4422776.0,4498797.0,4574714.0,4652006.0,4728008.0,4803933.0,4879599.0,4955356.0,5031295.0,5109751.0,5185469.0,5261234.0,5337115.0,
7,995.0,815.0,perez,14.0,11.0,+1 Lap,114881.0,244486.0,368879.0,487424.0,571101.0,650201.0,727620.0,805569.0,900407.0,979108.0,1055893.0,1132691.0,1209474.0,1286539.0,1364048.0,1441950.0,1520120.0,1598307.0,1676870.0,1754532.0,1832256.0,1908901.0,1985674.0,2062365.0,2139143.0,2215886.0,2292555.0,2369303.0,2446048.0,2522930.0,2600495.0,2678323.0,2754840.0,2831118.0,2907734.0,2983977.0,3060378.0,3136870.0,3213616.0,3290157.0,3367466.0,3443993.0,3521490.0,3614239.0,3692630.0,3770042.0,3845615.0,3921426.0,3997118.0,4072666.0,4148268.0,4224311.0,4299871.0,4375668.0,4452168.0,4528131.0,4603816.0,4679562.0,4755192.0,4830861.0,4906508.0,4981873.0,5057074.0,5132174.0,5207691.0,5283326.0,5358774.0,
17,995.0,844.0,leclerc,10.0,11.0,+1 Lap,117110.0,245853.0,369969.0,487796.0,567959.0,646814.0,724738.0,802915.0,881026.0,958858.0,1036626.0,1114137.0,1191547.0,1268641.0,1345830.0,1423125.0,1501162.0,1578468.0,1671725.0,1751514.0,1829063.0,1905746.0,1982525.0,2059468.0,2136585.0,2213211.0,2290056.0,2366901.0,2443433.0,2520214.0,2597188.0,2674066.0,2750853.0,2829021.0,2905614.0,2982114.0,3058578.0,3134948.0,3211325.0,3287512.0,3364501.0,3440904.0,3517186.0,3593326.0,3669289.0,3747015.0,3823289.0,3901232.0,3977157.0,4053256.0,4130451.0,4206661.0,4282781.0,4358646.0,4434269.0,4512839.0,4589388.0,4666349.0,4742539.0,4818242.0,4893958.0,4969868.0,5046082.0,5121852.0,5197332.0,5274960.0,5350898.0,
10,995.0,825.0,kevin_magnussen,13.0,11.0,+1 Lap,119138.0,246706.0,371174.0,488469.0,569984.0,648448.0,726612.0,804572.0,883359.0,961588.0,1040363.0,1118417.0,1196157.0,1273648.0,1351035.0,1428268.0,1505504.0,1583155.0,1660314.0,1737568.0,1814614.0,1907616.0,1987100.0,2063330.0,2139877.0,2217311.0,2294626.0,2371484.0,2448126.0,2526447.0,2603435.0,2680708.0,2759797.0,2837151.0,2914256.0,2991328.0,3068078.0,3144305.0,3221830.0,3298710.0,3376182.0,3454262.0,3530844.0,3608854.0,3684855.0,3761364.0,3839217.0,3916522.0,3993431.0,4071247.0,4147900.0,4223807.0,4299535.0,4375236.0,4450948.0,4526513.0,4602153.0,4677630.0,4753105.0,4828725.0,4904192.0,4979805.0,5055261.0,5130697.0,5206098.0,5281712.0,5358756.0,
18,995.0,845.0,sirotkin,17.0,12.0,+2 Laps,120783.0,248004.0,371909.0,488908.0,572716.0,653182.0,733070.0,812238.0,890697.0,969160.0,1047934.0,1127030.0,1205726.0,1283986.0,1362538.0,1440923.0,1519412.0,1597574.0,1675955.0,1754352.0,1833832.0,1911963.0,1990052.0,2067882.0,2145688.0,2240833.0,2322957.0,2400734.0,2478192.0,2556904.0,2636268.0,2717572.0,2795441.0,2873278.0,2950773.0,3028124.0,3105281.0,3182563.0,3259763.0,3336892.0,3413849.0,3490801.0,3567625.0,3644394.0,3721202.0,3797755.0,3874286.0,3950799.0,4027447.0,4104159.0,4180701.0,4257138.0,4333062.0,4409381.0,4485861.0,4562267.0,4640041.0,4716842.0,4793170.0,4869669.0,4947788.0,5026882.0,5103093.0,5179671.0,5256192.0,5338502.0,,
