,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
4,991.0,20.0,vettel,8.0,1.0,Finished,100327.0,198744.0,297216.0,396241.0,495110.0,593730.0,692388.0,791207.0,889981.0,988731.0,1087492.0,1186288.0,1285043.0,1384049.0,1482965.0,1582185.0,1681639.0,1781127.0,1880532.0,1984668.0,2100650.0,2198385.0,2295889.0,2393368.0,2491118.0,2588945.0,2687479.0,2785498.0,2883320.0,2981959.0,3084639.0,3246725.0,3404211.0,3552708.0,3698990.0,3797548.0,3895037.0,3992859.0,4090461.0,4188024.0,4285542.0,4384029.0,4489825.0,4590440.0,4688628.0,4786370.0,4884222.0,4982063.0,5080302.0,5178480.0,5276691.0,5374907.0,5473430.0,5571826.0,5672434.0,5771666.0
9,991.0,822.0,bottas,2.0,1.0,Finished,101407.0,200764.0,299838.0,398648.0,497629.0,596195.0,694912.0,793793.0,892476.0,991277.0,1090358.0,1189316.0,1288274.0,1387518.0,1486766.0,1585745.0,1685300.0,1784620.0,1888366.0,2002389.0,2099400.0,2196950.0,2294521.0,2392194.0,2489769.0,2588346.0,2686794.0,2784557.0,2882211.0,2980909.0,3081898.0,3244799.0,3403029.0,3550223.0,3698001.0,3795717.0,3893392.0,3991233.0,4089008.0,4186796.0,4284357.0,4381890.0,4479554.0,4576692.0,4675601.0,4773284.0,4870452.0,4967638.0,5064916.0,5161903.0,5259131.0,5356472.0,5453763.0,5550833.0,5648039.0,5745274.0
12,991.0,830.0,max_verstappen,5.0,1.0,Finished,102561.0,201928.0,301247.0,400668.0,500084.0,599185.0,698279.0,797624.0,896843.0,996027.0,1095475.0,1194620.0,1293688.0,1393138.0,1492569.0,1591926.0,1695974.0,1812290.0,1910045.0,2008495.0,2106682.0,2204536.0,2302212.0,2400598.0,2498385.0,2595947.0,2693489.0,2791128.0,2888852.0,2987099.0,3092158.0,3250871.0,3409306.0,3554921.0,3700394.0,3799486.0,3897066.0,3994452.0,4094015.0,4191492.0,4288668.0,4385339.0,4488407.0,4585359.0,4682750.0,4779637.0,4876315.0,4972604.0,5068884.0,5165090.0,5261452.0,5358169.0,5455229.0,5552463.0,5649551.0,5746816.0
3,991.0,8.0,raikkonen,3.0,1.0,Finished,103610.0,203190.0,302409.0,401975.0,501692.0,600964.0,700245.0,799843.0,899140.0,998341.0,1097852.0,1196983.0,1296246.0,1395869.0,1495489.0,1594875.0,1694306.0,1793318.0,1892480.0,1991718.0,2090880.0,2190258.0,2289574.0,2389241.0,2488498.0,2587833.0,2694031.0,2810296.0,2907206.0,3004854.0,3114259.0,3253502.0,3410584.0,3555796.0,3700936.0,3799955.0,3898946.0,3996888.0,4094666.0,4192768.0,4290137.0,4387535.0,4485255.0,4582286.0,4679152.0,4776035.0,4872708.0,4969164.0,5065839.0,5162509.0,5259863.0,5356993.0,5454344.0,5551604.0,5648873.0,5746017.0
1,991.0,1.0,hamilton,4.0,1.0,Finished,104362.0,204022.0,303575.0,403318.0,503181.0,602556.0,701729.0,801211.0,900407.0,999591.0,1099209.0,1198661.0,1297822.0,1397099.0,1496724.0,1596353.0,1696293.0,1799683.0,1914781.0,2011659.0,2108921.0,2206662.0,2304417.0,2402369.0,2500055.0,2597505.0,2695393.0,2793231.0,2890998.0,2989765.0,3094686.0,3249790.0,3408456.0,3553853.0,3699666.0,3798529.0,3896151.0,3993774.0,4091998.0,4190250.0,4288105.0,4386910.0,4486536.0,4584061.0,4681532.0,4778631.0,4875778.0,4974183.0,5071484.0,5168690.0,5265850.0,5363044.0,5461125.0,5558103.0,5655615.0,5753365.0
8,991.0,817.0,ricciardo,1.0,1.0,Finished,104974.0,205454.0,305513.0,405598.0,505313.0,604538.0,703760.0,802971.0,902226.0,1001392.0,1100756.0,1200031.0,1299588.0,1399043.0,1498787.0,1598158.0,1702406.0,1819041.0,1917336.0,2015495.0,2113540.0,2211378.0,2309326.0,2407149.0,2504706.0,2602355.0,2700044.0,2797584.0,2895518.0,2993691.0,3101869.0,3254788.0,3411341.0,3556622.0,3701909.0,3800608.0,3898304.0,3995322.0,4092648.0,4189615.0,4286223.0,4383422.0,4480392.0,4577293.0,4674043.0,4770264.0,4866247.0,4963485.0,5060504.0,5157337.0,5254065.0,5350837.0,5447424.0,5543854.0,5639639.0,5736380.0
6,991.0,807.0,hulkenberg,6.0,1.0,Finished,105727.0,206691.0,307302.0,407789.0,508505.0,608893.0,709369.0,809916.0,910461.0,1010640.0,1111394.0,1211842.0,1316474.0,1435757.0,1535446.0,1635305.0,1735068.0,1834690.0,1934283.0,2034640.0,2134817.0,2234377.0,2333961.0,2432970.0,2532030.0,2630752.0,2729846.0,2829270.0,2928819.0,3028392.0,3150469.0,3301772.0,3415170.0,3558214.0,3703201.0,3801726.0,3900374.0,3998965.0,4097323.0,4195345.0,4293164.0,4391643.0,4490070.0,4588042.0,4686507.0,4784236.0,4881668.0,4979186.0,5076838.0,5174631.0,5272025.0,5369426.0,5466624.0,5563601.0,5660551.0,5757432.0
13,991.0,832.0,sainz,9.0,1.0,Finished,106138.0,207732.0,308598.0,409514.0,510615.0,611128.0,711608.0,812073.0,912532.0,1013116.0,1114049.0,1219644.0,1338419.0,1438156.0,1539298.0,1639629.0,1739542.0,1839646.0,1939619.0,2039238.0,2139305.0,2238965.0,2338516.0,2438329.0,2537717.0,2636917.0,2736523.0,2836257.0,2935947.0,3035854.0,3163919.0,3314897.0,3426878.0,3562472.0,3704807.0,3805824.0,3904417.0,4002976.0,4101137.0,4199500.0,4298041.0,4397161.0,4495723.0,4594409.0,4693266.0,4791454.0,4889687.0,4987579.0,5085680.0,5183569.0,5281379.0,5379149.0,5477014.0,5574768.0,5673263.0,5772143.0
5,991.0,154.0,grosjean,17.0,1.0,Finished,106682.0,208809.0,309702.0,410877.0,512083.0,613889.0,715185.0,816468.0,917386.0,1017871.0,1118588.0,1220020.0,1320519.0,1421173.0,1521851.0,1627171.0,1745178.0,1845028.0,1945272.0,2045287.0,2144808.0,2244903.0,2344741.0,2444495.0,2545590.0,2644945.0,2744358.0,2843685.0,2943663.0,3043358.0,3169337.0,3305780.0,3417450.0,3559348.0,3704498.0,3806471.0,3906384.0,4005887.0,4104897.0,4203684.0,4302628.0,4401404.0,4500103.0,4598807.0,4698767.0,4804168.0,4921232.0,5018944.0,5117044.0,5215102.0,5312512.0,5409995.0,5507806.0,5606027.0,5703686.0,5801676.0
10,991.0,825.0,kevin_magnussen,10.0,1.0,Finished,107340.0,209560.0,310759.0,411479.0,512876.0,613521.0,714434.0,815553.0,916095.0,1016354.0,1117059.0,1217274.0,1317600.0,1417805.0,1517966.0,1618033.0,1718080.0,1817962.0,1919880.0,2019646.0,2119599.0,2219571.0,2319361.0,2423614.0,2540803.0,2639085.0,2737724.0,2837058.0,2936867.0,3036506.0,3160141.0,3295383.0,3412184.0,3557332.0,3703501.0,3803730.0,3902860.0,4001667.0,4099898.0,4198096.0,4297035.0,4395729.0,4494095.0,4592596.0,4691072.0,4789346.0,4888345.0,4988314.0,5087351.0,5185862.0,5284236.0,5382416.0,5480855.0,5579007.0,5677341.0,5775974.0
