,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,288384.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,289722.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,290881.0,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,14,14,13,11,11,10,10,10,9,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8
3,292082.0,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
4,293155.0,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,6,11,13,12,11,11,11,10,10,10,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
5,294597.0,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,8,8,8,8,8,15,15,15,14,12,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,296054.0,7,7,7,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
7,297704.0,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,11,10,10,9,9,9,8,8,8,16,16,15,14,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,0
8,299749.0,9,9,9,9,9,9,9,9,9,9,9,9,10,11,12,12,12,12,12,12,12,12,12,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,301116.0,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,9,9,9,9,9,9,9,9,8,8,7,7,6,6,6,6,6,6,7,7,7,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,303191.0,11,11,11,11,11,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,12,17,17,17,17,16,16,16,16,16,16,16,15,14,13,13,13,13,13,0
11,304863.0,12,12,12,12,12,12,12,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,10,10,10,9,9,9,8,9,9,9,9,8,13,13,13,13,13,12,12,12,12,12,12,12,12,0
12,306198.0,13,13,13,13,13,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,13,12,12,12,11,11,11,11,16,17,17,17,17,17,17,17,16,16,15,14,14,14,14,0
13,307413.0,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,14,14,15,14,14,14,14,14,14,14,14,13,13,14,0,0,0,0,0
14,309012.0,15,15,15,15,15,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,15,16,16,15,15,15,15,15,15,15,15,14,15,16,15,15,15,15,0
15,310704.0,16,16,16,16,16,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,13,13,13,13,12,12,12,12,12,12,12,13,17,17,17,16,16,0,0,0
16,311580.0,17,17,17,17,17,15,13,12,11,11,10,10,9,8,8,8,7,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,331676.0,18,18,18,18,18,16,16,14,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,9,9,7,7,7,7,7,7,6,6,6,6,6,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7
