,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,996.0,1.0,hamilton,1.0,1.0,Finished,129395.0,288384.0,437540.0,586763.0,730897.0,828585.0,926039.0,1022972.0,1120357.0,1217818.0,1315316.0,1412658.0,1509677.0,1606662.0,1703626.0,1800655.0,1897292.0,1993770.0,2090218.0,2186605.0,2283482.0,2380044.0,2476419.0,2572597.0,2668961.0,2764624.0,2860417.0,2956400.0,3052259.0,3148031.0,3244308.0,3340582.0,3458295.0,3557149.0,3652497.0,3747862.0,3843606.0,3938814.0,4034193.0,4129828.0,4226533.0,4321531.0,4416344.0,4511173.0,4606245.0,4701162.0,4796495.0,4891166.0,4985675.0,5080345.0,5175939.0,5305081.0,5411385.0
12,996.0,830.0,max_verstappen,2.0,1.0,Finished,130952.0,289722.0,438628.0,587701.0,731770.0,829825.0,927553.0,1025099.0,1122687.0,1220443.0,1318147.0,1415602.0,1513004.0,1610417.0,1707568.0,1804702.0,1901661.0,1998410.0,2095216.0,2192170.0,2288803.0,2385605.0,2482468.0,2579514.0,2697134.0,2796337.0,2892251.0,2988197.0,3083903.0,3179660.0,3275585.0,3371183.0,3466887.0,3562468.0,3657825.0,3752980.0,3848190.0,3943636.0,4039256.0,4134767.0,4229832.0,4326339.0,4421566.0,4516684.0,4611379.0,4706168.0,4800443.0,4895348.0,4990315.0,5085283.0,5181315.0,5312480.0,5418475.0
13,996.0,832.0,sainz,8.0,1.0,Finished,132426.0,290881.0,440021.0,588806.0,732158.0,831154.0,929905.0,1028832.0,1128979.0,1229248.0,1328776.0,1428110.0,1527230.0,1626086.0,1724901.0,1823734.0,1922359.0,2021112.0,2119606.0,2219199.0,2317890.0,2416734.0,2515441.0,2613892.0,2712707.0,2833646.0,2933926.0,3031121.0,3128361.0,3225762.0,3322896.0,3420063.0,3517242.0,3614233.0,3711347.0,3808347.0,3905145.0,4001998.0,4098503.0,4194853.0,4291178.0,4387352.0,4483262.0,4579169.0,4675215.0,4770853.0,4866792.0,4963394.0,5062470.0,5162659.0,5288178.0,5400170.0,5498569.0
8,996.0,817.0,ricciardo,4.0,1.0,Finished,133704.0,292082.0,441009.0,589954.0,732694.0,831615.0,930600.0,1029296.0,1127577.0,1225575.0,1323163.0,1420461.0,1517487.0,1614588.0,1711643.0,1808714.0,1905639.0,2002453.0,2099061.0,2195623.0,2292084.0,2388549.0,2485173.0,2581820.0,2678398.0,2775190.0,2872390.0,2990168.0,3089986.0,3186054.0,3282260.0,3378151.0,3473995.0,3569673.0,3665557.0,3761038.0,3856420.0,3951863.0,4047338.0,4142911.0,4239361.0,4335723.0,4432621.0,4529473.0,4627441.0,4723131.0,4821165.0,4916889.0,5012757.0,5109182.0,5220577.0,5346181.0,5446121.0
10,996.0,825.0,kevin_magnussen,6.0,1.0,Finished,134863.0,293155.0,441845.0,591252.0,733279.0,833479.0,932651.0,1032822.0,1132516.0,1231997.0,1331259.0,1430836.0,1529550.0,1628385.0,1727094.0,1826008.0,1924619.0,2024242.0,2122929.0,2221535.0,2320322.0,2418846.0,2517423.0,2615554.0,2713855.0,2812427.0,2910330.0,3030194.0,3130557.0,3228131.0,3325253.0,3422371.0,3519291.0,3616229.0,3713497.0,3811281.0,3908166.0,4004764.0,4101415.0,4198068.0,4294611.0,4391090.0,4487531.0,4583424.0,4679127.0,4774824.0,4870439.0,4965994.0,5062794.0,5158219.0,5282290.0,5395113.0,5490749.0
17,996.0,844.0,leclerc,10.0,1.0,Finished,136033.0,294597.0,443849.0,592503.0,733509.0,835179.0,935639.0,1034931.0,1134470.0,1234036.0,1333400.0,1432783.0,1531284.0,1629929.0,1728653.0,1827404.0,1926743.0,2025436.0,2124160.0,2222540.0,2321261.0,2419745.0,2518243.0,2619397.0,2718207.0,2816694.0,2915171.0,3014909.0,3113417.0,3212359.0,3333374.0,3433355.0,3529937.0,3626994.0,3724759.0,3821638.0,3918824.0,4016667.0,4113835.0,4210843.0,4307439.0,4403897.0,4500083.0,4596281.0,4692258.0,4788414.0,4884634.0,4980888.0,5077165.0,5173806.0,5302515.0,5408853.0,5505258.0
3,996.0,8.0,raikkonen,3.0,1.0,Finished,136641.0,296054.0,444377.0,593643.0,733936.0,833782.0,933100.0,1031179.0,1129481.0,1227563.0,1325612.0,1423348.0,1520812.0,1618225.0,1715448.0,1812217.0,1908863.0,2006121.0,2102761.0,2199510.0,2296317.0,2393062.0,2489585.0,2586296.0,2683151.0,2780182.0,2876919.0,2973815.0,3070541.0,3167385.0,3264251.0,3361005.0,3457530.0,3575717.0,3674551.0,3769361.0,3864398.0,3960055.0,4055999.0,4150961.0,4245555.0,4340260.0,4435462.0,4531396.0,4628422.0,4723515.0,4819512.0,4913910.0,5008330.0,5103256.0,5207446.0,5338961.0,5437273.0
5,996.0,154.0,grosjean,11.0,11.0,+1 Lap,137779.0,297704.0,446359.0,595492.0,734752.0,835321.0,936479.0,1035510.0,1135131.0,1235194.0,1335400.0,1435213.0,1534714.0,1634862.0,1734160.0,1834382.0,1933312.0,2032178.0,2132283.0,2231692.0,2330433.0,2429160.0,2527765.0,2626289.0,2724818.0,2823242.0,2921651.0,3019810.0,3117661.0,3215684.0,3313650.0,3411100.0,3508915.0,3633419.0,3733338.0,3830152.0,3926749.0,4023661.0,4120702.0,4217601.0,4314145.0,4410523.0,4506801.0,4602722.0,4699208.0,4797999.0,4893694.0,4992121.0,5088163.0,5185513.0,5319239.0,5422411.0,
7,996.0,815.0,perez,18.0,5.0,Engine,138853.0,299749.0,447326.0,596746.0,735232.0,836074.0,937663.0,1037157.0,1136522.0,1236445.0,1336500.0,1436491.0,1536922.0,1637508.0,1738971.0,1838010.0,1936858.0,2035619.0,2134231.0,2233127.0,2331823.0,2430553.0,2529067.0,2627922.0,2726241.0,2824722.0,2923202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,996.0,807.0,hulkenberg,9.0,1.0,Finished,140783.0,301116.0,449578.0,598570.0,735758.0,836625.0,938065.0,1037565.0,1137417.0,1237486.0,1338416.0,1438328.0,1537631.0,1636171.0,1734785.0,1832988.0,1931060.0,2029238.0,2127352.0,2225332.0,2323598.0,2422031.0,2520208.0,2618140.0,2716146.0,2814137.0,2912278.0,3010178.0,3107793.0,3205557.0,3303333.0,3401352.0,3498871.0,3597410.0,3696033.0,3794289.0,3914130.0,4014532.0,4111213.0,4208097.0,4304508.0,4401061.0,4497577.0,4593907.0,4689961.0,4785834.0,4881761.0,4977865.0,5074138.0,5171081.0,5298916.0,5406657.0,5503374.0
