,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1005,1,hamilton,131,1,1,Finished,94531,188998,284382,413765,560754,708979,858523,952960,1047306.0,1141824.0,1236535.0,1332125.0,1427784.0,1522997.0,1618126.0,1712894.0,1807665.0,1902449.0,1997221.0,2091557.0,2185915.0,2280098.0,2374111.0,2470757.0,2583361.0,2677076.0,2770955.0,2864981.0,2959672.0,3054642.0,3149023.0,3243556.0,3338159.0,3432915.0,3527222.0,3621489.0,3716401.0,3812451.0,3907176.0,4001397.0,4110992.0,4209108.0,4303348.0,4396307.0,4489496.0,4582627.0,4675745.0,4769320.0,4863777.0,4956856.0,5049641.0,5143128.0,5237062.0
8,1005,822,bottas,131,2,1,Finished,95872,191315,286884,419014,562127,710416,859287,954278,1049472.0,1144378.0,1239288.0,1334391.0,1430103.0,1525721.0,1621064.0,1716310.0,1811523.0,1906771.0,2001309.0,2096123.0,2190443.0,2285156.0,2382002.0,2494502.0,2588021.0,2681726.0,2775737.0,2870313.0,2965057.0,3059500.0,3154614.0,3249319.0,3344050.0,3438665.0,3532983.0,3627538.0,3721832.0,3817028.0,3912601.0,4006793.0,4118473.0,4214867.0,4309584.0,4403269.0,4499301.0,4592411.0,4686722.0,4780583.0,4873854.0,4967366.0,5061270.0,5156544.0,5249981.0
11,1005,830,max_verstappen,9,3,1,Finished,98437,193548,288808,421510,563830,711550,859787,956590,1051683.0,1146810.0,1242204.0,1337518.0,1432933.0,1528337.0,1623548.0,1718723.0,1814030.0,1909512.0,2004899.0,2100282.0,2197743.0,2316614.0,2410454.0,2504795.0,2598653.0,2692396.0,2785983.0,2880005.0,2973785.0,3068153.0,3162450.0,3256806.0,3350777.0,3444507.0,3538131.0,3631933.0,3725424.0,3819230.0,3913673.0,4008544.0,4119136.0,4216088.0,4310752.0,4404681.0,4500120.0,4594070.0,4687697.0,4782118.0,4876209.0,4969576.0,5063122.0,5157494.0,5251357.0
3,1005,20,vettel,6,6,1,Finished,98979,194730,290145,423232,564893,712879,860254,970928,1067321.0,1165305.0,1264610.0,1361654.0,1459185.0,1555479.0,1652566.0,1749834.0,1846534.0,1943393.0,2039643.0,2136348.0,2231632.0,2327822.0,2424337.0,2521386.0,2618411.0,2718624.0,2830482.0,2926913.0,3022227.0,3118333.0,3211982.0,3306495.0,3399738.0,3494162.0,3587951.0,3682360.0,3777008.0,3872144.0,3967045.0,4064079.0,4176230.0,4270725.0,4365593.0,4460639.0,4555293.0,4649940.0,4744531.0,4838946.0,4933205.0,5027663.0,5121947.0,5214617.0,5306935.0
2,1005,8,raikkonen,6,5,1,Finished,99547,196047,292268,423885,566067,714414,860672,957212,1053521.0,1148996.0,1244600.0,1340348.0,1436055.0,1531839.0,1627973.0,1724361.0,1822813.0,1936564.0,2031555.0,2126974.0,2223681.0,2318888.0,2415033.0,2509671.0,2604523.0,2698992.0,2793254.0,2887477.0,2981707.0,3076099.0,3170378.0,3264726.0,3359131.0,3453441.0,3547806.0,3642442.0,3736949.0,3831619.0,3926087.0,4021203.0,4134623.0,4229214.0,4324241.0,4419694.0,4515360.0,4610995.0,4706852.0,4803018.0,4899184.0,4995585.0,5092700.0,5189654.0,5288060.0
4,1005,154,grosjean,210,8,1,Finished,99816,197960,294670,424669,567406,716099,861259,958902,1055637.0,1152434.0,1249360.0,1346596.0,1444398.0,1542012.0,1639050.0,1736325.0,1833311.0,1930037.0,2026953.0,2123587.0,2220353.0,2318447.0,2416724.0,2513932.0,2610723.0,2707422.0,2804206.0,2900539.0,2999118.0,3113997.0,3208844.0,3303835.0,3398977.0,3495975.0,3591276.0,3686271.0,3781485.0,3877189.0,3972494.0,4074071.0,4184437.0,4280147.0,4375006.0,4469832.0,4564623.0,4659738.0,4754524.0,4849677.0,4944528.0,5039383.0,5134191.0,5229058.0,5324260.0
16,1005,842,gasly,5,11,11,+1 Lap,100876,198829,296182,427265,569168,717459,861656,959919,1056762.0,1153764.0,1250821.0,1347860.0,1445979.0,1543340.0,1640471.0,1737681.0,1834735.0,1931626.0,2028566.0,2125754.0,2223554.0,2322161.0,2419220.0,2516856.0,2614421.0,2712026.0,2809547.0,2907325.0,3007566.0,3123300.0,3219709.0,3316491.0,3410822.0,3507804.0,3601937.0,3696557.0,3791369.0,3886436.0,3981624.0,4087180.0,4192137.0,4287206.0,4382502.0,4478172.0,4573841.0,4669856.0,4766199.0,4863168.0,4961383.0,5059744.0,5159719.0,5258955.0,
6,1005,815,perez,10,7,1,Finished,101385,199592,297278,428209,571044,719081,862109,960350,1057538.0,1154391.0,1252314.0,1349776.0,1447460.0,1545030.0,1642178.0,1739470.0,1836309.0,1933113.0,2029593.0,2126657.0,2225272.0,2322881.0,2420145.0,2519928.0,2633957.0,2731384.0,2826927.0,2923118.0,3019568.0,3115686.0,3211054.0,3307451.0,3402588.0,3497752.0,3592929.0,3688152.0,3783400.0,3878815.0,3974112.0,4076226.0,4184049.0,4278316.0,4372389.0,4466712.0,4561038.0,4655403.0,4749856.0,4844447.0,4939001.0,5033311.0,5127532.0,5221878.0,5316441.0
14,1005,839,ocon,10,9,1,Finished,101973,200323,298382,429469,571700,720301,862497,961123,1059225.0,1156471.0,1253873.0,1351348.0,1448912.0,1546060.0,1643285.0,1740733.0,1838049.0,1934667.0,2031241.0,2129066.0,2226248.0,2323860.0,2421099.0,2518457.0,2615205.0,2715175.0,2829838.0,2925031.0,3021012.0,3118740.0,3215306.0,3310350.0,3405608.0,3500877.0,3595778.0,3690926.0,3785975.0,3881068.0,3976134.0,4078792.0,4185796.0,4280838.0,4375868.0,4470738.0,4565540.0,4660427.0,4755567.0,4850840.0,4945790.0,5040460.0,5135133.0,5229861.0,5325117.0
17,1005,843,brendon_hartley,5,13,11,+1 Lap,102637,201184,300195,435117,573896,723044,863460,963424,1061833.0,1159815.0,1257944.0,1355381.0,1453200.0,1551155.0,1648584.0,1745837.0,1843392.0,1941365.0,2038639.0,2135770.0,2234658.0,2332116.0,2429411.0,2526649.0,2623973.0,2721284.0,2818610.0,2918298.0,3033715.0,3128572.0,3224788.0,3322360.0,3420011.0,3517207.0,3613512.0,3708586.0,3804010.0,3900031.0,3996344.0,4105730.0,4207715.0,4305083.0,4401757.0,4501736.0,4599049.0,4697353.0,4794806.0,4891799.0,4988781.0,5086285.0,5183267.0,5280804.0,
