,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,994.0,817.0,ricciardo,1.0,1.0,Finished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,994.0,20.0,vettel,2.0,1.0,Finished,1135.0,1447.0,1725.0,1417.0,1695.0,1588.0,1770.0,1658.0,2050.0,1662.0,1871.0,1963.0,2540.0,2813.0,3618.0,20793.0,6385.0,3263.0,3095.0,2224.0,2310.0,1900.0,1907.0,2177.0,1706.0,1725.0,1643.0,1042.0,778.0,1178.0,1155.0,1328.0,1351.0,1522.0,1732.0,1481.0,1569.0,1545.0,1689.0,1395.0,1701.0,1530.0,1514.0,1485.0,1755.0,1642.0,1496.0,1445.0,1417.0,1195.0,1403.0,1164.0,1477.0,1247.0,957.0,995.0,859.0,1232.0,1281.0,1211.0,1220.0,940.0,1229.0,991.0,1150.0,1155.0,1163.0,1559.0,1874.0,1844.0,1366.0,1894.0,3045.0,5165.0,5237.0,6569.0,7460.0,7336.0
2,994.0,1.0,hamilton,3.0,1.0,Finished,2116.0,2466.0,2764.0,2918.0,3197.0,3237.0,3783.0,3661.0,3852.0,4045.0,5131.0,22730.0,26169.0,27741.0,28277.0,28015.0,12907.0,9523.0,8858.0,7723.0,8253.0,7897.0,7970.0,9307.0,8682.0,9034.0,8173.0,7926.0,9500.0,10966.0,10801.0,9763.0,9183.0,8643.0,7988.0,7601.0,6514.0,5350.0,4800.0,4469.0,4133.0,3478.0,3035.0,2954.0,3109.0,3067.0,3072.0,3015.0,2752.0,2689.0,2811.0,2527.0,2889.0,2704.0,2509.0,3029.0,3741.0,4045.0,4196.0,3956.0,3962.0,4108.0,4727.0,4697.0,4641.0,4660.0,5930.0,6786.0,8426.0,9812.0,10955.0,14351.0,13946.0,13130.0,13755.0,15204.0,16663.0,17013.0
3,994.0,8.0,raikkonen,4.0,1.0,Finished,3038.0,3317.0,3663.0,3592.0,3923.0,4042.0,4586.0,4647.0,4818.0,4987.0,6157.0,7215.0,8045.0,9132.0,10523.0,11671.0,14924.0,14114.0,13131.0,11376.0,10291.0,9389.0,9659.0,9984.0,9679.0,10291.0,10070.0,9559.0,10955.0,12146.0,12514.0,12299.0,12472.0,12073.0,11809.0,11423.0,10367.0,9574.0,8902.0,8008.0,8047.0,7488.0,6844.0,6661.0,6857.0,6459.0,6296.0,6176.0,5843.0,5015.0,4901.0,4653.0,4629.0,3986.0,4331.0,5607.0,5868.0,6605.0,6870.0,7225.0,7531.0,7624.0,8320.0,8658.0,9510.0,10190.0,11161.0,12743.0,13818.0,14420.0,15137.0,23318.0,20984.0,14489.0,15398.0,16677.0,18155.0,18127.0
4,994.0,822.0,bottas,5.0,1.0,Finished,3852.0,4347.0,4633.0,4911.0,5378.0,5684.0,6563.0,7012.0,7963.0,8684.0,10184.0,12073.0,15525.0,18777.0,22328.0,24762.0,29019.0,27391.0,27040.0,24759.0,22676.0,21963.0,20548.0,19414.0,17560.0,16384.0,14939.0,13478.0,13497.0,13355.0,13092.0,13099.0,14161.0,13715.0,13487.0,12665.0,11672.0,10155.0,9342.0,9817.0,9743.0,9126.0,8339.0,8037.0,8162.0,8219.0,7879.0,7971.0,7433.0,6401.0,6346.0,6282.0,6144.0,5425.0,5432.0,6430.0,7089.0,7702.0,8087.0,8083.0,8612.0,8813.0,9251.0,9684.0,10426.0,10996.0,13089.0,14236.0,15031.0,15822.0,16249.0,24424.0,21616.0,15979.0,16419.0,17671.0,18801.0,18822.0
5,994.0,839.0,ocon,6.0,1.0,Finished,4903.0,5778.0,6808.0,7679.0,8629.0,9841.0,11438.0,12999.0,15031.0,16849.0,19469.0,21839.0,25526.0,29840.0,32808.0,34519.0,20617.0,18748.0,19428.0,19665.0,20648.0,21872.0,41695.0,45118.0,45532.0,46653.0,46891.0,46753.0,47523.0,48527.0,47668.0,47385.0,46959.0,45977.0,44866.0,43697.0,42113.0,41276.0,40460.0,39203.0,38360.0,37036.0,35718.0,34562.0,33414.0,32311.0,31045.0,31227.0,30523.0,29994.0,29431.0,29023.0,29472.0,27859.0,26078.0,25331.0,24510.0,23813.0,22855.0,21798.0,21576.0,21146.0,20314.0,19356.0,18602.0,18029.0,17820.0,17654.0,17102.0,17035.0,17238.0,27977.0,24955.0,17466.0,18989.0,20611.0,22506.0,23667.0
6,994.0,4.0,alonso,20.0,6.0,Gearbox,6457.0,8309.0,10289.0,11949.0,13535.0,15269.0,17169.0,19460.0,21361.0,23001.0,25267.0,27256.0,30683.0,34193.0,37450.0,39556.0,26403.0,25062.0,43389.0,46876.0,48059.0,46831.0,45568.0,46736.0,46844.0,48025.0,48270.0,48510.0,49230.0,49792.0,49329.0,49089.0,48846.0,47702.0,46232.0,45070.0,43572.0,43607.0,42848.0,42371.0,42164.0,40371.0,38890.0,37278.0,36879.0,35139.0,33864.0,33374.0,32650.0,34383.0,36373.0,39125.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,994.0,832.0,sainz,10.0,1.0,Finished,7252.0,9609.0,11567.0,13353.0,15480.0,17462.0,19832.0,22120.0,24498.0,26305.0,29250.0,31343.0,35264.0,39452.0,44337.0,64892.0,52707.0,50179.0,49627.0,50152.0,50729.0,50539.0,50196.0,50316.0,49859.0,50619.0,50900.0,50729.0,51888.0,52815.0,52997.0,53109.0,53424.0,53182.0,52598.0,51931.0,51114.0,52096.0,52230.0,51861.0,51828.0,51354.0,50680.0,49736.0,49221.0,48165.0,46719.0,45653.0,44271.0,42567.0,41916.0,41217.0,40780.0,39258.0,40551.0,42227.0,45980.0,46665.0,47397.0,47781.0,48220.0,49282.0,50059.0,50473.0,51264.0,51920.0,53225.0,54522.0,55480.0,57153.0,59021.0,76767.0,65739.0,61372.0,63477.0,65770.0,67861.0,69013.0
8,994.0,815.0,perez,12.0,1.0,Finished,8643.0,11117.0,13018.0,14785.0,16612.0,18772.0,21352.0,23717.0,25885.0,27768.0,30508.0,32727.0,36660.0,40536.0,45113.0,49016.0,35118.0,32836.0,33936.0,34368.0,56871.0,59730.0,59822.0,59093.0,57774.0,57259.0,56109.0,55399.0,55993.0,57622.0,58595.0,59318.0,60567.0,60403.0,60915.0,61022.0,60926.0,61285.0,62067.0,62281.0,61865.0,61870.0,61494.0,62043.0,62978.0,63643.0,63295.0,63219.0,62424.0,61884.0,61144.0,60621.0,60675.0,58198.0,57705.0,58256.0,58373.0,58634.0,58511.0,58338.0,57868.0,57756.0,57682.0,58094.0,58790.0,59457.0,60058.0,61537.0,62805.0,63985.0,68149.0,90322.0,74278.0,66393.0,67770.0,68949.0,70102.0,70461.0
9,994.0,842.0,gasly,7.0,1.0,Finished,9415.0,11899.0,13901.0,15667.0,17518.0,19579.0,22271.0,24658.0,27132.0,29278.0,32557.0,34827.0,38503.0,42449.0,46652.0,50142.0,37102.0,35470.0,36572.0,36923.0,37775.0,37887.0,38037.0,38332.0,37845.0,37578.0,37134.0,35951.0,35739.0,35784.0,34921.0,34395.0,33774.0,33003.0,32028.0,31224.0,47691.0,48464.0,47061.0,44880.0,44348.0,43365.0,42729.0,41704.0,41138.0,40205.0,39703.0,37574.0,35558.0,34815.0,36876.0,36717.0,35247.0,31847.0,30051.0,28988.0,27978.0,27385.0,26307.0,25426.0,24784.0,24162.0,23813.0,23254.0,22495.0,21877.0,21545.0,21315.0,20912.0,20954.0,20906.0,30343.0,26237.0,18962.0,20067.0,21990.0,23538.0,24331.0
