,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,1003,1,hamilton,131,1,1,Finished,143334,310144,469330,634409,742461,851024,958543,1065289,1172881,1280438,1388258,1493760,1598689,1703092,1814742,1941793,2047148,2152950,2258884,2365498,2470633,2576463,2682277,2788027,2893641,2999408,3104511,3210375,3315613,3421255,3526188,3631492,3736613,3842045,3947420,4054825,4163120,4273186,4377792,4482929,4588157,4692841,4797579,4902476,5008160,5112726,5217501,5322067,5425867,5530122,5634870,5738158,5841661,5946149,6049401,6152314,6256011,6359564,6463366,6566904.0,6671611.0
3,1003,20,vettel,6,3,1,Finished,144278,312542,471628,635267,743572,852043,959440,1066698,1174125,1281752,1389445,1495549,1600901,1713898,1836970,1946306,2052428,2160423,2266288,2372354,2478084,2583840,2689393,2795192,2901128,3006597,3111924,3217568,3323173,3429124,3534680,3640282,3745915,3851483,3957062,4062636,4168571,4277953,4384629,4490275,4595602,4701011,4805936,4911085,5016502,5122185,5227684,5332353,5437597,5543398,5648617,5753922,5860389,5966345,6073083,6179632,6285508,6391356,6497185,6603581.0,6711556.0
11,1003,830,max_verstappen,9,2,1,Finished,145361,314201,472347,636056,744416,852775,960492,1067678,1175026,1282732,1390486,1497312,1603274,1709041,1814324,1919540,2032048,2157706,2263599,2369352,2475343,2581084,2686714,2792718,2898580,3004170,3109675,3214926,3320535,3425774,3531316,3636550,3741652,3846836,3952485,4058187,4165087,4275481,4381459,4486327,4591540,4696715,4801411,4906303,5011551,5116705,5220956,5325677,5430374,5534226,5637759,5742539,5846149,5949494,6054816,6158507,6262412,6366442,6470358,6575537.0,6680572.0
8,1003,822,bottas,131,4,1,Finished,146833,315227,474143,636679,745156,853855,961764,1069163,1176470,1284284,1392143,1499268,1606107,1712426,1818265,1931828,2056951,2162495,2268175,2374366,2480764,2587142,2692985,2798372,2903799,3009611,3115075,3220750,3326434,3432247,3537711,3643348,3748800,3854521,3960240,4065601,4171486,4279804,4388357,4494979,4599791,4704511,4811856,4917359,5022717,5127586,5232941,5339087,5445303,5551657,5657697,5763953,5869993,5976024,6082592,6189111,6296016,6403092,6509439,6616650.0,6723541.0
2,1003,8,raikkonen,6,5,1,Finished,148568,316161,475380,637313,746130,854946,962945,1070681,1178056,1285535,1393497,1500736,1607805,1714040,1820299,1926779,2032326,2138522,2245104,2351115,2457789,2573188,2697459,2802205,2907470,3013050,3118704,3224088,3329883,3435279,3540835,3646930,3752521,3857824,3962634,4067943,4173952,4280691,4389731,4496391,4601625,4707516,4813306,4919038,5024761,5129476,5234729,5340474,5446446,5552683,5658969,5765143,5871221,5977475,6083582,6190075,6296807,6404559,6510865,6617787.0,6724612.0
7,1003,817,ricciardo,9,6,1,Finished,149326,317112,477780,638177,747216,856020,964115,1072338,1180116,1287942,1396056,1503844,1611367,1718172,1824111,1930192,2036445,2142165,2247853,2353765,2460449,2567139,2672984,2779393,2885815,2992043,3106933,3234972,3342513,3448301,3553904,3659178,3764201,3869535,3973388,4078166,4183360,4288517,4395060,4501042,4606996,4711789,4815441,4920876,5026162,5130905,5237091,5344487,5447822,5554189,5659885,5766118,5872578,5981821,6085035,6192292,6300994,6408983,6512103,6618819.0,6725593.0
6,1003,815,perez,10,16,11,+1 Lap,150503,317852,478442,639687,748360,857323,965711,1073679,1181681,1289826,1398076,1506590,1616101,1725756,1835392,1945967,2063786,2192903,2300411,2408965,2518357,2627532,2736506,2845500,2954748,3063416,3172014,3281213,3390808,3499272,3607833,3716331,3841918,3969560,4075635,4181305,4286907,4395950,4513691,4636204,4742735,4849084,4955655,5064580,5173202,5279752,5385474,5490863,5596531,5702378,5808558,5914245,6019937,6125816,6232097,6338531,6445388,6553400,6662385,6769091.0,
4,1003,154,grosjean,210,15,11,+1 Lap,151724,319178,479643,640562,749917,859037,967971,1076594,1185814,1294824,1404220,1514005,1624657,1735211,1845985,1965131,2093547,2201798,2310427,2418956,2527044,2635046,2743519,2851498,2959879,3067798,3176353,3285406,3393721,3502121,3610506,3718938,3828526,3941132,4051569,4162463,4276988,4387041,4498584,4605834,4714979,4821702,4928348,5035357,5142576,5249484,5356225,5462689,5569006,5675947,5781950,5888417,5994875,6101097,6207128,6313748,6419652,6526251,6634476,6742257.0,
1,1003,4,alonso,1,7,1,Finished,152992,320269,481360,641212,751467,861200,970394,1079205,1187948,1296945,1406605,1515825,1625657,1735860,1846898,1957930,2065352,2172874,2279672,2386783,2493831,2600973,2708225,2815311,2922687,3029569,3136365,3243511,3350301,3457503,3564308,3671201,3777900,3885043,3991880,4098776,4206775,4322050,4449497,4555032,4660953,4766911,4873647,4977165,5083303,5188089,5293466,5398996,5504860,5611932,5718015,5822896,5927570,6032973,6140855,6247998,6351162,6455773,6560847,6665859.0,6774622.0
12,1003,832,sainz,4,8,11,+1 Lap,154075,321852,482441,642071,752708,863045,972549,1081749,1190673,1299551,1408934,1518608,1627874,1737176,1847731,1959027,2067027,2174830,2282298,2389731,2497141,2604395,2711652,2818824,2926056,3033370,3140528,3247555,3354467,3461572,3568623,3675646,3782951,3889618,3996549,4103713,4219054,4345971,4453095,4560722,4668922,4776977,4888150,4994872,5100682,5206954,5312356,5417836,5523163,5628374,5733751,5839132,5945558,6053509,6161689,6267310,6372983,6479310,6585824,6693079.0,
