,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,1030,1,hamilton,131,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1030,844,leclerc,6,3,1,Finished,1681,2002,2771,3010,3381,4287,4726,5165,5400,5846,6382,8458,29434,28837,28390,28306,29227,29790,30319,30660,29774,30085,29221,29133,29455,27457,7466,9568,10597,11776,13327,16845,18730,19394,20308,21345,22780,24819,44042,42920,41966,40812,40258,39481,40341,39574.0,39271.0,39476.0,39947.0,40743.0,40969.0,40758.0,43353.0,43472.0,43435.0
2,1030,830,max_verstappen,9,2,1,Finished,3247,3788,4530,4922,5298,6239,6614,7087,7516,8051,8676,8861,9251,9592,10205,10747,11333,12091,13028,13381,12725,13109,12394,12614,14709,32192,12247,12828,12785,12973,13925,15073,15475,14863,15304,15850,15602,14216,14177,14319,14167,13929,14379,15206,17153,17174.0,17241.0,17007.0,17234.0,16942.0,16747.0,16397.0,18963.0,18519.0,16772.0
3,1030,20,vettel,6,5,1,Finished,3992,4895,5626,6223,6981,8188,8882,10049,10996,12150,13566,16905,41592,42553,44576,46745,49685,52175,53006,53338,52781,52970,52495,52547,52133,50113,30399,32294,33598,34649,36223,37749,40089,41259,42425,43257,44376,46787,67443,67376,67045,66909,65850,66236,67683,67134.0,66683.0,66737.0,66178.0,65652.0,64340.0,63352.0,66370.0,67095.0,64357.0
4,1030,848,albon,9,6,1,Finished,5070,6841,8164,9129,10109,11293,13016,14225,15582,16983,18388,19310,22586,43908,45355,47588,50396,52971,54299,55169,54747,55183,54616,55346,55476,53518,33954,35605,37084,38045,39264,41011,42213,43164,44432,45096,45851,45793,48777,50485,51580,52272,53239,54780,57401,58091.0,59020.0,59870.0,60541.0,61412.0,61819.0,62188.0,67693.0,68713.0,69205.0
5,1030,846,norris,1,8,11,+1 Lap,6138,8687,11246,13681,15967,18323,20670,25938,50102,51584,53919,55844,58610,61091,63985,67252,69973,71798,74609,76938,78166,80424,81177,82361,83777,83702,65068,68344,71048,73684,76452,79241,81819,83696,85745,87687,89482,90303,92268,94210,95637,97058,99693,103189,107030,109028.0,110880.0,112572.0,114332.0,115733.0,116929.0,120639.0,125319.0,129130.0,
6,1030,832,sainz,1,10,11,+1 Lap,6916,9762,12486,15140,17569,20149,22836,25802,28158,30777,33439,37686,60616,62656,65404,67977,70948,73002,76656,79308,80367,82313,83182,84622,86275,85930,67472,70603,73355,76117,78815,81803,84350,86218,88562,90850,93181,93889,96309,98572,101816,120256,120245,121233,123527,124518.0,125068.0,125695.0,126300.0,126868.0,127161.0,128475.0,132267.0,133987.0,
7,1030,817,ricciardo,4,11,11,+1 Lap,7674,10656,13581,16106,18468,21299,23776,26603,29149,31750,36141,57341,59713,62036,66427,69752,72235,75356,78096,80456,81400,83341,84179,85745,87145,86716,68331,71646,74448,76902,79794,82616,85177,87029,89573,91923,94349,95258,97416,101082,104304,107653,128218,128675,130865,130611.0,130445.0,130679.0,130421.0,130423.0,129644.0,129328.0,132797.0,134888.0,
8,1030,825,kevin_magnussen,210,14,11,+1 Lap,8186,12745,16194,19390,22608,27155,31337,34832,38164,41315,44380,47064,50137,53088,56069,59263,62505,65717,68944,73762,93773,94757,94908,96263,97025,96067,77209,80203,82539,84913,87490,90188,92783,94830,97199,99728,102580,106392,109738,112803,115193,118821,122756,125886,130105,133741.0,136308.0,138929.0,141699.0,146012.0,149184.0,151147.0,156094.0,158646.0,
9,1030,807,hulkenberg,4,12,11,+1 Lap,8573,11449,14541,17169,19377,22312,24750,27680,30298,32762,35261,36947,38529,40608,42819,45001,47968,53290,75431,78037,79075,81274,81980,83184,84666,84644,66181,69511,72084,74699,77488,80565,82945,84920,87068,89278,91244,92046,94273,96531,98038,99568,103466,105902,110787,114549.0,116655.0,120471.0,122362.0,124515.0,125958.0,127139.0,131265.0,136245.0,
