,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
17,1018.0,844.0,leclerc,2.0,1.0,Finished,71551.0,140833.0,210240.0,279558.0,349098.0,418504.0,488030.0,557723.0,627161.0,696653.0,766407.0,836028.0,905799.0,975415.0,1045201.0,1114729.0,1184174.0,1253401.0,1322819.0,1392372.0,1461986.0,1534605.0,1621787.0,1690749.0,1759777.0,1828785.0,1898359.0,1967430.0,2036706.0,2105901.0,2174930.0,2244160.0,2313040.0,2381860.0,2450204.0,2518838.0,2587800.0,2657080.0,2726178.0,2795002.0,2863745.0,2932687.0,3001866.0,3070616.0,3140162.0,3208911.0,3277832.0,3346678.0,3415387.0,3484256.0,3553239.0,3621752.0,3690647.0,3759073.0,3827603.0,3896307.0,3964532.0,4032526.0,4100648.0,4168658.0,4236794.0,4305383.0,4373446.0,4441977.0,4510459.0,4578867.0,4647872.0,4717085.0,4786944.0,4855399.0,4924546.0
9,1018.0,822.0,bottas,3.0,1.0,Finished,72813.0,142704.0,212437.0,281929.0,351340.0,420989.0,490617.0,560136.0,629782.0,699621.0,769683.0,839783.0,909813.0,979333.0,1048877.0,1118451.0,1187887.0,1257642.0,1327552.0,1396992.0,1469666.0,1556250.0,1625381.0,1694901.0,1764378.0,1833629.0,1902894.0,1971878.0,2041068.0,2110285.0,2179232.0,2248218.0,2317173.0,2386016.0,2454732.0,2523777.0,2593043.0,2662027.0,2730823.0,2799537.0,2868210.0,2936943.0,3005784.0,3074761.0,3143805.0,3213095.0,3282014.0,3350778.0,3419807.0,3488750.0,3557552.0,3626487.0,3695052.0,3763934.0,3832832.0,3903134.0,3972383.0,4041552.0,4110611.0,4179692.0,4248787.0,4317936.0,4386537.0,4455474.0,4525115.0,4594055.0,4663068.0,4731973.0,4801527.0,4871083.0,4940782.0
1,1018.0,1.0,hamilton,5.0,1.0,Finished,73741.0,144068.0,214250.0,284117.0,353728.0,423394.0,493083.0,562807.0,632652.0,702459.0,772415.0,842433.0,912032.0,981756.0,1051565.0,1120865.0,1190189.0,1259606.0,1329113.0,1398526.0,1468220.0,1537062.0,1605994.0,1675260.0,1744753.0,1813968.0,1883768.0,1954006.0,2023969.0,2097610.0,2192751.0,2261905.0,2331686.0,2401400.0,2470761.0,2539669.0,2608615.0,2677581.0,2746314.0,2815198.0,2883922.0,2953263.0,3022539.0,3091697.0,3160812.0,3229784.0,3298739.0,3367618.0,3436202.0,3504507.0,3573379.0,3642119.0,3710541.0,3778812.0,3847290.0,3915896.0,3984345.0,4052529.0,4120759.0,4189254.0,4258139.0,4326742.0,4394998.0,4463252.0,4531550.0,4599695.0,4668101.0,4736231.0,4804281.0,4874210.0,4944627.0
2,1018.0,8.0,raikkonen,9.0,11.0,+1 Lap,75308.0,146304.0,216713.0,287436.0,358169.0,429630.0,500354.0,571393.0,643208.0,714270.0,784903.0,855549.0,926577.0,998494.0,1069397.0,1139548.0,1210025.0,1280864.0,1351451.0,1421811.0,1492342.0,1562901.0,1636771.0,1724511.0,1794983.0,1865187.0,1935384.0,2004952.0,2074872.0,2144333.0,2214141.0,2285366.0,2355594.0,2425642.0,2495875.0,2566013.0,2635867.0,2706196.0,2776105.0,2846301.0,2916258.0,2986383.0,3056405.0,3126581.0,3196997.0,3267060.0,3336521.0,3406182.0,3475861.0,3545569.0,3615159.0,3684949.0,3755483.0,3825234.0,3895051.0,3966169.0,4035295.0,4104432.0,4174851.0,4244284.0,4313793.0,4383035.0,4452439.0,4521822.0,4591217.0,4660910.0,4730615.0,4800063.0,4870149.0,4942313.0,
18,1018.0,846.0,norris,6.0,11.0,+1 Lap,76040.0,147141.0,218012.0,289584.0,360554.0,431011.0,502813.0,573567.0,644442.0,715262.0,785861.0,856416.0,927375.0,997792.0,1068477.0,1138637.0,1208640.0,1278554.0,1348700.0,1418961.0,1489046.0,1559302.0,1629447.0,1699821.0,1774649.0,1862408.0,1932001.0,2002007.0,2071948.0,2141874.0,2211781.0,2281350.0,2351186.0,2421009.0,2490833.0,2560721.0,2630830.0,2701598.0,2771887.0,2841725.0,2911234.0,2981828.0,3051447.0,3121089.0,3190530.0,3259767.0,3329059.0,3398647.0,3468314.0,3538119.0,3607563.0,3676697.0,3745971.0,3815651.0,3884933.0,3954051.0,4023033.0,4092062.0,4161061.0,4230346.0,4299334.0,4368730.0,4437815.0,4506921.0,4575991.0,4645894.0,4714665.0,4783539.0,4852238.0,4923289.0,
4,1018.0,20.0,vettel,4.0,1.0,Finished,76365.0,147655.0,218510.0,288338.0,358699.0,428221.0,498140.0,568150.0,637950.0,707334.0,776992.0,846467.0,915860.0,985357.0,1054904.0,1124304.0,1193700.0,1262773.0,1332006.0,1401225.0,1474010.0,1564444.0,1634462.0,1703313.0,1772232.0,1841147.0,1910122.0,1978969.0,2047719.0,2116064.0,2184689.0,2253602.0,2322262.0,2391092.0,2459841.0,2528559.0,2597289.0,2666002.0,2734797.0,2803521.0,2872062.0,2940779.0,3009442.0,3078098.0,3146691.0,3215357.0,3284659.0,3353528.0,3422594.0,3495606.0,3581266.0,3649344.0,3717131.0,3785210.0,3853334.0,3921249.0,3989172.0,4057068.0,4125084.0,4192859.0,4260887.0,4328563.0,4396890.0,4464935.0,4532968.0,4600834.0,4668971.0,4737098.0,4805021.0,4872919.0,4941432.0
12,1018.0,830.0,max_verstappen,1.0,1.0,Finished,76629.0,148124.0,219123.0,290223.0,361062.0,431498.0,501241.0,571815.0,641759.0,711630.0,781242.0,850806.0,920550.0,990250.0,1059864.0,1129116.0,1198420.0,1267637.0,1336871.0,1406144.0,1475490.0,1544677.0,1614087.0,1683247.0,1752513.0,1821742.0,1890886.0,1960034.0,2029384.0,2098852.0,2171553.0,2257074.0,2325857.0,2394574.0,2463283.0,2531938.0,2600555.0,2669057.0,2737430.0,2805942.0,2874588.0,2943247.0,3011564.0,3079729.0,3147994.0,3216426.0,3285177.0,3354199.0,3423126.0,3490970.0,3559206.0,3627619.0,3696093.0,3764376.0,3833381.0,3901311.0,3969590.0,4037356.0,4105435.0,4172910.0,4240660.0,4308444.0,4376318.0,4443910.0,4511515.0,4579426.0,4648407.0,4717683.0,4785859.0,4853803.0,4921822.0
16,1018.0,842.0,gasly,7.0,11.0,+1 Lap,77049.0,149156.0,220047.0,290845.0,361957.0,432722.0,503816.0,574710.0,645770.0,716562.0,787035.0,857274.0,928058.0,999159.0,1070176.0,1140428.0,1210685.0,1281580.0,1352382.0,1422484.0,1493164.0,1563914.0,1634998.0,1705255.0,1778813.0,1866794.0,1936241.0,2005666.0,2075434.0,2145089.0,2214812.0,2284220.0,2353852.0,2423113.0,2492468.0,2562217.0,2632459.0,2702220.0,2772497.0,2842569.0,2912738.0,2983105.0,3053131.0,3123278.0,3192943.0,3262525.0,3332058.0,3401358.0,3470865.0,3540031.0,3609363.0,3679012.0,3748054.0,3817289.0,3886456.0,3955577.0,4024947.0,4093776.0,4162810.0,4232347.0,4301533.0,4370799.0,4439589.0,4508870.0,4580616.0,4650080.0,4720189.0,4789995.0,4859405.0,4929034.0,
15,1018.0,841.0,giovinazzi,10.0,11.0,+1 Lap,77374.0,149945.0,221273.0,292195.0,363171.0,434237.0,505250.0,576466.0,647707.0,718449.0,789071.0,859986.0,930688.0,1001551.0,1072346.0,1142884.0,1213346.0,1284139.0,1354523.0,1425099.0,1495764.0,1566366.0,1636989.0,1711234.0,1798076.0,1867928.0,1938135.0,2007998.0,2078110.0,2147952.0,2218113.0,2288226.0,2358026.0,2428217.0,2498394.0,2568232.0,2638238.0,2708186.0,2778236.0,2848214.0,2918396.0,2988380.0,3058228.0,3128444.0,3198653.0,3268576.0,3338124.0,3408194.0,3477591.0,3547282.0,3618019.0,3687568.0,3757054.0,3826916.0,3897545.0,3967081.0,4036132.0,4106829.0,4176154.0,4245690.0,4315320.0,4384920.0,4454386.0,4525912.0,4595012.0,4664069.0,4733219.0,4802629.0,4872306.0,4942975.0,
10,1018.0,825.0,kevin_magnussen,19.0,12.0,+2 Laps,77891.0,150608.0,222421.0,295079.0,367693.0,440460.0,513291.0,586360.0,659799.0,732098.0,807158.0,897494.0,972390.0,1056613.0,1127530.0,1200247.0,1270437.0,1340868.0,1411218.0,1481646.0,1552165.0,1623412.0,1696426.0,1767220.0,1837602.0,1909511.0,1981207.0,2052094.0,2122380.0,2194246.0,2264880.0,2335315.0,2405596.0,2476049.0,2546384.0,2616544.0,2686595.0,2756559.0,2826636.0,2896690.0,2966879.0,3036910.0,3106828.0,3177198.0,3247372.0,3317569.0,3387960.0,3458333.0,3528663.0,3599084.0,3669247.0,3739421.0,3809588.0,3879708.0,3949644.0,4019626.0,4089649.0,4159586.0,4232258.0,4303602.0,4376125.0,4452077.0,4539621.0,4611547.0,4681501.0,4751387.0,4821264.0,4890790.0,4959693.0,,
