,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,186105.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,186818.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,188203.0,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,188916.0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,189743.0,5,5,5,5,5,5,5,5,5,5,5,6,5,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,14,17,17,17,17,17,17,17,17,16,16,15,15,15,0
5,190543.0,6,6,6,6,6,6,6,6,6,6,6,5,10,7,7,7,7,7,7,7,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,192501.0,7,7,7,7,7,7,7,7,7,7,7,7,6,12,12,12,12,11,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11
7,193171.0,8,8,8,8,8,8,8,8,8,8,8,8,15,11,11,11,11,9,8,8,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,193982.0,9,9,9,9,9,9,9,9,9,9,9,10,8,15,15,14,14,13,11,11,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10
9,194686.0,10,10,10,10,10,10,10,10,10,10,10,9,7,14,13,13,13,12,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,9,9,10,10,10,10,10,10,11,12
10,195368.0,11,11,11,11,11,11,11,11,11,11,11,11,9,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,196245.0,12,12,12,12,13,13,13,13,13,13,13,13,12,9,9,9,9,15,15,14,15,13,13,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
12,197142.0,13,13,15,16,16,16,16,16,16,16,16,16,14,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,197541.0,14,14,13,13,12,12,12,12,12,12,12,12,11,8,8,8,8,8,12,12,13,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,17,17,17,17,17,0
14,197934.0,15,15,14,14,14,14,14,14,14,14,14,14,13,18,18,17,17,17,16,16,16,14,14,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,12,14,13,13,13,13,13,13,13,13,13,13,13,13
15,198407.0,16,16,16,15,15,15,15,15,15,15,15,15,18,17,17,16,16,16,13,13,12,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,11,11,11,11,10,10,9,9,9,9,9,9,9,9
16,199498.0,17,17,17,17,17,17,17,17,17,17,17,17,16,13,14,15,15,14,14,15,14,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,14,14,14,14,14,14,14,14,14,14,14,0
17,200923.0,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16,16,16,0
18,253713.0,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,284084.0,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
