,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
11,1021,830,max_verstappen,9,2,1,Finished,85604,167458,249321,331084,412626,494312,575923,657314,738859,820430,902193,983748,1065386,1147230,1228862,1310701,1392647,1474481,1556510,1638727,1721108,1803420,1885868,1968490,2052685,2152470,2233398,2315120,2397291,2479364,2561557,2643158,2724925,2806266,2886682,2967548,3048989,3130326,3211872,3291701,3371972,3452377,3532834,3613317,3693547,3773755,3853826,3934163,4014192,4094653.0,4174460.0,4255736.0,4335296.0,4415147.0,4494960.0,4575213.0,4655153.0,4735066.0,4814874.0,4894668.0,4974805.0,5054990.0,5135897.0,5217065.0,5298095.0,5379682.0,5465406.0,5565052.0,5642155.0,5721592.0
0,1021,1,hamilton,131,1,1,Finished,87403,169738,251684,333330,415097,496699,578357,659650,741185,822669,904243,985960,1067611,1149510,1231206,1312814,1394499,1476264,1557950,1640191,1722451,1804829,1886925,1969769,2051821,2133596,2215401,2297583,2380045,2462857,2548340,2648110,2727763,2807094,2887320,2968577,3049490,3130672,3212994,3293502,3373987,3454077,3534257,3614450,3694630,3774807,3854849,3937301,4033423,4112827.0,4192026.0,4271759.0,4351344.0,4431017.0,4510644.0,4590686.0,4669860.0,4748528.0,4827094.0,4905622.0,4984197.0,5062855.0,5141480.0,5220265.0,5299119.0,5380064.0,5460066.0,5540639.0,5622114.0,5703796.0
16,1021,844,leclerc,6,4,1,Finished,88951,171718,254598,336867,419470,501814,584053,666474,748685,830802,913030,995730,1078433,1161155,1243744,1325986,1408610,1491235,1573852,1656702,1739488,1822338,1905409,1988626,2072047,2156633,2242585,2343294,2425142,2506774,2589283,2670822,2752635,2834499,2916657,2999251,3082162,3164941,3246612,3328089,3409111,3489968,3570663,3651459,3732426,3813118,3893798,3975166,4055659,4136248.0,4217116.0,4298335.0,4379711.0,4460829.0,4542052.0,4623691.0,4705863.0,4787337.0,4869007.0,4950815.0,5032357.0,5115475.0,5196712.0,5277509.0,5358565.0,5439534.0,5521492.0,5604779.0,5686237.0,5769046.0
8,1021,822,bottas,131,8,11,+1 Lap,90816,175444,260211,344838,431502,543536,624936,706328,787878,871924,954233,1038285,1123358,1207391,1290162,1373402,1456466,1540560,1624448,1708894,1792832,1876491,1959929,2043091,2126566,2210161,2292918,2375921,2460521,2543905,2627285,2710332,2793504,2875534,2957706,3039978,3121780,3203700,3285589,3367605,3449238,3531103,3615927,3698720,3780789,3864617,3964563,4046597,4127559,4208012.0,4287675.0,4367267.0,4447138.0,4527330.0,4607410.0,4687583.0,4768387.0,4848388.0,4927719.0,5007953.0,5089357.0,5170956.0,5251245.0,5331271.0,5411387.0,5492386.0,5573344.0,5654408.0,5735924.0,
3,1021,20,vettel,6,3,1,Finished,91081,173401,255882,338298,420873,503305,585982,668434,751043,833493,915663,997996,1080792,1163540,1246216,1328811,1411515,1494317,1576740,1659524,1742323,1825029,1907780,1990561,2073705,2157857,2241547,2324891,2408083,2491690,2575222,2659077,2742955,2826083,2909206,2992769,3076233,3159975,3246471,3348206,3428873,3509072,3589375,3670441,3751498,3832074,3911957,3992282,4072584,4152653.0,4232831.0,4312979.0,4393241.0,4473657.0,4554320.0,4635458.0,4716568.0,4796731.0,4876731.0,4956880.0,5037767.0,5119546.0,5201005.0,5280863.0,5360649.0,5440861.0,5521993.0,5602598.0,5683310.0,5765229.0
12,1021,832,sainz,1,5,11,+1 Lap,91966,176796,261478,346143,430631,514551,598349,681976,765612,849123,932719,1016175,1099759,1183245,1266531,1349641,1432952,1516232,1599109,1682200,1765242,1848069,1930932,2013805,2097006,2180141,2263180,2346990,2433023,2533391,2615947,2698391,2780779,2862661,2944718,3026728,3108940,3191087,3273193,3355357,3437345,3519323,3601241,3683233,3765463,3848524,3930218,4012110,4093908,4177247.0,4259483.0,4342081.0,4424863.0,4507633.0,4589586.0,4673378.0,4755245.0,4836974.0,4918281.0,4999794.0,5081209.0,5162557.0,5244051.0,5325058.0,5406067.0,5487069.0,5568587.0,5649902.0,5731121.0,
17,1021,846,norris,1,9,11,+1 Lap,92654,177630,262232,347142,431778,516020,599894,683475,767121,850743,934239,1018026,1101566,1185073,1268648,1352176,1435193,1518249,1601315,1684229,1767378,1850333,1933231,2016271,2099683,2183072,2267067,2353270,2459583,2543046,2625454,2708948,2790904,2873462,2956095,3038743,3120257,3202382,3284318,3366153,3447949,3529737,3611645,3696482,3778696,3860522,3942055,4023640,4105347,4187869.0,4269771.0,4353100.0,4434850.0,4516768.0,4598695.0,4681431.0,4762990.0,4844195.0,4925564.0,5006988.0,5088797.0,5170556.0,5253722.0,5335007.0,5416195.0,5497403.0,5578639.0,5659898.0,5741187.0,
1,1021,8,raikkonen,51,7,11,+1 Lap,93222,178222,262886,347763,432494,516629,600648,684227,767798,851328,934961,1019118,1102562,1186123,1269496,1352851,1436196,1519321,1602516,1685705,1768841,1851925,1934906,2017893,2101289,2184602,2268168,2351600,2436683,2537809,2619968,2703046,2785434,2867497,2949565,3031734,3113817,3196192,3278971,3361581,3443689,3526418,3608279,3690341,3772041,3856838,3938801,4020588,4102523,4184315.0,4266305.0,4348061.0,4430157.0,4513205.0,4595984.0,4678183.0,4759827.0,4841508.0,4923030.0,5004714.0,5086100.0,5167486.0,5248620.0,5329614.0,5410494.0,5491641.0,5572657.0,5653794.0,5735188.0,
15,1021,842,gasly,9,6,11,+1 Lap,93874,178971,263688,348520,433251,517376,601387,685824,769275,852622,936139,1019940,1103837,1187410,1271039,1354499,1437878,1521038,1604192,1687417,1770365,1853484,1936250,2019355,2102754,2185980,2269416,2355216,2454474,2536493,2618919,2700315,2781808,2863518,2945863,3028095,3110211,3191951,3274361,3356408,3438135,3520280,3602341,3684291,3766544,3849128,3931178,4013329,4095990,4178127.0,4260191.0,4342921.0,4425502.0,4508640.0,4591971.0,4674300.0,4756081.0,4837974.0,4919806.0,5000997.0,5082113.0,5163792.0,5245023.0,5326311.0,5407356.0,5488585.0,5569855.0,5651251.0,5732514.0,
4,1021,154,grosjean,210,20,34,Water pressure,94484,180026,264585,349468,434388,518966,603492,687887,772437,856751,941042,1025460,1110003,1194714,1279010,1363323,1447702,1531746,1618281,1723876,1807267,1890435,1973732,2058441,2142873,2226723,2310164,2393638,2477424,2561061,2645759,2730844,2814169,2897502,2980903,3064617,3147820,3231400,3316454,3399555,3483286,3566583,3649438,3734993,3818066,3900875,3984006,4067247,4166871,,,,,,,,,,,,,,,,,,,,,
5,1021,807,hulkenberg,4,12,11,+1 Lap,94904,180575,265621,350404,435184,519944,604660,689113,773517,857874,942134,1026679,1111335,1195655,1279989,1364485,1448742,1532930,1616939,1700390,1784010,1867417,1950863,2034377,2117911,2201275,2284630,2367708,2451131,2535370,2618631,2702795,2787620,2871172,2954713,3040651,3141263,3223449,3306046,3388383,3471060,3553900,3636964,3719295,3801499,3883963,3966535,4049079,4131438,4214164.0,4296289.0,4378588.0,4462424.0,4544339.0,4626279.0,4708508.0,4790672.0,4872651.0,4954301.0,5036692.0,5121081.0,5203582.0,5286427.0,5369697.0,5451392.0,5533534.0,5615920.0,5698159.0,5782002.0,
6,1021,815,perez,211,11,11,+1 Lap,95373,181313,266473,351302,436273,520928,605685,689969,774459,858647,943094,1027456,1112116,1196635,1281048,1365609,1449837,1536231,1636127,1718522,1801296,1884540,1971206,2054266,2136908,2219644,2302347,2384874,2467685,2550684,2633391,2715999,2798872,2881936,2965166,3048641,3133298,3217072,3299999,3382907,3465676,3548307,3630865,3713591,3796561,3879802,3961536,4043672,4125630,4207454.0,4291226.0,4373575.0,4455723.0,4537694.0,4619625.0,4701511.0,4783557.0,4865672.0,4948188.0,5031371.0,5116821.0,5199592.0,5283470.0,5367870.0,5450489.0,5532896.0,5615325.0,5697780.0,5781366.0,
19,1021,848,albon,5,10,11,+1 Lap,95930,182154,267405,352228,436768,521746,606481,691050,775559,859687,944265,1028426,1113056,1197539,1281934,1366372,1450995,1537404,1621476,1704930,1788181,1870852,1953470,2036395,2119369,2202694,2285873,2371195,2473479,2555532,2637856,2720671,2803282,2885938,2971319,3054248,3136748,3219715,3302759,3385535,3468391,3551012,3633393,3716143,3798797,3881588,3963970,4046147,4129184,4211244.0,4293600.0,4375671.0,4457752.0,4540160.0,4622245.0,4706890.0,4788640.0,4870248.0,4951979.0,5034567.0,5117835.0,5200454.0,5283943.0,5365350.0,5445971.0,5526670.0,5607865.0,5689229.0,5770323.0,
18,1021,847,russell,3,16,12,+2 Laps,96267,182731,268361,353154,437988,522985,608109,694065,778727,863634,948490,1035715,1120691,1206954,1293184,1380520,1481036,1564252,1647697,1731224,1814917,1898691,1982676,2067291,2151865,2237271,2321380,2405183,2489144,2573186,2657571,2744271,2828592,2912590,2996260,3080196,3165836,3249758,3333618,3417123,3500455,3584020,3667606,3752782,3836199,3919965,4003487,4086839,4170404,4254352.0,4339305.0,4423047.0,4509295.0,4594922.0,4682328.0,4766018.0,4850859.0,4934040.0,5017199.0,5100324.0,5183508.0,5266829.0,5350047.0,5433346.0,5515742.0,5598128.0,5680590.0,5763701.0,,
10,1021,826,kvyat,5,15,12,+2 Laps,96733,183414,269023,353967,438519,523627,608770,692629,776586,860879,945291,1029356,1113982,1198237,1282522,1367195,1451597,1535930,1619872,1703290,1788647,1891464,1974079,2056430,2139021,2221669,2304136,2386567,2469215,2552312,2635266,2717995,2800697,2883700,2966682,3052134,3135019,3218445,3301384,3383952,3466996,3549581,3632111,3714798,3797720,3880510,3962589,4044883,4127168,4209881.0,4292386.0,4374562.0,4456948.0,4539305.0,4621237.0,4703406.0,4785484.0,4867482.0,4950028.0,5033974.0,5119089.0,5202962.0,5285805.0,5369307.0,5453800.0,5536738.0,5624463.0,5708984.0,,
9,1021,825,kevin_magnussen,210,13,11,+1 Lap,97219,184069,269946,354712,439460,524520,609838,694789,779887,864535,949261,1033412,1117621,1201938,1285838,1369847,1453938,1538427,1622836,1707296,1791156,1874572,1957878,2040971,2124366,2207636,2290976,2374194,2458263,2541689,2624564,2708303,2792995,2877901,2961501,3044776,3128004,3214193,3313889,3396415,3478961,3561942,3644522,3727014,3809489,3891700,3973975,4058439,4140536,4222594.0,4304781.0,4386699.0,4469051.0,4551585.0,4633631.0,4717276.0,4799228.0,4880858.0,4962379.0,5043920.0,5125393.0,5207355.0,5288757.0,5370557.0,5454444.0,5537326.0,5618334.0,5699507.0,5782759.0,
13,1021,840,stroll,211,17,12,+2 Laps,97634,184985,270973,356038,441005,525835,610996,695879,780925,866793,951495,1037412,1122992,1208890,1294347,1382015,1483060,1566334,1650030,1733587,1817116,1900435,1983874,2068084,2153742,2238102,2322444,2406279,2490470,2576702,2660650,2745490,2829909,2913779,2997651,3081248,3166787,3250834,3334727,3418456,3502104,3585652,3669212,3754196,3837642,3921195,4004537,4088012,4171789,4258079.0,4357977.0,4438580.0,4520146.0,4601845.0,4684397.0,4767483.0,4852423.0,4935828.0,5019635.0,5101605.0,5184324.0,5267529.0,5350801.0,5434451.0,5516693.0,5598872.0,5681393.0,5767471.0,,
14,1021,841,giovinazzi,51,18,12,+2 Laps,98113,185464,271416,356827,441654,526451,611709,697441,782647,867565,952544,1038052,1124428,1210501,1298586,1401239,1484528,1567868,1651518,1734878,1818703,1902209,1985509,2069366,2155674,2242607,2326100,2409596,2493373,2577412,2661521,2745908,2830662,2914692,2998854,3083515,3167820,3251671,3335589,3419113,3503093,3586652,3670173,3755109,3838658,3922278,4005537,4088904,4172396,4257532.0,4340929.0,4426548.0,4510051.0,4597060.0,4683083.0,4767031.0,4852020.0,4935370.0,5019248.0,5103672.0,5187484.0,5271092.0,5354479.0,5437613.0,5523218.0,5607248.0,5692537.0,5776660.0,,
7,1021,817,ricciardo,4,14,11,+1 Lap,98522,185928,272012,357228,442146,526978,612059,696378,781348,865630,950098,1036448,1121299,1205166,1288744,1372346,1455828,1539820,1623899,1707939,1792144,1875692,1959096,2042355,2125695,2208937,2292222,2375400,2459154,2542882,2626886,2711888,2795539,2879286,2962932,3046433,3129670,3215202,3298100,3380937,3463599,3546629,3629432,3712379,3795643,3881528,3981810,4062950,4143789,4224752.0,4305749.0,4387422.0,4469700.0,4552277.0,4634185.0,4717845.0,4799743.0,4881717.0,4963061.0,5044679.0,5126072.0,5207991.0,5289530.0,5371164.0,5454731.0,5537689.0,5618983.0,5700653.0,5782993.0,
