,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,218571.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,8,7,7,7,7,6,6,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,219349.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,8,8,8,7,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,220704.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,10,7,7,6,6,6,6,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,221489.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,11,9,9,8,8,8,8,7,7,7,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,222859.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,9,9,9,9,9,9,9,9,8,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,223512.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,11,11,10,10,10,10,10,10,10,10,9,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,227372.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,8,13,12,12,12,12,12,12,12,12,12,12,11,10,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,228516.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,4,3,3,2,2,2,2,1,1,1,1,2,2,5,13,15,15,15,15,15,15,14,14,13,13,13,13,13,12,11,11,11,10,10,10,10,10,10,10,10,10,10
8,229555.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,14,14,14,13,13,13,13,13,13,13,13,13,13,12,11,9,9,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,14,14,15,17,17,17,17,17,17,17
9,230419.0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,5,4,4,3,3,3,3,2,2,2,3,3,9,16,15,14,13,12,12,12,12,11,11,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,230959.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,12,10,10,10,9,9,9,9,9,9,9,9,9,9,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0
11,231941.0,12,12,12,12,12,12,12,12,12,14,15,17,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,14,12,12,14,14,14,14,14,13,13,12,12,12,12,12,13,13,15,15,15,15,16,15,15,15,15,15,15,15
12,232951.0,13,13,13,13,13,13,14,14,14,13,13,13,13,13,12,12,12,11,11,9,6,6,5,5,5,5,5,5,6,7,11,16,15,14,13,12,11,11,11,11,18,19,18,18,18,18,18,17,17,16,16,16,16,14,14,14,14,14,14,14,13
13,235253.0,14,14,15,15,15,15,15,15,15,15,14,14,16,17,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,13,11,11,11,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,235532.0,15,15,14,14,14,14,13,13,13,12,12,12,12,12,11,11,11,10,10,7,5,5,4,4,4,4,3,3,4,4,6,5,8,16,17,16,16,16,16,16,15,15,14,14,14,14,14,16,16,14,14,13,13,13,13,13,13,13,13,13,14
15,237311.0,16,17,17,17,17,17,17,18,18,18,18,18,17,16,16,15,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,17,17,17,17,16,16,17,17,17,18,18,17,17,17,17,17,16,16,16,16,16,16,16
16,236100.0,17,16,16,16,16,16,16,16,16,16,16,15,14,14,14,13,13,13,13,13,12,14,17,18,18,18,18,18,18,18,18,18,18,18,16,18,18,18,18,18,16,16,15,15,15,15,15,14,14,12,12,11,11,11,11,11,11,11,11,11,11
17,253135.0,18,18,18,18,18,18,18,17,17,17,17,16,15,15,15,14,14,14,12,12,10,10,11,11,11,11,11,11,11,11,10,10,9,7,7,9,13,13,13,13,12,12,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9
18,282795.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,352731.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,17,17,16,16,16,15,15,13,13,12,12,12,12,12,12,12,12,12,12
