,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
1,1014.0,1.0,hamilton,1.0,1.0,Finished,86434.0,170091.0,253274.0,336056.0,418754.0,501064.0,583318.0,665673.0,747645.0,829619.0,911903.0,993901.0,1075848.0,1157999.0,1239765.0,1321678.0,1403582.0,1486323.0,1569314.0,1650841.0,1733227.0,1815610.0,1898076.0,1980336.0,2063222.0,2146148.0,2232342.0,2333570.0,2415701.0,2498001.0,2579135.0,2661421.0,2743762.0,2826055.0,2907800.0,2989644.0,3071428.0,3153006.0,3235143.0,3316867.0,3399077.0,3481283.0,3563174.0,3645131.0,3726084.0,3819888.0,3975691.0,4105437.0,4239528.0,4380395.0,4504800.0,4632445.0,4712295.0,4790787.0,4871696.0,4951676.0,5031534.0,5111829.0,5191510.0,5271284.0,5351169.0,5431016.0,5510944.0,5590715.0,5670334.0,5750443.0
9,1014.0,822.0,bottas,2.0,1.0,Finished,88519.0,172014.0,255035.0,338196.0,420872.0,503408.0,585997.0,668257.0,750553.0,832764.0,915039.0,997339.0,1079436.0,1161415.0,1243509.0,1325699.0,1407873.0,1490288.0,1573767.0,1657190.0,1740600.0,1823331.0,1906128.0,1989533.0,2073443.0,2160972.0,2262017.0,2343610.0,2424467.0,2506186.0,2587911.0,2670029.0,2752439.0,2834162.0,2916235.0,2998238.0,3080533.0,3162104.0,3243938.0,3325774.0,3407737.0,3489297.0,3571758.0,3652580.0,3737270.0,3867655.0,3987657.0,4113920.0,4246686.0,4381507.0,4505704.0,4633138.0,4714355.0,4795717.0,4874454.0,4954481.0,5034189.0,5114155.0,5194133.0,5274043.0,5353907.0,5433810.0,5513961.0,5593873.0,5673971.0,5754517.0
12,1014.0,830.0,max_verstappen,3.0,1.0,Finished,89414.0,173009.0,256368.0,339465.0,422268.0,505085.0,588038.0,670663.0,753372.0,835923.0,918425.0,1000960.0,1083577.0,1166265.0,1249115.0,1332083.0,1415098.0,1498139.0,1581472.0,1668403.0,1769529.0,1851721.0,1933944.0,2016227.0,2098542.0,2181445.0,2264145.0,2346471.0,2429190.0,2510757.0,2592821.0,2674746.0,2756590.0,2838541.0,2920730.0,3002509.0,3084320.0,3166357.0,3248184.0,3330255.0,3412015.0,3494286.0,3579523.0,3679186.0,3759394.0,3872556.0,3993911.0,4115421.0,4247331.0,4382319.0,4507548.0,4633987.0,4715521.0,4796647.0,4876849.0,4956919.0,5036688.0,5117004.0,5197132.0,5277177.0,5357210.0,5437198.0,5517485.0,5597478.0,5677673.0,5758122.0
4,1014.0,20.0,vettel,4.0,1.0,Finished,90453.0,174346.0,257801.0,341179.0,424411.0,507557.0,590463.0,673420.0,756395.0,839476.0,922636.0,1007286.0,1090869.0,1174318.0,1257676.0,1341358.0,1425190.0,1508673.0,1595854.0,1698439.0,1781658.0,1863371.0,1946974.0,2028307.0,2111058.0,2193820.0,2275758.0,2358502.0,2440232.0,2522194.0,2604276.0,2685887.0,2768544.0,2850531.0,2932453.0,3014240.0,3095968.0,3177149.0,3258648.0,3344452.0,3444060.0,3524125.0,3604463.0,3685299.0,3765990.0,3881295.0,4002615.0,4117577.0,4250153.0,4383453.0,4508523.0,4634522.0,4716865.0,4797757.0,4878223.0,4958323.0,5038294.0,5118478.0,5198672.0,5278817.0,5358961.0,5439031.0,5519503.0,5599323.0,5679519.0,5759610.0
17,1014.0,844.0,leclerc,5.0,1.0,Finished,91214.0,175592.0,259141.0,342294.0,425571.0,508504.0,591296.0,674374.0,757123.0,840288.0,923341.0,1005529.0,1088337.0,1171262.0,1254131.0,1337139.0,1419745.0,1502317.0,1584979.0,1667852.0,1750852.0,1834405.0,1918046.0,2002458.0,2089260.0,2192867.0,2274300.0,2357354.0,2439582.0,2521226.0,2603376.0,2685146.0,2767695.0,2849601.0,2931556.0,3015928.0,3098268.0,3180429.0,3262726.0,3345030.0,3428036.0,3510179.0,3592352.0,3674919.0,3758018.0,3870294.0,4004933.0,4118997.0,4252900.0,4384278.0,4509100.0,4635560.0,4718523.0,4799437.0,4880538.0,4960665.0,5040667.0,5120802.0,5201122.0,5281287.0,5361614.0,5442081.0,5522398.0,5602831.0,5683290.0,5763804.0
16,1014.0,842.0,gasly,6.0,1.0,Finished,91885.0,176476.0,260271.0,343906.0,427308.0,510716.0,593830.0,676704.0,760544.0,843980.0,927186.0,1010443.0,1093581.0,1177146.0,1260782.0,1344205.0,1427888.0,1511816.0,1595545.0,1679331.0,1763469.0,1851390.0,1953829.0,2036726.0,2120370.0,2203189.0,2285956.0,2368648.0,2451467.0,2534411.0,2617703.0,2700389.0,2783601.0,2866317.0,2948704.0,3031228.0,3113613.0,3196336.0,3279091.0,3361601.0,3445206.0,3527795.0,3610236.0,3692494.0,3774963.0,3896237.0,4032226.0,4126721.0,4256194.0,4385376.0,4510086.0,4635700.0,4719698.0,4800978.0,4882173.0,4962760.0,5043296.0,5123961.0,5204582.0,5285425.0,5366074.0,5446830.0,5527683.0,5608437.0,5689189.0,5770019.0
5,1014.0,154.0,grosjean,10.0,1.0,Finished,92573.0,177427.0,261827.0,346216.0,430310.0,514096.0,597806.0,682189.0,766360.0,850418.0,934471.0,1018577.0,1102557.0,1186576.0,1270724.0,1354647.0,1438503.0,1522365.0,1606140.0,1689938.0,1773778.0,1857385.0,1941066.0,2024532.0,2108505.0,2196101.0,2298608.0,2381585.0,2464068.0,2546614.0,2629182.0,2711895.0,2794475.0,2877280.0,2959615.0,3042503.0,3125436.0,3207759.0,3290275.0,3372822.0,3455224.0,3537923.0,3620246.0,3702340.0,3784963.0,3909637.0,4046010.0,4140785.0,4257407.0,4387024.0,4511590.0,4636030.0,4721133.0,4803164.0,4884451.0,4966249.0,5048957.0,5131981.0,5214357.0,5296056.0,5378907.0,5460387.0,5541888.0,5622945.0,5704014.0,5785084.0
10,1014.0,825.0,kevin_magnussen,7.0,1.0,Finished,93075.0,178668.0,263551.0,348036.0,432558.0,516907.0,601276.0,685732.0,770114.0,854063.0,938183.0,1022177.0,1106146.0,1190254.0,1274242.0,1358447.0,1442355.0,1526269.0,1610120.0,1694038.0,1777905.0,1862053.0,1950062.0,2051685.0,2134735.0,2217154.0,2300533.0,2384437.0,2468096.0,2551769.0,2635516.0,2719459.0,2802137.0,2885325.0,2968568.0,3053145.0,3136343.0,3219416.0,3302113.0,3384478.0,3467068.0,3549727.0,3632090.0,3714835.0,3805916.0,3941409.0,4046922.0,4142153.0,4258512.0,4388668.0,4512910.0,4636227.0,4720482.0,4802273.0,4883780.0,4965574.0,5047947.0,5129456.0,5210853.0,5292192.0,5373379.0,5454735.0,5535804.0,5616821.0,5697832.0,5778602.0
11,1014.0,826.0,kvyat,9.0,1.0,Finished,93892.0,179526.0,264480.0,349048.0,433854.0,518353.0,602638.0,686815.0,771154.0,855443.0,939606.0,1023404.0,1107486.0,1191985.0,1275964.0,1359985.0,1444239.0,1528254.0,1612274.0,1696633.0,1784487.0,1887037.0,1969597.0,2054009.0,2137014.0,2220219.0,2302788.0,2385882.0,2469060.0,2552450.0,2636387.0,2720265.0,2803414.0,2886480.0,2969217.0,3051290.0,3134042.0,3216695.0,3299394.0,3381722.0,3464330.0,3546536.0,3628856.0,3711264.0,3801769.0,3949190.0,4048301.0,4144498.0,4260260.0,4390059.0,4514485.0,4637026.0,4722640.0,4805008.0,4886862.0,4968517.0,5050754.0,5133415.0,5214963.0,5296699.0,5377948.0,5459270.0,5540428.0,5621154.0,5702245.0,5783499.0
20,1014.0,848.0,albon,11.0,1.0,Finished,94539.0,180548.0,265519.0,350084.0,435109.0,519841.0,604160.0,688334.0,772749.0,856786.0,941032.0,1025013.0,1109103.0,1193205.0,1277440.0,1361498.0,1445721.0,1529625.0,1613702.0,1697871.0,1783268.0,1867152.0,1951100.0,2035333.0,2123035.0,2226486.0,2309656.0,2391987.0,2475052.0,2557815.0,2640899.0,2723997.0,2807149.0,2890448.0,2974221.0,3056892.0,3139730.0,3222325.0,3304948.0,3387470.0,3470080.0,3552823.0,3635494.0,3718339.0,3810467.0,3976944.0,4107591.0,4240880.0,4350361.0,4434774.0,4520884.0,4637768.0,4723239.0,4805951.0,4887712.0,4969352.0,5051450.0,5134078.0,5215921.0,5297489.0,5379492.0,5461295.0,5542528.0,5623828.0,5704856.0,5785888.0
