,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,1035,822,bottas,131,3,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,16435,14328,13265,13127,12926,13270,13602,15009,16089,16852,17350,18312,20060,1643,2355,2037,2036,2112,2517,13505,13802,13667,13461,13022,13251,13171,12435,11826,4311,4823,5048.0,5040.0,5519.0,6870.0,7356.0,8387.0,11040.0,14360.0,19231.0
1,1035,1,hamilton,131,2,1,Finished,1001,1057,849,1146,1569,1218,1417,1324,1373,1405,1484,1872,2707,0,17413,16923,16465,16301,16209,16750,17654,18403,19266,21463,23039,24928,6155,6200,6608,7280,8244,9266,0,0,0,0,0,0,0,0,0,11551,9842,9927.0,10102.0,9236.0,9021.0,8363.0,8727.0,8893.0,9493.0,11326.0
2,1035,830,max_verstappen,9,1,1,Finished,2452,3036,3352,3915,3891,3184,3190,2786,2599,2376,2263,2702,3343,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11344,11535,11243,11110,10856,10542,10147,8973,7890,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1035,807,hulkenberg,211,7,1,Finished,3292,4741,5567,7231,7824,8061,9400,10103,10517,10782,10602,11061,11662,9406,8046,27893,27984,28221,28838,29285,30293,31684,32702,33355,34327,36061,16436,16245,16039,15968,35760,36928,27994,28448,28135,28206,28804,29511,29613,29204,29453,23350,24553,26439.0,47466.0,48894.0,50399.0,51486.0,52748.0,53666.0,56409.0,55951.0
4,1035,840,stroll,211,6,1,Finished,4028,5864,7076,8721,9633,10762,11849,12436,12954,13028,13083,13529,14208,12070,10944,11025,11389,11166,30784,31587,32448,33379,34576,35482,36305,37789,18221,18090,18138,18636,18654,38912,30190,30370,30227,30361,30620,31336,31665,31439,31633,25161,26687,28817.0,29872.0,31355.0,32739.0,34327.0,35898.0,38614.0,40568.0,42538.0
5,1035,817,ricciardo,4,14,11,+1 Lap,4840,7232,8755,10633,11776,12314,13526,14365,14732,14893,14966,15418,16214,13585,33188,34312,35138,35647,36407,37098,37758,38266,38777,39702,40827,42597,43503,44437,45766,47942,57421,60018,52975,55262,57091,77737,78720,80241,80332,80274,80948,74773,76927,79112.0,81006.0,83171.0,85251.0,87228.0,91137.0,93949.0,97196.0,
6,1035,842,gasly,213,11,1,Finished,5597,8086,9665,11660,13068,13860,14154,34393,35601,36206,37053,37958,39614,38073,38452,39785,41644,43497,45931,47729,50851,53014,54088,77151,79433,81141,62594,63232,63820,65773,67960,70533,62561,63924,64929,65762,66624,67386,67994,67970,68024,61303,62098,63633.0,64646.0,66116.0,67521.0,68728.0,69712.0,70763.0,71095.0,70642.0
7,1035,846,norris,1,9,1,Finished,6605,9037,11243,13038,14664,15347,16952,17559,17675,18220,18374,18186,38419,36171,36144,37803,39149,39820,41314,43398,45076,46165,47137,48073,49356,51023,32236,32434,33694,57615,60572,63150,55251,56571,57190,57595,57865,58476,58390,58059,58369,51794,52610,54339.0,55909.0,58107.0,60091.0,61626.0,62801.0,64182.0,65213.0,65544.0
8,1035,848,albon,9,5,1,Finished,7073,9772,11918,13973,15401,15698,35967,35382,36157,37681,38885,40411,42900,40549,39740,40567,42344,44142,46643,48416,49243,49564,49628,50036,50639,51923,32979,33207,33046,32941,53822,55201,47082,48374,48376,47806,46864,46233,45516,44413,43076,35070,34629,34999.0,35181.0,35193.0,35492.0,35901.0,36633.0,37188.0,37007.0,39146.0
9,1035,844,leclerc,6,4,1,Finished,7610,10550,12824,14934,16362,17002,18040,18523,18718,19267,19540,19952,20434,18519,18592,18931,19743,19735,41910,42109,42368,42371,42437,42670,42952,43906,23804,23010,22384,22570,22913,23876,15320,15820,15697,15531,15397,15250,14725,14130,13948,7168,8130,9422.0,11319.0,13367.0,15162.0,17224.0,19764.0,24189.0,27993.0,29289.0
