,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,184230.0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3
1,185287.0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,3,3,3,3,3,2,2,2
2,187266.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
3,188971.0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
4,190094.0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,2,2,6,6,6,6,5,5,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6
5,191462.0,6,6,6,6,6,6,6,6,6,6,6,6,6,5,10,10,10,10,9,8,8,8,6,6,6,6,11,11,11,10,12,12,12,11,10,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,0
6,192316.0,7,7,7,7,7,7,7,18,17,14,14,14,14,14,14,14,14,13,13,12,13,13,10,19,18,18,16,16,15,14,14,14,14,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7,193267.0,8,8,8,8,8,8,8,7,7,7,7,7,13,13,13,13,13,12,11,11,11,11,8,8,8,8,7,7,8,13,13,13,13,12,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,194002.0,9,9,9,9,9,9,20,19,18,16,16,16,15,15,15,15,15,14,14,13,12,12,9,9,9,9,8,8,7,7,11,11,11,10,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5
9,194780.0,10,10,10,10,10,10,9,8,8,8,8,8,7,7,6,5,5,5,12,10,10,10,7,7,7,7,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4
10,195755.0,11,11,11,11,11,11,10,9,9,9,9,9,8,8,7,6,6,6,4,4,4,4,13,12,12,12,12,12,12,11,9,9,9,9,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
11,196693.0,12,12,12,12,12,12,11,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,11,10,10,10,9,9,9,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
12,197545.0,13,13,14,14,14,14,13,12,12,19,19,19,19,19,19,19,19,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
13,197892.0,14,14,13,13,13,13,12,11,11,11,11,11,10,10,9,9,9,9,8,15,15,14,12,11,11,11,10,10,10,9,7,7,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,198735.0,15,15,15,15,15,15,14,20,19,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,16,14,14,14,15,15,15,15,19,19,19,19,19,18,17,17,17,17,17,17,18,17,17,17,17,17,0
15,199369.0,16,16,16,16,16,16,15,13,13,12,12,12,11,11,11,11,12,20,20,19,19,19,19,18,17,17,15,15,16,16,16,16,16,15,15,14,14,14,19,18,18,18,18,18,18,17,16,16,16,16,16,0
16,199920.0,17,17,17,17,17,17,16,14,20,18,18,18,18,18,18,18,18,17,17,17,17,17,17,15,19,19,18,18,18,18,18,18,18,17,17,17,17,17,16,19,19,19,19,19,19,19,18,18,18,18,18,0
17,202404.0,18,20,20,20,20,20,19,17,15,20,20,20,20,20,20,20,20,19,19,18,18,18,18,17,16,15,19,19,19,19,19,19,19,18,18,18,18,18,17,16,16,16,16,16,16,16,19,19,19,19,19,0
18,200456.0,19,18,18,19,19,19,18,16,16,15,15,15,16,16,16,16,16,15,15,14,14,15,14,14,14,14,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
19,201081.0,20,19,19,18,18,18,17,15,14,13,13,13,12,12,12,12,11,11,10,9,9,9,15,13,13,13,13,13,13,12,10,10,10,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
