,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
6,1035,822,bottas,131,3,1,Finished,92846,184230,275886,367448,459723,552475,644628,737202,829838,922421,1015094,1107597,1199544,1310574,1401545,1492395,1584156,1675714,1767752,1859661,1952599,2045143,2137218,2229050,2321094,2413286,2505983,2598293,2689269,2779813,2870250,2960321,3071280,3162278,3253244,3344156,3434762,3525776,3616773,3707385,3798012,3888489,3979161,4068926.0,4158740.0,4248684.0,4339613.0,4429639.0,4520193.0,4612475.0,4705808.0,4801224.0
0,1035,1,hamilton,131,2,1,Finished,93847,185287,276735,368594,461292,553693,646045,738526,831211,923826,1016578,1109469,1202251,1294139,1404630,1496053,1587494,1679089,1770691,1862809,1955244,2047457,2139632,2233163,2325821,2418154,2510495,2602138,2693840,2785057,2876382,2967070,3057775,3148476,3239577,3330695,3421740,3512525,3603602,3694950,3786186,3895729,3984180,4073805.0,4163802.0,4252401.0,4341764.0,4430646.0,4520533.0,4610328.0,4700941.0,4793319.0
9,1035,830,max_verstappen,9,1,1,Finished,95298,187266,279238,371363,463614,555659,647818,739988,832437,924797,1017357,1110299,1202887,1295121,1387217,1479130,1571029,1662788,1754482,1846059,1937590,2029054,2120366,2211700,2302782,2393226,2504340,2595938,2687232,2777777,2868138,2957804,3069119,3160011,3250820,3341805,3432596,3523067,3613749,3703923,3794076,3884178,3974338,4063878.0,4153700.0,4243165.0,4332743.0,4422283.0,4511806.0,4601435.0,4691448.0,4781993.0
4,1035,807,hulkenberg,211,7,1,Finished,96138,188971,281453,374679,467547,560536,654028,747305,840355,933203,1025696,1118658,1211206,1303545,1395263,1507023,1599013,1691009,1783320,1875344,1967883,2060738,2153068,2245055,2337109,2429287,2520776,2612183,2703271,2793745,2903898,2994732,3085769,3176924,3267712,3358901,3450544,3542036,3633215,3724154,3815639,3907528,3998891,4090317.0,4201166.0,4292059.0,4383142.0,4473769.0,4564554.0,4655101.0,4747857.0,4837944.0
12,1035,840,stroll,211,6,1,Finished,96874,190094,282962,376169,469356,563237,656477,749638,842792,935449,1028177,1121126,1213752,1306209,1398161,1490155,1582418,1673954,1785266,1877646,1970038,2062433,2154942,2247182,2339087,2431015,2522561,2614028,2705370,2796413,2886792,2996716,3087965,3178846,3269804,3361056,3452360,3543861,3635267,3726389,3817819,3909339,4001025,4092695.0,4183572.0,4274520.0,4365482.0,4456610.0,4547704.0,4640049.0,4732016.0,4824531.0
5,1035,817,ricciardo,4,14,11,+1 Lap,97686,191462,284641,378081,471499,564789,658154,751567,844570,937314,1030060,1123015,1215758,1307724,1420405,1513442,1606167,1698435,1790889,1883157,1975348,2067320,2159143,2251402,2343609,2435823,2547843,2640375,2732998,2825719,2925559,3017822,3110750,3203738,3296668,3408432,3500460,3592766,3683934,3775224,3867134,3958951,4051265,4142990.0,4234706.0,4326336.0,4417994.0,4509511.0,4602943.0,4695384.0,4788644.0,
14,1035,842,gasly,213,11,1,Finished,98443,192316,285551,379108,472791,566335,658782,771595,865439,958627,1052147,1145555,1239158,1332212,1425669,1518915,1612673,1706285,1800413,1893788,1988441,2082068,2174454,2288851,2382215,2474367,2566934,2659170,2751052,2843550,2936098,3028337,3120336,3212400,3304506,3396457,3488364,3579911,3671596,3762920,3854210,3945481,4036436,4127511.0,4218346.0,4309281.0,4400264.0,4491011.0,4581518.0,4672198.0,4762543.0,4852635.0
16,1035,846,norris,1,9,1,Finished,99451,193267,287129,380486,474387,567822,661580,754761,847513,940641,1033468,1125783,1237963,1330310,1423361,1516933,1610178,1702608,1795796,1889457,1982666,2075219,2167503,2259773,2352138,2444249,2536576,2628372,2720926,2835392,2928710,3020954,3113026,3205047,3296767,3388290,3479605,3571001,3661992,3753009,3844555,3935972,4026948,4118217.0,4209609.0,4301272.0,4392834.0,4483909.0,4574607.0,4665617.0,4756661.0,4847537.0
18,1035,848,albon,9,5,1,Finished,99919,194002,287804,381421,475124,568173,680595,772584,865995,960102,1053979,1148008,1242444,1334688,1426957,1519697,1613373,1706930,1801125,1894475,1986833,2078618,2169994,2261736,2353421,2445149,2537319,2629145,2720278,2810718,2921960,3013005,3104857,3196850,3287953,3378501,3468604,3558758,3649118,3739363,3829262,3919248,4008967,4098877.0,4188881.0,4278358.0,4368235.0,4458184.0,4548439.0,4638623.0,4728455.0,4821139.0
15,1035,844,leclerc,6,4,1,Finished,100456,194780,288710,382382,476085,569477,662668,755725,848556,941688,1034634,1127549,1219978,1312658,1405809,1498061,1590772,1682523,1796392,1888168,1979958,2071425,2162803,2254370,2345734,2437132,2528144,2618948,2709616,2800347,2891051,2981680,3073095,3164296,3255274,3346226,3437137,3527775,3618327,3709080,3800134,3891346,3982468,4073300.0,4165019.0,4256532.0,4347905.0,4439507.0,4531570.0,4625624.0,4719441.0,4811282.0
