,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,bottas,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,max_verstappen,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,leclerc,4,4,4,4,4,4,4,4,5,8,18,16,16,15,14,12,12,11,11,10,10,9,8,8,8,8,8,7,5,4,4,4,5,5,6,10,9,8,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
4,ricciardo,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,9,7,7,7,7,6,6,6,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,albon,6,6,6,6,6,6,8,19,19,18,15,14,12,12,11,10,10,9,9,9,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,norris,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,7,7,7,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,perez,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,ocon,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,6,5,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,sainz,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,7,6,6,6,6,5,5,5,5,5,5,6,8,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,giovinazzi,11,11,11,11,11,11,11,10,10,10,9,9,9,10,13,14,13,13,12,12,12,12,11,10,10,10,10,10,10,9,8,8,8,8,8,9,12,12,12,12,12,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,vettel,12,12,12,12,12,12,12,11,11,11,16,18,17,17,15,15,14,14,13,13,13,13,12,11,11,11,11,11,11,10,9,9,9,9,9,7,7,7,8,9,11,14,13,13,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,10
12,gasly,13,14,14,14,14,14,14,13,13,13,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,7,8,7,8,12,12,12,11,11,11,10,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6
13,kevin_magnussen,14,13,13,13,13,13,13,12,12,12,11,11,13,14,17,17,16,16,15,15,15,15,14,13,13,13,13,13,13,12,11,11,11,13,13,13,13,13,13,13,13,12,11,11,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12
14,kvyat,15,15,15,15,15,15,15,14,14,14,12,12,11,11,10,13,18,18,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,russell,16,16,16,16,16,16,16,15,15,15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,hulkenberg,17,17,17,17,17,17,17,16,16,16,13,13,14,13,12,11,11,10,10,11,11,11,10,9,9,9,9,9,9,14,14,13,13,12,12,12,11,11,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
17,latifi,18,18,18,18,18,18,18,17,17,17,14,15,15,16,18,18,17,17,16,16,16,16,15,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,13,12,12,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13
18,raikkonen,19,19,19,19,19,19,19,18,18,19,19,19,18,18,16,16,15,15,14,14,14,14,13,12,12,12,12,12,12,11,10,10,10,10,10,8,8,10,11,11,10,10,9,9,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11
