,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
7,1041,822,bottas,131,19,131,Power Unit,93510,185990,278201,370443,462506,554486,646505,738389,830514,922400,1014289,1106614,1206150.0,1317806.0,1409801.0,1520890.0,1623691.0,1739777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1041,1,hamilton,131,1,1,Finished,95032,187442,279607,372150,464303,556254,648355,739977,831812,923808,1015661,1107733,1199437.0,1291218.0,1382958.0,1486800.0,1603288.0,1694083.0,1784537.0,1875103.0,1965212.0,2055636.0,2145994.0,2236516.0,2327090.0,2417600.0,2508353.0,2599510.0,2690490.0,2781191.0,2872286.0,2963836.0,3054944.0,3145648.0,3236349.0,3327190.0,3418217.0,3509240.0,3599891.0,3690352.0,3781056.0,3871723.0,3962186.0,4052634.0,4159317.0,4320062.0,4481654.0,4620794.0,4771130.0,4861572.0,4950059.0,5038394.0,5126651.0,5215944.0,5304991.0,5394217.0,5483458.0,5571603.0,5660670.0,5749641.0
10,1041,830,max_verstappen,9,2,1,Finished,95799,188446,281034,373559,465894,558002,649940,741873,833882,926146,1018073,1109895,1203043.0,1295489.0,1387306.0,1492142.0,1604917.0,1695968.0,1787118.0,1877557.0,1968073.0,2058850.0,2149477.0,2240223.0,2331162.0,2421979.0,2512815.0,2603901.0,2695225.0,2786794.0,2878359.0,2969282.0,3060378.0,3152214.0,3244249.0,3335421.0,3426340.0,3517607.0,3608707.0,3699713.0,3790820.0,3881930.0,3972755.0,4063743.0,4171541.0,4323270.0,4482737.0,4621866.0,4772193.0,4863217.0,4951961.0,5041019.0,5129873.0,5219108.0,5307817.0,5396935.0,5486395.0,5575389.0,5665972.0,5754111.0
15,1041,844,leclerc,6,7,1,Finished,97473,192521,286703,380765,474837,569357,663346,757602,853139,950998,1064562,1157807,1251921.0,1345991.0,1438516.0,1550083.0,1644126.0,1737991.0,1831742.0,1924550.0,2017382.0,2110293.0,2203502.0,2296165.0,2388842.0,2482066.0,2575181.0,2667817.0,2761014.0,2853845.0,2946664.0,3039175.0,3133364.0,3226828.0,3322783.0,3436585.0,3528189.0,3619632.0,3710830.0,3801968.0,3892831.0,3983841.0,4074870.0,4187580.0,4321257.0,4462868.0,4558169.0,4650515.0,4773919.0,4867474.0,4959935.0,5051077.0,5141940.0,5232652.0,5323690.0,5414936.0,5506301.0,5597318.0,5688428.0,5780455.0
6,1041,817,ricciardo,4,3,1,Finished,98224,193197,287331,381454,475366,569977,663933,758010,851204,944410,1037490,1130592,1223615.0,1316895.0,1410830.0,1525532.0,1638894.0,1731428.0,1823683.0,1916035.0,2008415.0,2101105.0,2193533.0,2285954.0,2378440.0,2470918.0,2563446.0,2656352.0,2748442.0,2840677.0,2932793.0,3024645.0,3116451.0,3208423.0,3301492.0,3393076.0,3484554.0,3576406.0,3667900.0,3759505.0,3850893.0,3941989.0,4033436.0,4130650.0,4266660.0,4378627.0,4485578.0,4623055.0,4772405.0,4864310.0,4954596.0,5044470.0,5134054.0,5224023.0,5314274.0,5404433.0,5494442.0,5584231.0,5673932.0,5764254.0
18,1041,848,albon,9,17,21,Radiator,99301,194116,288415,382746,476940,571059,668289,780971,873301,968182,1061098,1153724,1246201.0,1339717.0,1435052.0,1547488.0,1640578.0,1733583.0,1827005.0,1920515.0,2013836.0,2108102.0,2206535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1041,846,norris,1,16,131,Power Unit,100311,195294,289710,384129,478070,572098,666170,759548,853897,948496,1041455,1134420,1227190.0,1320671.0,1413842.0,1525761.0,1620954.0,1714406.0,1807670.0,1900358.0,1993041.0,2085905.0,2178690.0,2271524.0,2365372.0,2459346.0,2553103.0,2646982.0,2744347.0,2857173.0,2950362.0,3043149.0,3137473.0,3230350.0,3322906.0,3415483.0,3508004.0,3603209.0,3696107.0,3788435.0,3883051.0,3975551.0,,,,,,,,,,,,,,,,,,
5,1041,815,perez,211,4,1,Finished,100884,196213,290414,384973,478946,573511,667117,760478,854398,949256,1042778,1136052,1228996.0,1322424.0,1415624.0,1526917.0,1621515.0,1715493.0,1809198.0,1902473.0,1995321.0,2088442.0,2181631.0,2274737.0,2367707.0,2460873.0,2554513.0,2650978.0,2764263.0,2856719.0,2948157.0,3039763.0,3133070.0,3225993.0,3317257.0,3408527.0,3499538.0,3590527.0,3681102.0,3771735.0,3862492.0,3953033.0,4043509.0,4141474.0,4264981.0,4388888.0,4491756.0,4623933.0,4772837.0,4865045.0,4955516.0,5045484.0,5135540.0,5225680.0,5315915.0,5405967.0,5495863.0,5585563.0,5675544.0,5765711.0
12,1041,839,ocon,4,18,6,Gearbox,101472,196912,291523,386054,480393,574756,668947,762615,856392,950421,1044427,1138172,1231728.0,1325631.0,1419347.0,1532694.0,1627251.0,1720986.0,1814805.0,1908057.0,2001246.0,2110341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1041,832,sainz,1,5,1,Finished,101860,197526,292234,386655,481093,575572,670425,764247,858100,952009,1045831,1140043,1233896.0,1327718.0,1421623.0,1535073.0,1628982.0,1723096.0,1816597.0,1910233.0,2003595.0,2096768.0,2189981.0,2282970.0,2375953.0,2469019.0,2562169.0,2659012.0,2770231.0,2861800.0,2953366.0,3044626.0,3136170.0,3228121.0,3320216.0,3411262.0,3502768.0,3594300.0,3685446.0,3776975.0,3868163.0,3959179.0,4050358.0,4154485.0,4284867.0,4391086.0,4493440.0,4625326.0,4773376.0,4865789.0,4956682.0,5047124.0,5137253.0,5227484.0,5318322.0,5409116.0,5499818.0,5590322.0,5680929.0,5771546.0
13,1041,841,giovinazzi,51,10,1,Finished,102829,199029,294111,388571,483190,577766,672430,767113,861779,956304,1051360,1146481,1241785.0,1338223.0,1437246.0,1565048.0,1659928.0,1753178.0,1846059.0,1938897.0,2031840.0,2124700.0,2217562.0,2310456.0,2403205.0,2496211.0,2588930.0,2681978.0,2775399.0,2868952.0,2962089.0,3057194.0,3150739.0,3246387.0,3339664.0,3435957.0,3548477.0,3639386.0,3730627.0,3821691.0,3912974.0,4004342.0,4095858.0,4212111.0,4333354.0,4470113.0,4569450.0,4662007.0,4775809.0,4870295.0,4963099.0,5055487.0,5147504.0,5239305.0,5331006.0,5422784.0,5514563.0,5606107.0,5697796.0,5789676.0
