,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,162272.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1,163385.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,164368.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,166726.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3
4,168330.0,5,5,5,5,5,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,169132.0,6,6,6,6,6,6,6,5,5,5,5,5,7,13,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,5,4,4,4,4,4,4,5,5,5,5,5,5
6,170035.0,7,7,7,7,7,7,7,6,6,6,6,6,5,6,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,6,5,5,5,5,5,5,15,15,15,15,15,15
7,170714.0,8,8,8,8,8,8,8,8,7,7,7,7,6,8,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,4,4,4,4,4,4
8,171687.0,9,9,9,9,9,10,10,10,9,9,9,9,10,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,7,6,6,9,9,9,9,8,8,8,8,8,8
9,172354.0,10,10,10,10,10,9,9,9,8,8,8,8,8,5,4,4,5,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7
10,173113.0,11,11,11,11,11,11,11,11,10,10,10,10,9,7,5,5,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,3,7,7,6,6,6,6,6,6,6,6,6,6
11,173880.0,12,12,12,12,12,12,12,12,11,11,11,11,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,174822.0,13,13,13,13,13,13,13,13,12,12,14,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,10,0,0,0,0,0,0,0,0,0,0,0,0
13,175489.0,14,14,14,14,14,14,14,14,13,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14,12,11,11,11,11,11,11,10,10,10,10,10,10
14,176000.0,15,15,15,15,15,15,15,15,14,13,12,12,11,9,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13
15,176595.0,16,16,16,16,16,16,16,16,15,14,13,13,13,10,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9
16,177171.0,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,12,12,12,12,12,12
17,177814.0,18,18,18,18,18,18,18,18,16,15,15,14,14,11,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,12,12,12,12,12,12,11,11,11,11,11,11
18,212223.0,19,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,17,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,14,14,14,14,14,14
19,193841.0,20,19,19,19,19,19,19,19,18,17,16,15,15,12,9,9,9,8,8,8,8,8,8,8,8,8,14,18,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
