,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
6,1043,822,bottas,131,2,1,Finished,81722,162272,242183,321945,401463,481081,560498,640061,719614.0,799095.0,878164.0,957397.0,1036757.0,1115966.0,1194910.0,1273724.0,1352523.0,1431403.0,1514398.0,1616910.0,1695772.0,1774396.0,1853104.0,1931743.0,2010214.0,2088814.0,2167347.0,2245974.0,2325126.0,2412929.0,2491816.0,2570711.0,2649492.0,2728255.0,2806992.0,2886079.0,2965036.0,3043590.0,3122483.0,3201389.0,3279882.0,3359865.0,3440348.0,3519424.0,3598479.0,3677392.0,3756328.0,3835138.0,3914063.0,3993776.0,4089954.0,4211763.0,4321914.0,4460783.0,4592804.0,4722472.0,4854156.0,4932071.0,5009382.0,5086110.0,5163639.0,5242311.0,5318213.0
9,1043,830,max_verstappen,9,17,29,Puncture,83174,163385,243293,323181,402906,482570,562180,641675,721246.0,800896.0,880220.0,959416.0,1038596.0,1117663.0,1196929.0,1276080.0,1355030.0,1438323.0,1539006.0,1618066.0,1696671.0,1775475.0,1854206.0,1933163.0,2011861.0,2090479.0,2168855.0,2247305.0,2326716.0,2414768.0,2493459.0,2572151.0,2650642.0,2729353.0,2808036.0,2886713.0,2965933.0,3044652.0,3123309.0,3202314.0,3280860.0,3360292.0,3438443.0,3516080.0,3593940.0,3672133.0,3749840.0,3827764.0,3905716.0,3983648.0,,,,,,,,,,,,,
0,1043,1,hamilton,131,1,1,Finished,84142,164368,244032,323923,404106,483948,563599,643042,722753.0,802387.0,881523.0,961027.0,1040182.0,1119389.0,1198517.0,1277703.0,1356836.0,1435853.0,1514330.0,1592874.0,1671290.0,1749657.0,1827487.0,1905513.0,1984059.0,2062730.0,2141032.0,2219434.0,2296936.0,2385011.0,2488103.0,2566429.0,2644502.0,2722507.0,2800793.0,2878597.0,2956538.0,3034386.0,3112564.0,3190796.0,3268697.0,3346908.0,3425436.0,3503142.0,3581105.0,3659112.0,3736965.0,3814244.0,3891969.0,3969713.0,4047775.0,4187651.0,4319836.0,4457780.0,4591161.0,4721402.0,4853525.0,4931023.0,5007667.0,5084727.0,5161032.0,5236946.0,5312430.0
5,1043,817,ricciardo,4,3,1,Finished,85406,166726,247668,328529,409185,489822,570444,650960,731807.0,812691.0,893687.0,974761.0,1055768.0,1141474.0,1245535.0,1326066.0,1406455.0,1486517.0,1566431.0,1646301.0,1726041.0,1805496.0,1885016.0,1964951.0,2045156.0,2125383.0,2203965.0,2283738.0,2364105.0,2453395.0,2532610.0,2611786.0,2690634.0,2770046.0,2849064.0,2928097.0,3006905.0,3085833.0,3164718.0,3243737.0,3323060.0,3402034.0,3481184.0,3559752.0,3638675.0,3717439.0,3796259.0,3874949.0,3953599.0,4032257.0,4132248.0,4235699.0,4329853.0,4461789.0,4595482.0,4724690.0,4855659.0,4936443.0,5015108.0,5093210.0,5171111.0,5248663.0,5326750.0
14,1043,842,gasly,213,20,34,Water pressure,86537,168330,249165,330002,410405,491221,571667,656787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1043,844,leclerc,6,5,1,Finished,87074,169132,250724,331574,412389,493027,573780,654419,735129.0,815567.0,895970.0,976464.0,1061379.0,1165395.0,1246584.0,1327354.0,1407540.0,1487545.0,1567746.0,1647683.0,1727397.0,1807264.0,1886671.0,1966142.0,2046085.0,2126369.0,2207161.0,2286511.0,2366259.0,2455968.0,2535237.0,2614404.0,2693466.0,2772668.0,2851696.0,2930513.0,3009387.0,3088246.0,3167010.0,3245827.0,3324980.0,3403764.0,3482638.0,3561319.0,3640086.0,3718814.0,3797541.0,3876475.0,3955163.0,4033719.0,4135012.0,4237455.0,4334053.0,4463777.0,4597992.0,4726049.0,4856310.0,4938474.0,5017710.0,5096536.0,5174771.0,5252944.0,5331541.0
18,1043,848,albon,9,15,1,Finished,87853,170035,251646,332458,413230,493910,575048,655919,736596.0,817245.0,897788.0,978269.0,1058903.0,1144062.0,1248203.0,1328934.0,1409087.0,1489003.0,1568854.0,1648869.0,1728701.0,1808353.0,1887881.0,1967550.0,2047304.0,2127199.0,2209477.0,2288585.0,2368048.0,2457694.0,2536794.0,2616023.0,2695315.0,2774696.0,2853738.0,2932649.0,3011666.0,3090638.0,3169358.0,3248105.0,3327060.0,3405832.0,3484470.0,3563212.0,3641780.0,3720495.0,3799164.0,3877881.0,3956650.0,4035098.0,4136223.0,4238357.0,4334928.0,4465048.0,4599015.0,4726955.0,4857329.0,4949983.0,5034786.0,5136794.0,5213289.0,5293537.0,5369714.0
8,1043,826,kvyat,213,4,1,Finished,88537,170714,252519,333417,414367,495045,575909,656797,737625.0,818335.0,898676.0,979134.0,1059793.0,1144795.0,1249531.0,1329588.0,1410009.0,1489930.0,1569781.0,1649879.0,1729799.0,1809513.0,1889217.0,1968745.0,2048419.0,2128277.0,2210046.0,2289629.0,2369320.0,2461446.0,2540896.0,2620011.0,2699065.0,2778120.0,2857054.0,2935774.0,3014385.0,3093136.0,3171767.0,3250347.0,3328896.0,3407404.0,3486062.0,3564605.0,3643129.0,3721807.0,3800485.0,3879108.0,3957831.0,4036242.0,4141804.0,4261157.0,4350843.0,4468944.0,4601558.0,4729983.0,4857548.0,4937210.0,5016238.0,5094147.0,5172006.0,5249672.0,5327571.0
16,1043,846,norris,1,8,1,Finished,89178,171687,253381,334753,415868,497862,578736,659697,740461.0,821445.0,902295.0,983113.0,1068635.0,1172057.0,1252422.0,1332396.0,1412475.0,1492730.0,1572953.0,1653041.0,1732770.0,1812218.0,1891949.0,1971610.0,2051357.0,2131210.0,2211314.0,2291558.0,2375303.0,2464064.0,2543506.0,2622993.0,2702474.0,2781951.0,2860989.0,2939924.0,3018568.0,3097347.0,3176184.0,3254919.0,3333662.0,3412368.0,3490847.0,3569099.0,3647579.0,3725952.0,3804273.0,3882639.0,3961039.0,4039418.0,4141483.0,4243906.0,4340933.0,4470998.0,4604403.0,4734611.0,4858496.0,4940213.0,5019630.0,5098702.0,5177343.0,5255492.0,5333561.0
10,1043,832,sainz,1,7,1,Finished,89742,172354,254083,335479,416397,496499,577290,658010,738842.0,819789.0,900493.0,981326.0,1061949.0,1142145.0,1222301.0,1302731.0,1387170.0,1491126.0,1570917.0,1650628.0,1730547.0,1810000.0,1889982.0,1969396.0,2049826.0,2129664.0,2210329.0,2290355.0,2370711.0,2462074.0,2541822.0,2621465.0,2700566.0,2779602.0,2858614.0,2937409.0,3015959.0,3094477.0,3173305.0,3252031.0,3330848.0,3409556.0,3488141.0,3566475.0,3644923.0,3723424.0,3801829.0,3880221.0,3958982.0,4037251.0,4142925.0,4263092.0,4353502.0,4470044.0,4603002.0,4732109.0,4857891.0,4939653.0,5018868.0,5097903.0,5176390.0,5254508.0,5332660.0
4,1043,815,perez,211,6,1,Finished,90196,173113,254916,336279,417399,498481,579923,660893,741544.0,822179.0,903103.0,983811.0,1064819.0,1144186.0,1224295.0,1304277.0,1384381.0,1464154.0,1543757.0,1622894.0,1701797.0,1780699.0,1859593.0,1938409.0,2017258.0,2096388.0,2180184.0,2281955.0,2360972.0,2449184.0,2527961.0,2606799.0,2685491.0,2764381.0,2843146.0,2921670.0,3000112.0,3078856.0,3157600.0,3235991.0,3314650.0,3393316.0,3472341.0,3551560.0,3630600.0,3709648.0,3788326.0,3867460.0,3945544.0,4023870.0,4125880.0,4247246.0,4341279.0,4465631.0,4599648.0,4727634.0,4857414.0,4938830.0,5018209.0,5097067.0,5175453.0,5253563.0,5332082.0
11,1043,839,ocon,4,19,6,Gearbox,90849,173880,255765,337335,418567,499657,581040,662053,742938.0,823512.0,904477.0,985482.0,1070935.0,1175202.0,1255406.0,1335495.0,1415751.0,1495961.0,1576753.0,1657805.0,1739124.0,1818730.0,1898458.0,1978444.0,2058488.0,2138521.0,2218496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1043,847,russell,3,16,3,Accident,91472,174822,256816,338603,420154,501503,582685,663782,744832.0,825916.0,910812.0,1013600.0,1093305.0,1173650.0,1254116.0,1334359.0,1414785.0,1495166.0,1575748.0,1656109.0,1736054.0,1815552.0,1895068.0,1974812.0,2054619.0,2134429.0,2214414.0,2294098.0,2379147.0,2466425.0,2546218.0,2625887.0,2705444.0,2785033.0,2864513.0,2943582.0,3022652.0,3101670.0,3180486.0,3259572.0,3338719.0,3417588.0,3496399.0,3575357.0,3654250.0,3733112.0,3811955.0,3890878.0,3971898.0,4055678.0,4184149.0,,,,,,,,,,,,
13,1043,841,giovinazzi,51,10,1,Finished,91960,175489,257584,339447,421149,502459,583651,664929,746260.0,832282.0,936227.0,1016516.0,1096599.0,1176748.0,1256993.0,1337072.0,1417234.0,1497407.0,1577838.0,1658402.0,1739950.0,1819958.0,1900012.0,1979951.0,2060041.0,2139801.0,2221242.0,2301526.0,2388513.0,2471488.0,2550859.0,2630130.0,2709361.0,2788690.0,2868111.0,2947332.0,3026332.0,3105312.0,3184470.0,3263940.0,3343104.0,3422186.0,3501425.0,3582980.0,3662114.0,3741243.0,3820328.0,3899280.0,3978344.0,4061971.0,4186723.0,4315739.0,4452622.0,4576334.0,4665435.0,4753306.0,4859464.0,4942051.0,5022143.0,5101402.0,5180196.0,5259187.0,5338828.0
2,1043,20,vettel,6,12,1,Finished,92506,176000,258372,340156,421883,503327,584486,665705,746911.0,828590.0,908887.0,989274.0,1069560.0,1149818.0,1230063.0,1310260.0,1390184.0,1470199.0,1549888.0,1629535.0,1709022.0,1788634.0,1867968.0,1947393.0,2027170.0,2106780.0,2186384.0,2266051.0,2345940.0,2434621.0,2514035.0,2593403.0,2672648.0,2751928.0,2831014.0,2910011.0,2989192.0,3068091.0,3151713.0,3265332.0,3344144.0,3423021.0,3502034.0,3579801.0,3660808.0,3739321.0,3817691.0,3895773.0,3974319.0,4058837.0,4189458.0,4320664.0,4459899.0,4588932.0,4675470.0,4759097.0,4860320.0,4943438.0,5024319.0,5103831.0,5183126.0,5262091.0,5340883.0
1,1043,8,raikkonen,51,9,1,Finished,93181,176595,259107,340826,422643,504262,585242,666524,747744.0,829664.0,910248.0,991013.0,1071359.0,1151913.0,1232273.0,1312626.0,1392974.0,1472829.0,1552731.0,1632629.0,1712070.0,1791673.0,1871279.0,1951177.0,2030869.0,2110664.0,2190179.0,2270047.0,2349813.0,2438844.0,2518328.0,2597562.0,2677213.0,2756767.0,2836523.0,2915851.0,2995061.0,3074406.0,3153915.0,3233421.0,3312638.0,3391941.0,3471227.0,3550588.0,3629598.0,3708447.0,3787477.0,3871117.0,3972884.0,4056671.0,4185248.0,4314659.0,4451519.0,4574411.0,4663630.0,4751647.0,4858823.0,4941055.0,5020701.0,5099620.0,5178425.0,5256566.0,5334654.0
3,1043,154,grosjean,210,14,1,Finished,93691,177171,259859,341457,423238,505121,585978,667380,753837.0,857867.0,938310.0,1018286.0,1098230.0,1178394.0,1258622.0,1338742.0,1418835.0,1498942.0,1579154.0,1659455.0,1740739.0,1821002.0,1901222.0,1981768.0,2061771.0,2143567.0,2223322.0,2303696.0,2390601.0,2473696.0,2553249.0,2632558.0,2712432.0,2791883.0,2871779.0,2951459.0,3031005.0,3110361.0,3189944.0,3271359.0,3350770.0,3430010.0,3509264.0,3589004.0,3667826.0,3747201.0,3826189.0,3907619.0,3986591.0,4078082.0,4201398.0,4319194.0,4456521.0,4579729.0,4669205.0,4756458.0,4860108.0,4943150.0,5023763.0,5103291.0,5182330.0,5261330.0,5340365.0
