,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,1042,822,bottas,131,2,1,Finished,0,1229,1468,987,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,2264,2930,3033,3300,3639,4022,4866,6666,7422,7325,7662,7957,8160,8014,8668,7839,8246,8917,9577,6016,0,11248,11996,13057,14225,14332,14331,14189,14548,15122,15124,14617.0,14708.0,15014.0,15938.0,16526.0,17035.0,17693.0,18357.0,18379.0,20193.0,21563.0,23536.0,25118.0,25196.0,25592.0
1,1042,832,sainz,1,6,11,+1 Lap,1073,0,0,0,0,2114,4058,6970,9015,11195,12691,15696,17699,19559,21297,23128,24671,25613,25658,29183,31369,33648,35611,37901,40656,47217,71114,71783,74065,74770,76325,79295,80253,82853,84623,85387,86534,87754,89152,88374,79551,64919,66041,67353,68759,70318,71376,72590,74354,76353,77082,77637.0,78739.0,81805.0,82708.0,85006.0,85829.0,86637.0,87567.0,88919.0,90573.0,92118.0,94885.0,97563.0,97401.0,
2,1042,1,hamilton,131,1,1,Finished,2307,1861,2211,1761,1000,2237,1689,1869,1890,2124,2001,2052,2305,2354,1961,1677,1385,886,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15760,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1042,846,norris,1,13,11,+1 Lap,2633,3099,3661,3852,4954,6212,7518,9659,12875,15081,16706,18248,21220,23569,25420,27463,29304,36140,67930,70475,72120,73590,74850,76495,78365,79694,80970,83231,85162,86415,88105,90850,92322,93977,95541,97144,98376,100748,102707,100324,91831,77486,83523,109346,110669,111588,113017,113933,115273,116603,116740,117071.0,118304.0,119696.0,119890.0,121512.0,121715.0,123915.0,124623.0,125734.0,127204.0,127973.0,129566.0,130629.0,129559.0,
4,1042,830,max_verstappen,9,3,1,Finished,2740,3809,4315,4314,2522,2797,4441,4690,5064,5637,6519,7580,8557,9476,10221,11163,12119,12380,11934,12766,13519,14667,18952,42986,44081,44635,44809,44670,45665,46066,46772,47392,47720,48169,48416,48012,48415,48814,49452,45745,36492,20710,20927,21003,21431,21578,22226,22813,23805,23821,23946,23783.0,24093.0,25167.0,25910.0,26796.0,26945.0,27394.0,28084.0,28792.0,30241.0,30579.0,31902.0,33295.0,33013.0,34508.0
5,1042,844,leclerc,6,4,1,Finished,2759,6834,8045,7969,7712,8043,8929,10216,10977,11841,12898,12952,13666,14460,15102,15689,16068,16510,15538,16154,16772,17678,18199,19129,20529,20729,21421,22154,24085,24501,25738,26876,28343,32483,57729,58503,58856,59503,60367,56825,47311,31960,32288,33358,34690,35445,36444,37487,38665,39977,40821,41153.0,41793.0,43247.0,44408.0,46721.0,47709.0,49528.0,51247.0,53388.0,56288.0,59235.0,61500.0,62937.0,63853.0,65312.0
6,1042,8,raikkonen,51,11,11,+1 Lap,2965,4706,5469,5316,5866,7083,8722,12722,16059,19311,25593,52007,52801,53270,54250,56049,57418,57973,58178,59606,60470,61608,62826,64401,66598,67652,68292,69521,71450,73940,75794,78973,82270,84117,85834,86974,88178,91107,92385,89703,81298,66579,67621,68940,70599,72018,74171,75470,77600,79794,82352,82953.0,84622.0,87172.0,88547.0,90506.0,91712.0,93107.0,94494.0,96068.0,98772.0,100975.0,105604.0,108036.0,108931.0,
7,1042,817,ricciardo,4,9,11,+1 Lap,3804,5936,7031,7328,7304,9351,10592,13052,14892,17071,19809,21714,24510,29668,53675,55015,56315,56689,56680,58160,59109,60504,61745,63248,64885,66347,67231,67999,70875,71499,72931,74787,76717,78196,80010,82831,84024,85653,87415,84960,76069,61527,63093,64756,68025,69889,72824,74763,76783,78580,79543,81863.0,82791.0,85610.0,86872.0,88604.0,89171.0,90315.0,91459.0,92998.0,94938.0,96420.0,98796.0,100779.0,101272.0,
8,1042,848,albon,9,12,11,+1 Lap,4120,9463,12170,12903,13004,13630,14444,15880,17696,20318,22771,24918,26638,28887,30766,33033,34704,36071,40439,66094,67614,68175,68753,70086,71560,71998,72400,73271,75412,77478,78536,80179,83094,84773,86562,87698,89316,92125,93356,90866,82041,67203,68348,69581,71471,76802,100319,101429,102505,106360,106425,106875.0,107145.0,107883.0,108280.0,109649.0,109542.0,110019.0,110318.0,111369.0,112293.0,112851.0,114249.0,115552.0,115170.0,
9,1042,842,gasly,213,5,11,+1 Lap,4330,7404,9355,10020,10088,11012,11636,13639,16255,17188,17664,18738,19529,20885,22087,23649,25468,26230,26125,27641,29035,30705,32370,34086,36142,37392,39117,44115,70743,73215,74759,76334,78489,79871,82864,84053,85392,86993,88552,85721,77044,62200,63814,65323,67038,68385,70376,71452,72847,74433,75062,75789.0,76573.0,77884.0,81943.0,83471.0,84039.0,85059.0,86160.0,87654.0,89484.0,90787.0,93986.0,95864.0,95985.0,
