,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,bottas,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,sainz,2,1,1,1,1,2,3,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,5,5,6,13,12,11,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,0
2,hamilton,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,norris,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,7,9,18,18,18,18,18,18,17,16,15,15,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,15,14,13,13,13,12,12,12,12,12,12,12,12,0
4,max_verstappen,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,leclerc,6,8,8,8,8,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,raikkonen,7,6,6,6,6,6,6,7,8,9,12,19,19,19,19,19,19,19,17,16,16,16,16,15,15,14,12,10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,0
7,ricciardo,8,7,7,7,7,8,8,8,7,7,8,8,9,11,18,18,18,18,16,15,15,15,15,14,14,13,11,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
8,albon,9,12,11,11,11,11,11,11,11,11,10,11,11,10,10,10,10,8,9,17,17,17,17,17,16,15,14,13,12,12,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
9,gasly,10,9,9,9,9,9,9,9,9,8,7,7,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,0
10,stroll,11,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ocon,12,11,12,12,12,12,12,12,12,12,11,10,10,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,0
12,russell,13,13,13,13,13,13,13,13,13,13,13,12,12,13,12,12,12,11,10,9,9,9,9,9,9,9,8,7,6,6,6,6,6,6,6,6,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,0
13,giovinazzi,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,12,11,10,10,10,10,11,10,10,9,9,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,0
14,vettel,15,16,16,16,16,16,15,15,15,15,15,13,13,12,11,11,11,10,8,8,8,8,8,8,8,8,7,14,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,0
15,grosjean,16,15,15,15,15,15,16,16,17,17,17,16,16,16,15,15,15,14,13,12,12,12,12,12,11,12,16,16,16,16,16,15,15,15,15,15,15,15,15,15,16,16,16,15,15,15,15,15,15,15,15,15,16,16,15,15,15,15,15,15,15,15,15,15,15,0
16,kevin_magnussen,17,18,18,18,19,19,19,19,19,19,19,18,17,17,16,16,16,16,14,13,13,13,13,13,13,11,10,11,10,11,12,17,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,0
17,latifi,18,17,17,17,17,17,18,18,18,18,18,17,18,18,17,17,17,17,15,14,14,14,14,16,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,0,0
18,kvyat,19,19,19,19,18,18,17,17,16,16,16,15,15,15,14,14,14,13,12,11,11,11,11,10,12,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,15,16,18,18,18,18,18,18,18,18,18,0,0
