,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
7,1042.0,822.0,bottas,2.0,1.0,Finished,95953.0,183372.0,267077.0,350272.0,433558.0,515747.0,598335.0,679977.0,761748.0,843555.0,925630.0,1007519.0,1089395.0,1171102.0,1252916.0,1334566.0,1416175.0,1498487.0,1581412.0,1664008.0,1747152.0,1829192.0,1910548.0,1991838.0,2072952.0,2154958.0,2237718.0,2320793.0,2402086.0,2483138.0,2564211.0,2645443.0,2726403.0,2807278.0,2888816.0,2969515.0,3051165.0,3132606.0,3214012.0,3295139.0,3379948.0,3487847.0,3569249.0,3650805.0,3732440.0,3812913.0,3892835.0,3972869.0,4053149.0,4133850.0,4214768.0,4295167.0,4375692.0,4456114.0,4537244.0,4617334.0,4698366.0,4779126.0,4859703.0,4939209.0,5019989.0,5100875.0,5181598.0,5262567.0,5343075.0,5422420.0
11,1042.0,832.0,sainz,6.0,11.0,+1 Lap,97026.0,182143.0,265609.0,349285.0,433042.0,517861.0,602393.0,686947.0,770763.0,854750.0,938321.0,1023215.0,1107094.0,1190661.0,1274213.0,1357694.0,1440846.0,1524100.0,1607070.0,1692052.0,1776257.0,1859910.0,1943126.0,2026439.0,2109969.0,2198153.0,2303966.0,2385910.0,2468729.0,2550583.0,2632874.0,2716781.0,2798496.0,2882117.0,2964771.0,3047063.0,3129453.0,3211443.0,3293587.0,3377497.0,3459499.0,3541518.0,3623294.0,3705101.0,3786974.0,3868899.0,3949880.0,4031270.0,4112955.0,4195081.0,4276726.0,4358187.0,4439723.0,4522905.0,4604014.0,4685814.0,4767160.0,4848070.0,4928913.0,5009749.0,5090369.0,5171430.0,5252947.0,5335012.0,5415280.0,
1,1042.0,1.0,hamilton,1.0,1.0,Finished,98260.0,184004.0,267820.0,351046.0,434042.0,517984.0,600024.0,681846.0,763638.0,845679.0,927631.0,1009571.0,1091700.0,1173456.0,1254877.0,1336243.0,1417560.0,1499373.0,1581735.0,1662869.0,1744888.0,1826262.0,1907515.0,1988538.0,2069313.0,2150936.0,2232852.0,2314127.0,2394664.0,2475813.0,2556549.0,2637486.0,2718243.0,2799264.0,2880148.0,2961676.0,3042919.0,3123689.0,3204435.0,3289123.0,3395708.0,3476599.0,3557253.0,3637748.0,3718215.0,3798581.0,3878504.0,3958680.0,4038601.0,4118728.0,4199644.0,4280550.0,4360984.0,4441100.0,4521306.0,4600808.0,4681331.0,4761433.0,4841346.0,4920830.0,4999796.0,5079312.0,5158062.0,5237449.0,5317879.0,5396828.0
17,1042.0,846.0,norris,13.0,11.0,+1 Lap,98586.0,185242.0,269270.0,353137.0,437996.0,521959.0,605853.0,689636.0,774623.0,858636.0,942336.0,1025767.0,1110615.0,1194671.0,1278336.0,1362029.0,1445479.0,1534627.0,1649342.0,1733344.0,1817008.0,1899852.0,1982365.0,2065033.0,2147678.0,2230630.0,2313822.0,2397358.0,2479826.0,2562228.0,2644654.0,2728336.0,2810565.0,2893241.0,2975689.0,3058820.0,3141295.0,3224437.0,3307142.0,3389447.0,3471779.0,3554085.0,3640776.0,3747094.0,3828884.0,3910169.0,3991521.0,4072613.0,4153874.0,4235331.0,4316384.0,4397621.0,4479288.0,4560796.0,4641196.0,4722320.0,4803046.0,4885348.0,4965969.0,5046564.0,5127000.0,5207285.0,5287628.0,5368078.0,5447438.0,
10,1042.0,830.0,max_verstappen,3.0,1.0,Finished,98693.0,185952.0,269924.0,353599.0,435564.0,518544.0,602776.0,684667.0,766812.0,849192.0,932149.0,1015099.0,1097952.0,1180578.0,1263137.0,1345729.0,1428294.0,1510867.0,1593346.0,1675635.0,1758407.0,1840929.0,1926467.0,2031524.0,2113394.0,2195571.0,2277661.0,2358797.0,2440329.0,2521879.0,2603321.0,2684878.0,2765963.0,2847433.0,2928564.0,3009688.0,3091334.0,3172503.0,3253887.0,3334868.0,3416440.0,3497309.0,3578180.0,3658751.0,3739646.0,3820159.0,3900730.0,3981493.0,4062406.0,4142549.0,4223590.0,4304333.0,4385077.0,4466267.0,4547216.0,4627604.0,4708276.0,4788827.0,4869430.0,4949622.0,5030037.0,5109891.0,5189964.0,5270744.0,5350892.0,5431336.0
16,1042.0,844.0,leclerc,4.0,1.0,Finished,98712.0,188977.0,273654.0,357254.0,440754.0,523790.0,607264.0,690193.0,772725.0,855396.0,938528.0,1020471.0,1103061.0,1185562.0,1268018.0,1350255.0,1432243.0,1514997.0,1596950.0,1679023.0,1761660.0,1843940.0,1925714.0,2007667.0,2089842.0,2171665.0,2254273.0,2336281.0,2418749.0,2500314.0,2582287.0,2664362.0,2746586.0,2831747.0,2937877.0,3020179.0,3101775.0,3183192.0,3264802.0,3345948.0,3427259.0,3508559.0,3589541.0,3671106.0,3752905.0,3834026.0,3914948.0,3996167.0,4077266.0,4158705.0,4240465.0,4321703.0,4402777.0,4484347.0,4565714.0,4647529.0,4729040.0,4810961.0,4892593.0,4974218.0,5056084.0,5138547.0,5219562.0,5300386.0,5381732.0,5462140.0
2,1042.0,8.0,raikkonen,11.0,11.0,+1 Lap,98918.0,186849.0,271078.0,354601.0,438908.0,522830.0,607057.0,692699.0,777807.0,862866.0,951223.0,1059526.0,1142196.0,1224372.0,1307166.0,1390615.0,1473593.0,1556460.0,1639590.0,1722475.0,1805358.0,1887870.0,1970341.0,2052939.0,2135911.0,2218588.0,2301144.0,2383648.0,2466114.0,2549753.0,2632343.0,2716459.0,2800513.0,2883381.0,2965982.0,3048650.0,3131097.0,3214796.0,3296820.0,3378826.0,3461246.0,3543178.0,3624874.0,3706688.0,3788814.0,3870599.0,3952675.0,4034150.0,4116201.0,4198522.0,4281996.0,4363503.0,4445606.0,4528272.0,4609853.0,4691314.0,4773043.0,4854540.0,4935840.0,5016898.0,5098568.0,5180287.0,5263666.0,5345485.0,5426810.0,
6,1042.0,817.0,ricciardo,9.0,11.0,+1 Lap,99757.0,188079.0,272640.0,356613.0,440346.0,525098.0,608927.0,693029.0,776640.0,860626.0,945439.0,1029233.0,1113905.0,1200770.0,1306591.0,1389581.0,1472490.0,1555176.0,1638092.0,1721029.0,1803997.0,1886766.0,1969260.0,2051786.0,2134198.0,2217283.0,2300083.0,2382126.0,2465539.0,2547312.0,2629480.0,2712273.0,2794960.0,2877460.0,2960158.0,3044507.0,3126943.0,3209342.0,3291850.0,3374083.0,3456017.0,3538126.0,3620346.0,3702504.0,3786240.0,3868470.0,3951328.0,4033443.0,4115384.0,4197308.0,4279187.0,4362413.0,4443775.0,4526710.0,4608178.0,4689412.0,4770502.0,4851748.0,4932805.0,5013828.0,5094734.0,5175732.0,5256858.0,5338228.0,5419151.0,
19,1042.0,848.0,albon,12.0,11.0,+1 Lap,100073.0,191606.0,277779.0,362188.0,446046.0,529377.0,612779.0,695857.0,779444.0,863873.0,948401.0,1032437.0,1116033.0,1199989.0,1283682.0,1367599.0,1450879.0,1534558.0,1621851.0,1728963.0,1812502.0,1894437.0,1976268.0,2058624.0,2140873.0,2222934.0,2305252.0,2387398.0,2470076.0,2553291.0,2635085.0,2717665.0,2801337.0,2884037.0,2966710.0,3049374.0,3132235.0,3215814.0,3297791.0,3379989.0,3461989.0,3543802.0,3625601.0,3707329.0,3789686.0,3875383.0,3978823.0,4060109.0,4141106.0,4225088.0,4306069.0,4387425.0,4468129.0,4548983.0,4629586.0,4710457.0,4790873.0,4871452.0,4951664.0,5032199.0,5112089.0,5192163.0,5272311.0,5353001.0,5433049.0,
15,1042.0,842.0,gasly,5.0,11.0,+1 Lap,100283.0,189547.0,274964.0,359305.0,443130.0,526759.0,609971.0,693616.0,778003.0,860743.0,943294.0,1026257.0,1108924.0,1191987.0,1275003.0,1358215.0,1441643.0,1524717.0,1607537.0,1690510.0,1773923.0,1856967.0,1939885.0,2022624.0,2105455.0,2188328.0,2271969.0,2358242.0,2465407.0,2549028.0,2631308.0,2713820.0,2796732.0,2879135.0,2963012.0,3045729.0,3128311.0,3210682.0,3292987.0,3374844.0,3456992.0,3538799.0,3621067.0,3703071.0,3785253.0,3866966.0,3948880.0,4030132.0,4111448.0,4193161.0,4274706.0,4356339.0,4437557.0,4518984.0,4603249.0,4684279.0,4765370.0,4846492.0,4927506.0,5008484.0,5089280.0,5170099.0,5252048.0,5333313.0,5413864.0,
