,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,313341.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,10,7,6,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,315455.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,316840.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,317746.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,9,8,8,8,8,8,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,318868.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,14,13,12,11,9,9,9,9,9,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,320770.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,3,3,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,322644.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,7,13,12,12,12,12,12,12,12,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,11,11,10,10,9,9,9,9,9,9,9
7,323634.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,5,4,4,3,3,3,3,3,2,2,3,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,324938.0,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,9,8,8,6,14,14,14,14,14,14,14,14,13,13,13,12,12,12,12,11,11,11,11,11,11,11,12,12,12,12,12,11,12,12,12,12,12,0
9,328396.0,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,11,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,13,12,12,12,13,14,15,16,18,18,18,18,18,17,17,17,17,17,0
10,329987.0,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9,8,7,6,5,5,4,4,4,4,4,3,4,4,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,331166.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,14,14,13,14,14,14,13,13,13,13,13,13,13,12,11,11,11,11,11,0
12,332494.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,9,9,8,7,7,7,7,7,7,7,8,9,9,11,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,0
13,333688.0,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,0
14,335203.0,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,12,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,12,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,0
15,338222.0,16,16,16,16,16,16,16,16,16,17,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,18,0
16,339718.0,17,17,17,17,17,18,18,18,18,18,17,16,16,16,16,15,14,13,12,11,11,11,11,11,11,11,13,16,16,16,15,15,15,15,15,14,13,13,12,12,12,11,10,10,11,11,10,10,10,10,10,10,10
17,341445.0,18,18,18,18,18,17,17,17,17,16,18,18,17,17,17,16,15,14,14,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,14,15,15,15,15,15,0
