,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,russell,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,2,1,1,1,1,1,1,13,13,12,12,11,10,10,9,8
1,bottas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,6,8,7,7,7,7,7,7,7,7,7
2,sainz,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,7,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3
3,ricciardo,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,9,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,5,5,5,5,5,4,4,4,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4
4,kvyat,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,10,9,8,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,5,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6
5,stroll,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,8,8,8,7,7,7,6,6,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
6,gasly,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,10,10,10,9,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,6,6,6,8,11,11,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,9,10,10
7,ocon,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,5,4,4,4,4,4,4,4,4,4,4,4,4,9,8,8,8,8,8,7,7,7,6,6,6,5,5,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
8,vettel,9,9,9,9,9,9,9,11,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,7,6,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,11,11,11,11
9,norris,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,10,17,17,17,16,15,15,13,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,9
10,kevin_magnussen,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,13,13,13,13,13,14,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,albon,12,12,12,12,11,11,11,10,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,6,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4,10,10,10,10,8,8,7,7,5,5,5,5,5,5,5,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5
