,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1,1032.0,1.0,hamilton,1.0,1.0,Finished,78184.0,203656.0,311256.0,379887.0,448855.0,517752.0,586362.0,654943.0,723788.0,792562.0,861574.0,930227.0,998711.0,1067561.0,1136122.0,1204674.0,1273487.0,1341978.0,1410363.0,1478546.0,1546965.0,1615284.0,1684066.0,1752605.0,1821009.0,1889491.0,1961336.0,2046997.0,2114860.0,2182931.0,2251066.0,2319099.0,2386996.0,2455090.0,2523499.0,2591449.0,2659325.0,2727792.0,2795443.0,2863483.0,2931347.0,2999504.0,3067248.0,3135201.0,3203487.0,3271957.0,3340020.0,3408189.0,3476371.0,3544429.0,3612364.0,3680396.0,3748379.0,3816341.0,3884108.0,3952003.0,4020018.0,4087995.0,4156128.0,4224057.0,4292266.0,4360047.0,4427711.0,4495415.0,4564498.0,4631516.0,4699350.0,4766069.0,4834193.0,4902355.0,4970683.0
10,1032.0,830.0,max_verstappen,3.0,1.0,Finished,81063.0,204929.0,311848.0,381230.0,450316.0,519309.0,588393.0,657458.0,726383.0,795219.0,864017.0,932710.0,1001599.0,1070362.0,1139250.0,1208103.0,1276942.0,1345743.0,1414468.0,1483288.0,1552119.0,1620819.0,1689706.0,1761911.0,1846729.0,1914977.0,1983443.0,2051819.0,2119888.0,2188000.0,2256133.0,2324367.0,2392382.0,2460283.0,2528332.0,2596304.0,2664213.0,2732254.0,2800418.0,2868459.0,2936607.0,3004417.0,3072446.0,3140566.0,3208550.0,3276786.0,3344891.0,3413012.0,3481250.0,3549441.0,3617769.0,3686109.0,3754283.0,3822475.0,3890624.0,3958586.0,4027142.0,4095536.0,4163760.0,4232452.0,4300722.0,4368847.0,4437192.0,4505693.0,4574225.0,4643181.0,4713975.0,4786178.0,4871637.0,4937782.0,5004381.0
11,1032.0,832.0,sainz,9.0,11.0,+1 Lap,83726.0,205994.0,312572.0,383229.0,453611.0,525004.0,595682.0,666986.0,737193.0,807453.0,877433.0,947318.0,1017091.0,1086877.0,1156843.0,1226687.0,1296419.0,1366246.0,1435935.0,1505538.0,1575135.0,1644574.0,1714066.0,1783418.0,1852915.0,1922263.0,1991623.0,2060789.0,2130007.0,2199479.0,2269044.0,2341976.0,2432298.0,2501003.0,2569960.0,2639127.0,2708096.0,2776424.0,2845456.0,2914275.0,2983328.0,3052023.0,3120743.0,3189436.0,3258712.0,3327541.0,3396442.0,3465284.0,3534072.0,3602692.0,3671298.0,3739742.0,3808149.0,3876317.0,3944384.0,4012697.0,4080959.0,4149275.0,4217474.0,4286374.0,4356226.0,4424445.0,4492581.0,4561126.0,4628849.0,4700677.0,4786759.0,4852378.0,4922271.0,4989726.0,
7,1032.0,822.0,bottas,2.0,1.0,Finished,85391.0,206786.0,312976.0,383752.0,454359.0,523670.0,592859.0,661819.0,730475.0,799158.0,867964.0,936495.0,1005402.0,1074105.0,1142775.0,1211332.0,1280069.0,1348811.0,1417535.0,1485968.0,1554582.0,1623021.0,1691759.0,1760590.0,1829403.0,1897880.0,1966628.0,2035014.0,2103554.0,2172305.0,2240864.0,2309618.0,2378410.0,2451183.0,2536599.0,2604625.0,2672623.0,2740589.0,2808217.0,2875808.0,2943463.0,3011283.0,3078961.0,3147261.0,3215848.0,3284862.0,3353032.0,3422041.0,3490793.0,3558912.0,3626530.0,3694379.0,3762095.0,3829826.0,3897457.0,3965290.0,4033079.0,4100892.0,4168641.0,4236457.0,4304123.0,4371657.0,4439442.0,4507192.0,4574883.0,4643730.0,4712914.0,4780853.0,4848471.0,4916278.0,4984402.0
19,1032.0,848.0,albon,4.0,1.0,Finished,87279.0,207993.0,313612.0,384620.0,455365.0,525914.0,596319.0,666067.0,735774.0,805574.0,875316.0,944948.0,1014651.0,1084422.0,1154401.0,1223990.0,1293630.0,1363220.0,1433006.0,1502361.0,1572180.0,1641814.0,1711309.0,1780755.0,1850350.0,1919791.0,1989151.0,2058356.0,2127401.0,2196349.0,2265322.0,2334286.0,2403032.0,2471925.0,2544768.0,2631935.0,2700128.0,2768397.0,2836538.0,2904896.0,2973139.0,3041390.0,3109850.0,3178411.0,3247112.0,3315984.0,3384870.0,3453774.0,3522396.0,3590917.0,3659222.0,3727456.0,3795417.0,3863558.0,3931933.0,4000170.0,4068346.0,4136017.0,4203662.0,4271318.0,4338830.0,4406350.0,4473799.0,4541318.0,4608648.0,4675995.0,4743294.0,4810403.0,4878578.0,4946447.0,5015083.0
12,1032.0,839.0,ocon,18.0,25.0,Overheating,88095.0,209014.0,313969.0,385334.0,456377.0,526834.0,597207.0,667721.0,738068.0,808356.0,878362.0,948357.0,1018187.0,1088006.0,1157989.0,1227964.0,1298259.0,1368276.0,1438970.0,1508642.0,1578004.0,1647325.0,1717006.0,1786478.0,1859954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1032.0,817.0,ricciardo,8.0,1.0,Finished,89615.0,210269.0,314267.0,385898.0,457226.0,527537.0,597836.0,668422.0,738817.0,809248.0,879351.0,949083.0,1019087.0,1089025.0,1158844.0,1228701.0,1298959.0,1368981.0,1438245.0,1507700.0,1577145.0,1646587.0,1716170.0,1785569.0,1855204.0,1924521.0,1993666.0,2062581.0,2131589.0,2200746.0,2270120.0,2339269.0,2407998.0,2476931.0,2545575.0,2614370.0,2686456.0,2772227.0,2840617.0,2908901.0,2977280.0,3045663.0,3114214.0,3182979.0,3251966.0,3320707.0,3389413.0,3460334.0,3528868.0,3597593.0,3666292.0,3734964.0,3803472.0,3871884.0,3940263.0,4008602.0,4077022.0,4145525.0,4213759.0,4282165.0,4350230.0,4418428.0,4486408.0,4554401.0,4622233.0,4690359.0,4758267.0,4826227.0,4894130.0,4964826.0,5033274.0
15,1032.0,842.0,gasly,15.0,11.0,+1 Lap,92014.0,211272.0,314666.0,386519.0,457796.0,528412.0,598768.0,669176.0,739596.0,809994.0,880272.0,950093.0,1020081.0,1089952.0,1159997.0,1230683.0,1302000.0,1373253.0,1443641.0,1513819.0,1584815.0,1655179.0,1725741.0,1799625.0,1887171.0,1957208.0,2026890.0,2096634.0,2166403.0,2236283.0,2306397.0,2375632.0,2445337.0,2515159.0,2584649.0,2654141.0,2723665.0,2793249.0,2862613.0,2933034.0,3002492.0,3071779.0,3142390.0,3211991.0,3282421.0,3351446.0,3423719.0,3494837.0,3568399.0,3655186.0,3723668.0,3792233.0,3861929.0,3930355.0,3998581.0,4067468.0,4138476.0,4207017.0,4275655.0,4343902.0,4412171.0,4480530.0,4548935.0,4617355.0,4685676.0,4753771.0,4822047.0,4890310.0,4958137.0,5029170.0,
16,1032.0,844.0,leclerc,19.0,130.0,Collision damage,93572.0,229175.0,324554.0,417102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1032.0,846.0,norris,5.0,1.0,Finished,94458.0,212801.0,315042.0,387271.0,459090.0,529650.0,599971.0,670531.0,741032.0,811418.0,881712.0,952105.0,1021736.0,1093281.0,1163478.0,1233567.0,1303821.0,1374020.0,1444437.0,1514618.0,1583519.0,1653394.0,1723183.0,1792598.0,1862344.0,1931894.0,2001113.0,2070155.0,2139449.0,2208731.0,2277967.0,2347280.0,2416294.0,2485536.0,2554633.0,2623852.0,2693264.0,2762601.0,2835560.0,2923431.0,2992083.0,3060085.0,3128172.0,3196608.0,3265897.0,3334508.0,3402595.0,3470733.0,3538858.0,3607017.0,3675198.0,3743266.0,3811078.0,3878924.0,3946852.0,4014762.0,4082884.0,4150754.0,4218523.0,4287149.0,4355003.0,4422700.0,4490564.0,4557850.0,4625428.0,4692621.0,4760193.0,4827684.0,4895573.0,4964186.0,5032153.0
