,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,max_verstappen,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,perez,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,3,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
3,sainz,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
4,norris,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,12,11,10,10,9,8,8,8,8,8,8,8,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,6,9,8,8,8,8,8,8,7,7,7
5,leclerc,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,16,15,14,13,13,12,11,11,9,9,9,9,9,9,9,8,8,8,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10
6,tsunoda,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,4,4,3,4,10,10,10,10,10,10,10,10,10,10,10,10,9,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,5,5,4
7,bottas,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,5,5,4,3,3,3,3,3,3,3,4,9,9,9,8,8,8,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,6
8,ocon,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,17,17,16,15,14,14,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9
9,ricciardo,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,9,16,16,16,13,13,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,12,12,0
10,alonso,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,7,8,8,8,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,8,8
11,gasly,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,6,7,6,6,5
12,giovinazzi,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,12,17,17,17,17,15,15,14,14,14,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,stroll,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,13,13,11,10,10,11,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,0
14,vettel,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,12,11,10,9,9,9,9,10,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11
15,latifi,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,16,15,14,15,15,14,14,13,13,13,14,16,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0
16,raikkonen,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,12,11,12,13,17,17,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,mick_schumacher,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,0
