,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,1073,1,hamilton,131,2,1,Finished,91686,180477,269064,357853,446483,535076,623626,712211,800567,888783,976917,1065483,1153741,1243994,1352749,1440582,1528362,1616251,1704483,1797926,1888411,1976417,2064080,2152059,2239929,2328006.0,2415981.0,2504124.0,2591608.0,2679116.0,2766611.0,2854055.0,2941797.0,3028998.0,3116589.0,3218056.0,3334272.0,3424429.0,3511191.0,3598578.0,3685296.0,3772078.0,3858693.0,3945713.0,4032679.0,4119949.0,4207632.0,4295185.0,4382060.0,4468844.0,4555778.0,4642611.0,4741185.0,4884096.0,5036179.0,5181940.0,5330271.0,5419601.0
7,1073,830,max_verstappen,9,1,1,Finished,92800,181903,270730,359756,448474,537181,625817,714634,803305,892195,981332,1070614,1162129,1269380,1357872,1446878,1535986,1624488,1713201,1801588,1890157,1978479,2066654,2154833,2242874,2331474.0,2419822.0,2507757.0,2595661.0,2683339.0,2771256.0,2859169.0,2946750.0,3034533.0,3122294.0,3225892.0,3354497.0,3440818.0,3526921.0,3613473.0,3699774.0,3786237.0,3872674.0,3959482.0,4046250.0,4133298.0,4219954.0,4306508.0,4393165.0,4479913.0,4566961.0,4654520.0,4756592.0,4891965.0,5042400.0,5188832.0,5330727.0,5417345.0
4,1073,815,perez,9,15,5,Engine,93756,183263,272536,361438,450687,539926,628948,717888,806951,895888,984774,1073939,1163206,1252598,1342179,1431862,1521829,1612417,1703451,1797810,1894634,2003398,2091911,2180516,2268241,2356554.0,2444605.0,2532567.0,2620545.0,2708884.0,2796834.0,2884654.0,2972614.0,3059920.0,3147343.0,3260142.0,3379849.0,3466599.0,3553179.0,3639822.0,3726483.0,3813523.0,3900119.0,3987033.0,4075250.0,4162278.0,4248920.0,4335349.0,4421856.0,4508284.0,4594703.0,4681232.0,4788839.0,4915733.0,5052571.0,,,
8,1073,832,sainz,6,3,1,Finished,94819,185144,275299,365655,456042,546371,636687,726942,817107,907281,997081,1086853,1176654,1266245,1356183,1445774,1535085,1625992,1718376,1828804,1918556,2008359,2098095,2187671,2277281,2366786.0,2456452.0,2546171.0,2635430.0,2724551.0,2813942.0,2903058.0,2992216.0,3081044.0,3174835.0,3290199.0,3391752.0,3480044.0,3568428.0,3656753.0,3745032.0,3833069.0,3921247.0,4008890.0,4096819.0,4184493.0,4272290.0,4359919.0,4447651.0,4535290.0,4622908.0,4712090.0,4829057.0,4947524.0,5054535.0,5193641.0,5333639.0,5422518.0
14,1073,846,norris,1,7,1,Finished,95658,186621,277386,367741,458242,548797,639109,729396,819552,909795,999886,1089971,1180554,1271329,1361677,1451783,1544034,1654196,1744560,1833999,1923906,2013112,2102558,2191853,2281125,2370477.0,2459660.0,2548824.0,2638032.0,2727127.0,2816264.0,2905355.0,2994181.0,3082982.0,3176448.0,3291620.0,3393514.0,3481981.0,3570411.0,3658857.0,3747146.0,3835534.0,3923712.0,4011860.0,4099868.0,4187927.0,4275880.0,4365876.0,4473904.0,4560751.0,4647978.0,4742436.0,4885921.0,5038061.0,5183273.0,5302323.0,5389783.0,5476545.0
13,1073,844,leclerc,6,10,1,Finished,96143,187283,278193,368702,459332,549918,640238,730610,820714,910982,1000978,1091359,1181682,1273732,1367613,1478466,1567874,1657157,1746798,1836291,1925854,2015442,2104821,2193925,2283341,2372783.0,2461998.0,2551252.0,2640507.0,2729600.0,2818981.0,2907804.0,2996952.0,3087002.0,3183560.0,3312213.0,3409522.0,3498247.0,3587154.0,3675587.0,3763925.0,3852654.0,3941608.0,4030779.0,4121114.0,4210096.0,4299070.0,4387708.0,4476878.0,4565830.0,4655828.0,4758076.0,4888875.0,5040562.0,5186753.0,5305201.0,5393845.0,5483402.0
17,1073,852,tsunoda,213,4,1,Finished,96600,188094,278905,369559,460382,550923,641207,731665,822044,912366,1002503,1093010,1182982,1274579,1364633,1454747,1544587,1634261,1723815,1813447,1903199,1992897,2084741,2195900,2285200,2374823.0,2464514.0,2553505.0,2642611.0,2731666.0,2821422.0,2910613.0,2999751.0,3088768.0,3185197.0,3298777.0,3402154.0,3490460.0,3578896.0,3667264.0,3755610.0,3843837.0,3932032.0,4020025.0,4107994.0,4195884.0,4283616.0,4371277.0,4458858.0,4546354.0,4633889.0,4726165.0,4841343.0,4955803.0,5059138.0,5196982.0,5335083.0,5423037.0
6,1073,822,bottas,131,6,1,Finished,97280,189018,279701,370698,461342,551981,642176,732709,823224,913928,1004520,1094772,1184851,1275446,1366525,1456279,1545971,1635449,1725101,1814721,1904368,1993927,2083911,2173008,2261879,2351515.0,2440442.0,2529573.0,2618777.0,2709721.0,2819963.0,2908739.0,2997700.0,3085618.0,3179525.0,3293993.0,3395434.0,3483320.0,3571280.0,3659761.0,3747985.0,3836345.0,3924672.0,4012942.0,4100781.0,4188820.0,4276669.0,4365196.0,4452435.0,4539565.0,4626427.0,4714581.0,4832905.0,4948797.0,5055955.0,5195138.0,5334329.0,5424808.0
9,1073,839,ocon,214,9,1,Finished,97772,189857,280709,371902,462756,553637,644401,735032,825751,916323,1006988,1097730,1188591,1279757,1373073,1482587,1572611,1662485,1752743,1842084,1931934,2021413,2110716,2200315,2289946,2379421.0,2468772.0,2558328.0,2647320.0,2736198.0,2825519.0,2914579.0,3003609.0,3092790.0,3188340.0,3305096.0,3404002.0,3493652.0,3583271.0,3672210.0,3761360.0,3850761.0,3939857.0,4029021.0,4117981.0,4206993.0,4297027.0,4385688.0,4475226.0,4563869.0,4652534.0,4754670.0,4888046.0,5039590.0,5185825.0,5304703.0,5393122.0,5481371.0
5,1073,817,ricciardo,1,12,11,+1 Lap,98267,190405,281501,372761,463821,554597,645618,736572,827081,917739,1008453,1099121,1190350,1281496,1372355,1463016,1553844,1646595,1756609,1845939,1936055,2025106,2114654,2204052,2293531,2382784.0,2472073.0,2561238.0,2650406.0,2739696.0,2828928.0,2917808.0,3006850.0,3095667.0,3192793.0,3307024.0,3405724.0,3494790.0,3584256.0,3673135.0,3762157.0,3851563.0,3940837.0,4029914.0,4118882.0,4209224.0,4298078.0,4386801.0,4476062.0,4564863.0,4653605.0,4757621.0,4894085.0,5044613.0,5189395.0,5331446.0,5420926.0,
