,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,max_verstappen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,norris,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,perez,3,3,3,10,10,10,10,10,10,10,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,10,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,hamilton,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,bottas,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,gasly,6,6,6,5,5,5,5,5,5,5,5,5,5,17,16,16,16,14,14,14,14,14,13,13,12,12,12,12,12,11,10,9,8,8,7,7,6,6,6,6,6,6,6,6,9,12,12,12,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,tsunoda,7,7,7,6,6,6,6,6,6,6,6,10,18,18,17,17,17,16,15,15,15,15,15,15,15,15,15,15,14,14,13,13,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,0
7,stroll,8,8,8,7,7,7,7,7,7,7,7,6,6,9,18,18,18,17,18,18,17,17,17,17,17,17,17,17,16,16,15,15,13,13,13,13,14,13,13,13,13,13,13,13,13,15,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,0
8,vettel,9,9,9,8,8,8,8,8,8,8,8,7,7,5,5,5,9,18,17,16,16,16,16,16,16,16,16,16,15,15,14,14,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
9,leclerc,10,10,10,11,11,11,11,11,11,11,11,11,10,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,10,10,10,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8
10,ricciardo,11,11,11,9,9,9,9,9,9,9,9,8,8,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7,12,11,10,9,9,8,8,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
11,giovinazzi,12,18,18,18,18,17,17,17,17,17,17,17,16,15,14,14,14,13,13,13,13,13,14,14,14,14,14,14,17,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,0
12,russell,13,12,12,12,12,12,12,12,12,12,12,13,12,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,10,16,16,15,14,14,14,13,12,12,12,12,12,12,12,12,11,11,11,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,0
13,sainz,14,13,13,13,13,13,13,13,13,13,13,12,11,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6
14,raikkonen,15,14,14,14,14,14,14,14,14,14,14,14,13,12,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,7,7,6,6,9,15,15,15,15,15,15,15,15,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,0
15,alonso,16,15,15,15,15,15,15,15,15,15,15,15,14,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,9,9,11,16,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,0
16,mick_schumacher,17,16,16,16,17,18,18,18,18,18,18,18,17,16,15,15,15,15,16,17,18,18,18,18,18,18,18,18,18,17,17,17,17,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0
17,latifi,18,17,17,17,16,16,16,16,16,16,16,16,15,14,13,13,13,12,12,12,12,12,12,12,13,13,13,13,13,13,12,12,14,17,16,16,16,16,16,16,16,16,16,16,16,16,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,0
