,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,max_verstappen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,leclerc,3,3,3,3,3,4,4,4,5,5,5,6,13,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,bottas,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,gasly,5,5,5,17,18,18,18,18,18,18,18,18,18,18,16,16,16,17,17,18,18,18,18,18,18,18,17,17,17,17,17,17,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
5,norris,6,6,6,5,5,5,5,5,4,4,4,5,12,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,ricciardo,7,7,7,6,6,6,6,6,6,6,6,4,4,10,9,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,alonso,8,8,8,7,7,7,7,7,8,8,9,16,14,9,10,8,9,9,9,9,10,9,10,10,10,11,11,11,11,16,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,stroll,9,9,9,8,8,8,8,8,7,7,7,8,15,11,11,9,8,8,8,7,7,7,7,7,7,7,7,8,14,12,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9
9,sainz,10,10,10,9,9,9,9,9,9,9,8,7,5,3,4,10,10,10,10,10,8,8,8,8,8,8,8,7,7,7,7,7,5,4,4,4,5,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7
10,raikkonen,11,11,11,11,11,11,11,11,11,11,11,9,6,13,12,11,11,11,11,11,11,10,9,9,9,9,9,9,8,13,12,11,11,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,giovinazzi,12,12,12,10,10,10,10,10,10,10,10,10,17,15,14,14,14,14,14,14,14,14,14,14,13,13,13,13,12,10,16,13,14,14,14,14,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,0
12,ocon,13,13,13,12,12,12,12,12,12,12,12,11,8,14,13,12,12,12,12,12,13,13,13,12,12,12,12,12,10,9,9,14,13,13,13,13,12,12,12,12,12,12,12,13,13,13,12,12,12,12,12,12,12,12,12,0
13,vettel,14,14,14,13,14,13,13,13,14,14,14,13,9,6,5,6,6,6,7,8,9,11,11,13,16,16,16,16,15,14,13,12,12,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,14,14,14,14,14,0
14,tsunoda,15,15,15,15,15,15,14,14,13,13,13,12,7,5,6,13,13,13,13,13,12,12,12,11,11,10,10,10,9,8,8,8,7,12,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8
15,russell,16,16,16,14,13,14,15,15,15,15,15,14,11,17,15,15,15,15,15,15,15,15,15,15,14,14,14,14,13,11,11,10,10,9,9,12,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,0
16,latifi,17,17,17,16,16,16,16,16,16,16,16,15,10,12,17,17,17,16,16,16,16,16,16,16,15,15,15,15,16,15,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,0,0,0,0,0
17,mick_schumacher,18,18,18,18,17,17,17,17,17,17,17,17,16,16,18,18,18,18,18,17,17,17,17,17,17,17,18,18,18,18,18,18,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,15,15,15,0
