,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,1064,830,max_verstappen,9,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9734,7999,5770,4238,3770,2655,1375,554,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1064,1,hamilton,131,2,1,Finished,1734,2151,2383,2291,2511,2729,3051,3271,2888,2953,2907,2990,3037,3504,3505,3489,3461,3606,3593,6747,20702,11619,9895,7647,5926,5033,4312,2923,3083,693,1592,1709,1643,1754,1562,1568,2055,2631,5837,21110,3131,3035.0,3361.0,2545.0,3218.0,3478.0,3925.0,3838.0,3292.0,3322.0,2941.0,2453.0,2252.0,1439.0,1844.0,1862.0,1846.0,1655.0,2571.0,2970.0,4040.0,4188.0,4008.0,3797.0,4030.0,4153.0,2964.0,3373.0,3124.0,5912.0,24591.0,20932.0
2,1064,822,bottas,131,3,1,Finished,2722,3605,4491,4726,5013,5643,6170,6269,6891,7486,7943,8537,8984,9401,9829,10358,10607,10775,10867,10345,7247,0,0,0,0,0,0,0,0,58,7221,25122,25377,24934,24075,24282,25947,26042,26320,24727,8416,9493.0,10645.0,10797.0,11377.0,11801.0,12491.0,13168.0,14355.0,15810.0,16827.0,17193.0,17802.0,18097.0,17505.0,18745.0,19387.0,19735.0,20470.0,21490.0,22653.0,23992.0,26371.0,26734.0,28646.0,29933.0,34799.0,56092.0,54411.0,54745.0,56064.0,56460.0
3,1064,842,gasly,213,4,11,+1 Lap,3997,5858,7528,8736,10089,11327,12571,14323,15742,17234,18758,20332,21936,23749,24924,26054,27186,28454,29274,29554,27390,21020,21714,24879,41934,41267,42044,41531,41530,40525,41505,42452,43529,45381,46540,47884,49758,51275,53217,51762,36113,38137.0,40134.0,40909.0,42617.0,44067.0,45650.0,47239.0,49023.0,51552.0,53836.0,55236.0,56994.0,57603.0,58052.0,59203.0,60555.0,61721.0,63172.0,64763.0,66239.0,67411.0,68711.0,69926.0,71748.0,74394.0,77733.0,80520.0,82425.0,84441.0,86544.0,
4,1064,844,leclerc,6,5,11,+1 Lap,4934,7859,10108,12169,13868,15565,17053,18480,19674,21323,22291,23704,24960,26174,27583,28682,29652,30652,31363,31663,29276,22758,22846,23172,22964,23393,24129,24487,24840,24627,26159,28691,31642,38025,57804,58552,59726,60856,62052,60387,44282,46224.0,48080.0,48681.0,50102.0,51412.0,53130.0,54428.0,56076.0,57724.0,59048.0,59870.0,61968.0,62742.0,62714.0,63809.0,65195.0,66259.0,67528.0,69040.0,70552.0,71702.0,74643.0,78481.0,80931.0,83244.0,83978.0,84961.0,86000.0,89042.0,91536.0,
5,1064,832,sainz,6,7,11,+1 Lap,5813,9003,11742,14094,16256,18345,20292,21968,23728,25344,26876,28755,30144,31716,33087,34764,36183,37147,37790,38200,35923,29618,30079,30154,30700,31519,32749,33819,34829,35064,40875,61811,63280,64752,65521,66508,68360,69630,71416,70091,54405,56606.0,58554.0,59693.0,61121.0,62911.0,65012.0,67007.0,68972.0,71182.0,75393.0,78977.0,81293.0,82817.0,83781.0,85912.0,87827.0,89713.0,91646.0,94026.0,96663.0,102131.0,104093.0,105920.0,107990.0,110896.0,112352.0,114048.0,115811.0,118728.0,122257.0,
6,1064,4,alonso,214,6,11,+1 Lap,6578,9702,12421,15309,18534,21589,24469,27297,29909,32808,35360,37883,40231,42441,44062,45417,46593,47868,48672,49185,47149,40300,40285,40057,40382,40739,41621,43622,44261,44385,46224,48450,53761,73534,75651,78484,80102,82242,84351,83381,68092,71164.0,73490.0,76583.0,79565.0,81195.0,83561.0,85410.0,87510.0,90190.0,93239.0,94204.0,95259.0,95288.0,94949.0,95674.0,96532.0,97408.0,98159.0,99207.0,100559.0,102823.0,104542.0,106750.0,108524.0,111195.0,112817.0,114544.0,116291.0,118906.0,120225.0,
7,1064,839,ocon,214,9,11,+1 Lap,7175,10484,13297,16003,19330,22391,25249,27899,30757,33947,36772,39539,41904,44334,46491,48270,49567,51001,52156,53062,51191,45263,46121,46316,46883,47638,49010,49728,50302,50054,54840,72543,72961,76488,78044,79088,81236,83433,85475,84391,69237,71780.0,75335.0,77825.0,80221.0,82216.0,84473.0,86535.0,90107.0,92382.0,94221.0,95708.0,97063.0,97242.0,97486.0,98660.0,99975.0,101282.0,102566.0,104025.0,105684.0,107072.0,108750.0,109984.0,111435.0,113379.0,115000.0,115967.0,118301.0,121177.0,123826.0,
8,1064,817,ricciardo,1,11,11,+1 Lap,7906,11369,14412,17311,20054,23067,26104,28892,31762,35079,38153,40876,43298,45646,48178,50521,52168,53837,55313,56311,54486,48428,49391,50055,51003,51993,53605,54770,55872,58825,79836,82047,83915,86301,87438,88711,91146,95026,99390,99059,85895,89192.0,91386.0,92088.0,94433.0,96572.0,98295.0,100013.0,101668.0,103531.0,104938.0,106172.0,108034.0,110214.0,110935.0,112465.0,113951.0,115383.0,116672.0,118408.0,120264.0,121986.0,123333.0,124594.0,126472.0,128666.0,130410.0,133167.0,134861.0,137264.0,139683.0,
9,1064,841,giovinazzi,51,14,12,+2 Laps,8502,12339,15298,18145,21190,24205,26932,29826,33248,36425,39503,42574,44950,47594,50011,52458,54444,56353,57979,59031,57296,51334,52257,52831,54110,55256,60190,78244,79586,79238,81409,83595,90277,111273,111772,113114,114918,116863,118984,118152,103256,106582.0,110012.0,112369.0,114696.0,116713.0,118991.0,121423.0,126398.0,129144.0,132195.0,136422.0,140141.0,142776.0,144545.0,148678.0,153587.0,155400.0,157216.0,159185.0,161288.0,164566.0,166459.0,167890.0,169836.0,171422.0,172003.0,173026.0,174787.0,176583.0,,
10,1064,847,russell,3,17,6,Gearbox,9137,13527,16532,19503,22635,25960,28725,31575,34665,37955,41285,44390,47024,49613,52325,54698,56754,58690,60505,61729,59844,53789,54386,54912,56024,57298,61277,80077,80633,80010,82592,84361,87102,89011,90359,91497,93397,96227,100604,101075,86983,90253.0,94317.0,96387.0,98834.0,100977.0,103358.0,106277.0,109307.0,112111.0,114227.0,116149.0,118234.0,119457.0,120401.0,122451.0,124613.0,126771.0,129227.0,132282.0,135195.0,137462.0,140003.0,142746.0,145870.0,148730.0,153743.0,162050.0,212207.0,,,
11,1064,840,stroll,117,12,12,+2 Laps,9503,14005,17136,20006,23051,26583,29466,32275,35221,38513,41658,44943,47691,50231,52899,55420,57403,59347,61312,62610,60900,54869,55786,56202,57315,59267,63669,82279,82318,81337,83252,87060,88168,89979,91217,92546,94491,96960,101317,101744,87543,90831.0,95031.0,97150.0,99606.0,101809.0,104114.0,107066.0,109939.0,112778.0,115068.0,116987.0,119009.0,120174.0,121143.0,123178.0,125323.0,127401.0,129878.0,132957.0,135859.0,138223.0,140700.0,143307.0,147135.0,154214.0,156281.0,159493.0,163494.0,166128.0,,
12,1064,846,norris,1,10,11,+1 Lap,9750,14451,17916,21072,23887,27228,30305,33124,36522,39758,42716,45949,48837,51681,54223,56521,58667,60673,62457,63917,62250,56220,57124,57405,58057,59801,61614,62014,62251,61552,62576,64147,65777,67621,68795,70385,72562,77978,80423,79746,64768,70777.0,92547.0,92739.0,93507.0,93961.0,94744.0,95274.0,95882.0,96821.0,97598.0,98269.0,99577.0,99833.0,99506.0,100546.0,101977.0,103530.0,105056.0,106855.0,108430.0,109983.0,111020.0,112212.0,116469.0,118624.0,119945.0,121851.0,123237.0,124951.0,127086.0,
13,1064,852,tsunoda,213,19,131,Power Unit,10287,15042,18681,21781,24627,27837,31217,34161,37566,40832,44087,47247,50184,53002,55602,58235,60414,62570,64177,65564,63918,57987,60256,61318,62348,63746,65416,66476,67639,67877,73308,93975,95466,97610,100403,102736,105342,108453,111363,110882,96049,98896.0,101420.0,102709.0,104978.0,107142.0,109600.0,124830.0,,,,,,,,,,,,,,,,,,,,,,,,
