,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8,1053.0,830.0,max_verstappen,1.0,1.0,Finished,98603.0,247766.0,391013.0,531345.0,677036.0,817840.0,914143.0,1007068.0,1098021.0,1188151.0,1277319.0,1366133.0,1454252.0,1541992.0,1629051.0,1715648.0,1802253.0,1889255.0,1976323.0,2063420.0,2152046.0,2240303.0,2329835.0,2419629.0,2508596.0,2596778.0,2688514.0,2799766.0,2883935.0,2970368.0,3053322.0,3157537.0,3301588.0,5074328.0,5158071.0,5239077.0,5319430.0,5399156.0,5478735.0,5557670.0,5636456.0,5715136.0,5793665.0,5872068.0,5950352.0,6028363.0,6106524.0,6184611.0,6262782.0,6341358.0,6419516.0,6497479.0,6575416.0,6653182.0,6730985.0,6808894.0,6887290.0,6965322.0,7043315.0,7120839.0,7199100.0,7276626.0,7354598.0
1,1053.0,1.0,hamilton,2.0,1.0,Finished,102572.0,250969.0,392800.0,534460.0,679606.0,818224.0,917449.0,1012040.0,1103342.0,1193442.0,1282166.0,1370758.0,1459008.0,1547037.0,1634109.0,1720687.0,1808188.0,1894828.0,1981849.0,2068808.0,2157091.0,2246368.0,2334789.0,2422928.0,2511770.0,2598843.0,2685802.0,2776227.0,2889508.0,2972646.0,3139688.0,3307066.0,4897346.0,5076934.0,5165398.0,5248616.0,5329588.0,5411032.0,5490511.0,5569814.0,5649020.0,5727352.0,5806000.0,5884615.0,5963331.0,6041737.0,6120275.0,6199143.0,6278297.0,6356155.0,6434667.0,6513668.0,6592473.0,6671679.0,6749629.0,6828134.0,6906756.0,6985713.0,7064247.0,7140949.0,7219773.0,7298560.0,7376598.0
14,1053.0,844.0,leclerc,4.0,1.0,Finished,107198.0,252521.0,393583.0,536423.0,681912.0,818785.0,918370.0,1013218.0,1105729.0,1197408.0,1288114.0,1378382.0,1467822.0,1556911.0,1645717.0,1735288.0,1823425.0,1910965.0,1999057.0,2087583.0,2175207.0,2262257.0,2349467.0,2436257.0,2524567.0,2612621.0,2700158.0,2792625.0,2906478.0,2990797.0,3075192.0,3187047.0,3318891.0,5074989.0,5160383.0,5241892.0,5322699.0,5403138.0,5483568.0,5563080.0,5642641.0,5722087.0,5801486.0,5880723.0,5959942.0,6039312.0,6118250.0,6197395.0,6276420.0,6355238.0,6434022.0,6513116.0,6591855.0,6671165.0,6751181.0,6830151.0,6908773.0,6987449.0,7066138.0,7144517.0,7223092.0,7301553.0,7380177.0
5,1053.0,815.0,perez,11.0,1.0,Finished,107814.0,254041.0,394782.0,537675.0,682932.0,819276.0,921451.0,1019373.0,1113770.0,1206889.0,1298452.0,1388796.0,1478618.0,1568033.0,1656692.0,1744615.0,1832063.0,1920242.0,2007175.0,2093631.0,2181298.0,2268483.0,2356916.0,2447533.0,2537834.0,2626981.0,2714696.0,2807412.0,2934934.0,3018939.0,3111573.0,3241616.0,3360321.0,5075467.0,5161163.0,5242701.0,5323328.0,5426066.0,5507443.0,5587085.0,5666994.0,5746594.0,5825700.0,5906242.0,5987505.0,6068134.0,6150253.0,6229177.0,6307511.0,6385897.0,6464240.0,6543886.0,6624150.0,6704269.0,6784316.0,6864121.0,6943757.0,7023341.0,7103177.0,7183213.0,7262658.0,7342077.0,7421749.0
6,1053.0,817.0,ricciardo,6.0,1.0,Finished,112843.0,255431.0,396067.0,540998.0,685259.0,820120.0,923299.0,1022533.0,1118204.0,1211633.0,1304733.0,1396217.0,1487041.0,1577689.0,1667964.0,1757039.0,1848422.0,1937000.0,2025823.0,2114044.0,2202770.0,2292034.0,2381443.0,2470759.0,2560782.0,2652366.0,2746479.0,2866531.0,2952346.0,3036206.0,3134495.0,3251996.0,3374775.0,5076164.0,5163170.0,5245399.0,5326702.0,5407765.0,5488164.0,5568413.0,5648278.0,5729326.0,5809359.0,5889370.0,5969642.0,6049600.0,6129729.0,6209899.0,6290175.0,6369888.0,6449700.0,6529312.0,6609121.0,6688462.0,6768042.0,6847467.0,6926885.0,7006671.0,7086368.0,7166179.0,7246228.0,7325671.0,7405818.0
13,1053.0,842.0,gasly,7.0,1.0,Finished,114003.0,257033.0,397881.0,542578.0,686510.0,820351.0,925990.0,1024539.0,1124863.0,1222338.0,1321108.0,1418229.0,1519052.0,1619107.0,1740781.0,1830763.0,1921753.0,2010701.0,2100269.0,2189004.0,2279052.0,2367740.0,2457958.0,2548011.0,2637782.0,2734119.0,2854762.0,2943072.0,3027270.0,3122647.0,3247594.0,3367066.0,4921771.0,5079420.0,5168639.0,5252506.0,5334850.0,5417117.0,5498349.0,5579545.0,5659563.0,5739328.0,5819043.0,5899123.0,5979149.0,6058416.0,6137648.0,6216873.0,6296221.0,6375229.0,6454057.0,6533029.0,6612171.0,6691269.0,6770676.0,6849769.0,6931019.0,7010373.0,7089155.0,7168384.0,7248204.0,7327409.0,7407416.0
11,1053.0,840.0,stroll,8.0,1.0,Finished,115367.0,258722.0,399934.0,543846.0,687668.0,821138.0,926626.0,1027498.0,1125357.0,1222828.0,1318051.0,1411480.0,1503461.0,1594587.0,1685276.0,1775206.0,1864770.0,1954636.0,2043336.0,2131685.0,2221335.0,2311186.0,2401238.0,2491701.0,2582081.0,2671403.0,2764910.0,2880845.0,2970744.0,3055611.0,3161625.0,3302842.0,4886053.0,5076699.0,5164788.0,5247496.0,5328965.0,5410414.0,5494074.0,5574593.0,5655019.0,5735612.0,5815712.0,5895706.0,5975756.0,6055336.0,6135141.0,6214676.0,6294140.0,6373283.0,6452411.0,6531405.0,6610588.0,6689829.0,6769293.0,6848514.0,6927970.0,7007711.0,7087668.0,7167133.0,7247271.0,7326554.0,7406507.0
9,1053.0,832.0,sainz,5.0,1.0,Finished,117218.0,259765.0,401073.0,547519.0,689219.0,821602.0,926063.0,1026562.0,1123463.0,1219533.0,1310290.0,1399751.0,1498030.0,1587611.0,1676307.0,1765288.0,1853166.0,1941253.0,2029106.0,2117643.0,2206533.0,2295267.0,2383111.0,2471336.0,2561209.0,2648591.0,2740606.0,2855785.0,2941065.0,3024418.0,3117197.0,3245568.0,3363718.0,5075668.0,5162282.0,5243912.0,5324626.0,5405164.0,5485226.0,5565224.0,5644801.0,5724156.0,5803299.0,5882362.0,5961458.0,6040536.0,6119405.0,6198443.0,6277712.0,6357617.0,6436670.0,6515219.0,6594239.0,6673453.0,6752576.0,6831339.0,6910023.0,6988635.0,7067313.0,7145803.0,7224374.0,7303138.0,7381634.0
15,1053.0,846.0,norris,3.0,1.0,Finished,119977.0,262448.0,402291.0,549370.0,691354.0,821870.0,926298.0,1024687.0,1119585.0,1212614.0,1305585.0,1397067.0,1488985.0,1578704.0,1668817.0,1757781.0,1845727.0,1932828.0,2019877.0,2107296.0,2195284.0,2283822.0,2372730.0,2461322.0,2550479.0,2639530.0,2727845.0,2820049.0,2932786.0,3017773.0,3110984.0,3239244.0,3355477.0,5075304.0,5158922.0,5240722.0,5321470.0,5402048.0,5481994.0,5561739.0,5641125.0,5720716.0,5800200.0,5879552.0,5958940.0,6038145.0,6117124.0,6196108.0,6275133.0,6354207.0,6433045.0,6511995.0,6590782.0,6669835.0,6748552.0,6827308.0,6905961.0,6984912.0,7063571.0,7142913.0,7221470.0,7300041.0,7378300.0
7,1053.0,822.0,bottas,18.0,4.0,Collision,120892.0,263792.0,404517.0,550429.0,694359.0,822308.0,927137.0,1028738.0,1126041.0,1223777.0,1321330.0,1413716.0,1505254.0,1596378.0,1687152.0,1776412.0,1865858.0,1955789.0,2044633.0,2133144.0,2221922.0,2312046.0,2402114.0,2492593.0,2582888.0,2672503.0,2761487.0,2855154.0,2970460.0,3058945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
