,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1059,1,hamilton,131,2,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8791,11144,9314,7167,5769,597,838,465,717,772,1189,1582,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,2904.0
1,1059,830,max_verstappen,9,1,1,Finished,1480,1468,1263,1595,1454,1394,1620,1916,1770,1942,2179,2054,2339,2194,2980,2784,3104,22168,12241,10497,8703,6057,5043,0,0,0,0,0,0,0,0,16131,18160,16237,14230,12244,9689,8902,8417,7268,6664,5695,5147,5187,4774,4787,3983,3353,2594,1616,787,0,0.0
2,1059,822,bottas,131,4,1,Finished,1974,2537,2583,2780,2524,2341,2647,3113,3109,3349,3662,4496,5040,5286,5639,5483,25686,26886,13953,11921,10125,7804,6626,1310,1403,2138,2482,3116,3705,4585,5723,3921,3838,2874,2855,2401,1452,1664,2222,2778,3817,4246,4218,6287,7818,8992,8256,8935,11830,13110,13190,13901,14618.0
3,1059,815,perez,9,3,1,Finished,3398,4385,5158,5885,6334,6787,7248,7557,7594,7967,8293,8179,8439,8649,9625,10003,10441,10744,0,0,0,0,0,15452,19291,18417,17919,17936,17952,18036,18472,15640,15286,14447,15432,14753,13011,12515,12296,11469,11135,10649,10138,9889,9458,9789,9530,9661,11112,10744,9865,9261,8811.0
4,1059,832,sainz,6,11,1,Finished,3952,5873,7166,8559,9352,10401,11744,13602,15113,17047,18868,20704,23485,25618,27727,29372,51326,55281,44319,44392,44833,45430,47610,44623,47034,49137,51622,54157,55976,58021,60870,59913,60653,61529,62791,66079,68520,70754,72787,74391,76278,77654,78980,82336,84132,85932,86546,89042,90752,92401,93671,95554,99337.0
5,1059,842,gasly,213,7,1,Finished,5166,6943,8215,9422,10186,11431,12856,14640,16052,18613,20638,22490,24731,26790,29040,30672,53169,56105,45090,45004,45711,46032,48076,45048,47468,49604,52074,55177,57976,59982,61989,60613,61303,61971,63158,64231,64336,65648,67123,67724,68600,69228,69778,70471,71106,71961,72186,72227,72563,73147,73547,74550,76596.0
6,1059,844,leclerc,6,16,11,+1 Lap,5748,7872,8943,10367,11211,12441,14010,16395,17642,19599,21700,23485,25834,49023,51754,51397,51757,52233,41878,42129,43078,43404,44365,41554,44172,46891,49622,53896,57873,62523,66232,66559,68142,69443,71305,72098,72487,94802,99325,99090,99201,99281,99322,100158,103741,105284,109862,111358,112994,115376,116276,118017,
7,1059,4,alonso,214,8,1,Finished,5831,8576,9597,11403,12587,14404,15949,18093,19369,21393,25637,27356,31171,33381,35753,37801,40020,62607,54649,54501,54469,54149,55000,51686,53874,55420,56535,58896,60390,63180,65238,64107,64596,64484,64789,66232,66159,67490,69444,70465,71243,72058,72201,72437,73036,73482,73138,73229,73612,74449,74499,75383,77695.0
8,1059,817,ricciardo,1,6,1,Finished,6491,9358,10800,12232,13214,14852,16508,18595,20068,21805,23690,24880,26708,27972,30095,50726,53837,54111,43421,43273,43646,45014,46165,43218,45421,48278,50624,52154,53811,55641,57307,55711,56680,57298,57739,58339,58419,60200,61859,62827,64208,64998,66075,67358,68140,69256,70076,71004,71535,72193,72726,73784,75857.0
9,1059,846,norris,1,5,1,Finished,6677,10578,12191,14037,15028,16600,18269,20191,21281,23051,24494,25731,27691,29526,31287,33047,34415,35316,25292,26275,27284,27498,28791,46193,51741,52123,52653,55825,57107,58563,58982,56630,55686,55039,55388,55452,54922,55702,56752,57122,58547,59265,60340,61274,61858,62798,63322,63661,63939,64367,64020,63716,64032.0
10,1059,839,ocon,214,14,11,+1 Lap,7533,11827,13881,15739,17211,18960,20673,22727,24210,26411,28263,29813,32143,34412,36515,38724,40931,42697,34625,36754,38831,40519,42339,40376,43651,48074,53702,76988,82407,84450,85601,83776,83992,84287,84565,84894,84752,86479,88530,89757,91173,92708,94119,95578,98829,100304,102894,103866,104766,106464,108685,110260,
11,1059,20,vettel,117,9,1,Finished,7988,11337,13021,15057,16042,17731,19468,21295,22598,24309,26052,27682,29789,31320,32832,34188,35882,37103,27222,27709,28847,29157,30191,27548,30117,32134,34215,39997,42245,44554,47590,47576,49166,50009,50996,52026,72860,77254,78284,78600,79342,79491,79731,80619,81403,81657,81092,80557,80246,79915,79753,79162,79666.0
12,1059,841,giovinazzi,51,15,11,+1 Lap,8306,12268,14587,16374,17900,19813,21499,23613,25189,27183,29027,30567,33327,36631,38637,40631,43215,45157,36218,38325,40440,41920,43788,42685,46680,51046,54700,78451,83431,85169,87246,86086,86910,87273,88056,88193,88055,89412,91251,92341,93707,94939,96350,99448,101554,104471,105240,106402,107295,110040,113286,114739,
13,1059,8,raikkonen,51,17,11,+1 Lap,8727,12845,15291,16879,18837,20669,22564,24395,27157,29252,31483,33104,35326,37410,39328,42132,44752,46855,38125,39923,41832,44706,49166,47521,50795,54126,57600,61280,64087,67727,70956,72296,96855,99095,99052,101389,100693,101674,103347,105217,105938,106237,108559,109320,110129,110576,110931,111896,113609,116016,118010,119827,
14,1059,849,latifi,3,18,11,+1 Lap,9369,14183,16903,20763,22952,25281,27641,30162,31990,34258,35896,37228,40905,43802,46304,48511,50935,72799,65629,65863,66099,66503,67984,66283,68957,70932,73644,77356,80248,83434,87038,87652,89682,91067,92817,94279,94930,98901,103392,106678,109977,111130,112242,113838,115303,116612,117133,118304,118802,119169,119639,120594,
15,1059,840,stroll,117,10,1,Finished,10143,13565,15689,17408,19472,21271,23115,25103,26327,28238,29893,31105,33571,35458,37012,39245,41450,43083,33622,35269,36852,37771,39381,36903,39766,41919,43976,46882,49194,51662,54061,53531,54801,76862,80701,81268,81336,82404,83673,84710,85585,86143,87083,87501,87892,88214,87722,87552,87806,88307,89042,90011,91946.0
16,1059,847,russell,3,12,11,+1 Lap,10561,15213,18597,21540,23523,26197,28145,30789,32616,34897,36704,37762,39778,42296,44764,47053,68172,71084,60466,60813,61365,61411,62188,59767,62488,63997,65792,68416,70276,72404,74458,74243,75367,77098,78337,79548,80132,81822,85230,87151,88885,90534,92438,93819,94985,98029,99816,102228,103454,104086,104607,105192,
17,1059,852,tsunoda,213,13,11,+1 Lap,10939,14542,17384,19177,20624,22414,24261,26222,28149,30403,32486,34212,36774,39263,61114,66230,66990,66935,57709,58816,59135,59332,59847,56800,59113,60620,62675,65485,67485,70308,72547,72927,74620,75623,76671,77215,77554,79624,82048,83340,85027,87819,89804,91870,93921,95787,97227,101679,102993,105453,107843,109514,
