,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1059,1,hamilton,131,2,1,Finished,104859,204484,304260,403952,503501,602288,701492,800255,899523,998301,1097278,1196710,1295639,1394799,1494310,1593705,1692631,1791666,1910350,2012223,2109703,2207254,2304956,2402742,2500689,2598594,2696573,2794285,2892742,2990968,3089471,3187863,3286292,3384958,3483369,3581934,3681071,3778721,3876179,3974361,4072046,4169864,4267504,4364914,4462456,4560001,4658432,4756521,4854710,4952656,5050898,5149633,5248674.0
7,1059,830,max_verstappen,9,1,1,Finished,106339,205952,305523,405547,504955,603682,703112,802171,901293,1000243,1099457,1198764,1297978,1396993,1497290,1596489,1695735,1813834,1913800,2011576,2109092,2206144,2304230,2402145,2499851,2598129,2695856,2793513,2891553,2989386,3087230,3203994,3304452,3401195,3497599,3594178,3690760,3787623,3884596,3981629,4078710,4175559,4272651,4370101,4467230,4564788,4662415,4759874,4857304,4954272,5051685,5148627,5245770.0
6,1059,822,bottas,131,4,1,Finished,106833,207021,306843,406732,506025,604629,704139,803368,902632,1001650,1100940,1201206,1300679,1400085,1499949,1599188,1718317,1818552,1915512,2013000,2110514,2207891,2305813,2403455,2501254,2600267,2698338,2796629,2895258,2993971,3092953,3191784,3290130,3387832,3486224,3584335,3682523,3780385,3878401,3977139,4075863,4174110,4271722,4371201,4470274,4568993,4666688,4765456,4866540,4965766,5064088,5162528,5260388.0
4,1059,815,perez,9,3,1,Finished,108257,208869,309418,409837,509835,609075,708740,807812,907117,1006268,1105571,1204889,1304078,1403448,1503935,1603708,1703072,1802410,1901559,2001079,2100389,2200087,2299187,2417597,2519142,2616546,2713775,2811449,2909505,3007422,3105702,3203503,3301578,3399405,3498801,3596687,3694082,3791236,3888475,3985830,4083181,4180513,4277642,4374803,4471914,4569790,4667962,4766182,4865822,4963400,5060763,5157888,5254581.0
8,1059,832,sainz,6,11,1,Finished,108811,210357,311426,412511,512853,612689,713236,813857,914636,1015348,1116146,1217414,1319124,1420417,1522037,1623077,1743957,1846947,1945878,2045471,2145222,2245517,2346797,2446768,2546885,2647266,2747478,2847670,2947529,3047407,3148100,3247776,3346945,3446487,3546160,3648013,3749591,3849475,3948966,4048752,4148324,4247518,4346484,4447250,4546588,4645933,4744978,4845563,4945462,5045057,5144569,5244181,5345107.0
12,1059,842,gasly,213,7,1,Finished,110025,211427,312475,413374,513687,613719,714348,814895,915575,1016914,1117916,1219200,1320370,1421589,1523350,1624377,1745800,1847771,1946649,2046083,2146100,2246119,2347263,2447193,2547319,2647733,2747930,2848690,2949529,3049368,3149219,3248476,3347595,3446929,3546527,3646165,3745407,3844369,3943302,4042085,4140646,4239092,4337282,4435385,4533562,4631962,4730618,4828748,4927273,5025803,5124445,5223177,5322366.0
13,1059,844,leclerc,6,16,11,+1 Lap,110607,212356,313203,414319,514712,614729,715502,816650,917165,1017900,1118978,1220195,1321473,1443822,1546064,1645102,1744388,1843899,1943437,2043208,2143467,2243491,2343552,2443699,2544023,2645020,2745478,2847409,2949426,3051909,3153462,3254422,3354434,3454401,3554674,3654032,3753558,3873523,3975504,4073451,4171247,4269145,4366826,4465072,4566197,4665285,4768294,4867879,4967704,5068032,5167174,5266644,
1,1059,4,alonso,214,8,1,Finished,110690,213060,313857,415355,516088,616692,717441,818348,918892,1019694,1122915,1224066,1326810,1428180,1530063,1631506,1732651,1854273,1956208,2055580,2154858,2254236,2354187,2453831,2553725,2653549,2752391,2852409,2951943,3052566,3152468,3251970,3350888,3449442,3548158,3648166,3747230,3846211,3945623,4044826,4143289,4241922,4339705,4437351,4535492,4633483,4731570,4829750,4928322,5027105,5125397,5224010,5323465.0
5,1059,817,ricciardo,1,6,1,Finished,111350,213842,315060,416184,516715,617140,718000,818850,919591,1020106,1120968,1221590,1322347,1422771,1524405,1644431,1746468,1845777,1944980,2044352,2144035,2245101,2345352,2445363,2545272,2646407,2746480,2845667,2945364,3045027,3144537,3243574,3342972,3442256,3541108,3640273,3739490,3838921,3938038,4037188,4136254,4234862,4333579,4432272,4530596,4629257,4728508,4827525,4926245,5024849,5123624,5222411,5321627.0
14,1059,846,norris,1,5,1,Finished,111536,215062,316451,417989,518529,618888,719761,820446,920804,1021352,1121772,1222441,1323330,1424325,1525597,1626752,1727046,1826982,1926851,2027354,2127673,2227585,2327978,2448338,2551592,2650252,2748509,2849338,2948660,3047949,3146212,3244493,3341978,3439997,3538757,3637386,3735993,3834423,3932931,4031483,4130593,4229129,4327844,4426188,4524314,4622799,4721754,4820182,4918649,5017023,5114918,5212343,5309802.0
9,1059,839,ocon,214,14,11,+1 Lap,112392,216311,318141,419691,520712,621248,722165,822982,923733,1024712,1125541,1226523,1327782,1429211,1530825,1632429,1733562,1834363,1936184,2037833,2139220,2240606,2341526,2442521,2543502,2646203,2749558,2870501,2973960,3073836,3172831,3271639,3370284,3469245,3567934,3666828,3765823,3865200,3964709,4064118,4163219,4262572,4361623,4460492,4561285,4660305,4761326,4860387,4959476,5059120,5159583,5258887,
3,1059,20,vettel,117,9,1,Finished,112847,215821,317281,419009,519543,620019,720960,821550,922121,1022610,1123330,1224392,1325428,1426119,1527142,1627893,1728513,1828769,1928781,2028788,2129236,2229244,2329378,2429693,2529968,2630263,2730071,2833510,2933798,3033940,3134820,3235439,3335458,3434967,3534365,3633960,3753931,3855975,3954463,4052961,4151388,4249355,4347235,4445533,4543859,4641658,4739524,4837078,4934956,5032571,5130651,5227789,5325436.0
11,1059,841,giovinazzi,51,15,11,+1 Lap,113165,216752,318847,420326,521401,622101,722991,823868,924712,1025484,1126305,1227277,1328966,1431430,1532947,1634336,1735846,1836823,1937777,2039404,2140829,2242007,2342975,2444830,2546531,2649175,2750556,2871964,2974984,3074555,3174476,3273949,3373202,3472231,3571425,3670127,3769126,3868133,3967430,4066702,4165753,4264803,4363854,4464362,4564010,4664472,4763672,4862923,4962005,5062696,5164184,5263366,
2,1059,8,raikkonen,51,17,11,+1 Lap,113586,217329,319551,420831,522338,622957,724056,824650,926680,1027553,1128761,1229814,1330965,1432209,1533638,1635837,1737383,1838521,1939684,2041002,2142221,2244793,2348353,2449666,2550646,2652255,2753456,2854793,2955640,3057113,3158186,3260159,3383147,3484053,3582421,3683323,3781764,3880395,3979526,4079578,4177984,4276101,4376063,4474234,4572585,4670577,4769363,4868417,4968319,5068672,5168908,5268454,
16,1059,849,latifi,3,18,11,+1 Lap,114228,218667,321163,424715,526453,627569,729133,830417,931513,1032559,1133174,1233938,1336544,1438601,1540614,1642216,1743566,1864465,1967188,2066942,2166488,2266590,2367171,2468428,2568808,2669061,2769500,2870869,2971801,3072820,3174268,3275515,3375974,3476025,3576186,3676213,3776001,3877622,3979571,4081039,4182023,4280994,4379746,4478752,4577759,4676613,4775565,4874825,4973512,5071825,5170537,5269221,
10,1059,840,stroll,117,10,1,Finished,115002,218049,319949,421360,522973,623559,724607,825358,925850,1026539,1127171,1227815,1329210,1430257,1531322,1632950,1734081,1834749,1935181,2036348,2137241,2237858,2338568,2439048,2539617,2640048,2739832,2840395,2940747,3041048,3141291,3241394,3341093,3461820,3564070,3663202,3762407,3861125,3959852,4059071,4157631,4256007,4354587,4452415,4550348,4648215,4746154,4844073,4942516,5040963,5139940,5238638,5337716.0
