,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,1070,830,max_verstappen,9,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8244,8357,7555,7055,5597,4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,1070,1,hamilton,131,2,1,Finished,1778,1609,1838,921,1851,2470,2795,3010,3479,3440,3623,3870,4646,5469,5944,6444,6271,5874,6808,7712,7868,8482,8692,8331,8304,8659,8786,9178,13203,33287,31259,30254,25847,15789,15426,14670,14451,14480,13638,9496,9805,10192,10412,11021,11009,11512,12271,12133,12884,12468,12173,13398,13297,13880,14083,14672,15774,16362,16840,17176,17850,17730,17886,18512,19622,19139,16183,15504,16380.0,16285.0,16555.0
2,1070,815,perez,9,3,1,Finished,2795,2798,2869,1673,3243,3964,4672,5106,5821,6364,6795,7245,7556,7855,7928,8295,8500,8160,8855,9494,10021,10722,10787,10811,10713,10631,10534,10751,11840,12353,12464,13099,9432,0,0,0,0,0,0,145,19381,19015,19178,18534,18528,18297,19410,19405,18952,18263,17532,18423,17878,17715,17280,17252,17522,17834,17983,17976,18567,18763,19029,19720,21629,21262,18069,16849,17335.0,17104.0,17752.0
3,1070,842,gasly,213,4,1,Finished,4562,4575,4770,2244,4450,5739,6669,7871,9065,10020,10834,12102,13064,14149,15152,16417,17274,17509,18772,19694,20530,21691,22786,23735,24533,25168,25847,26887,28491,29190,32477,52197,47924,38284,38310,38376,39051,39071,38589,35666,36672,37717,38750,39848,40969,42019,43153,44087,45817,46815,47408,49532,50275,51173,51997,53001,53722,54679,55751,57449,58497,59077,60361,61762,63451,63658,61333,60864,62396.0,62860.0,63845.0
4,1070,844,leclerc,6,5,1,Finished,5898,7830,6537,2737,5347,7222,8744,10593,12068,13326,14568,15842,17135,18360,19289,20450,21080,21692,23287,24354,25270,25948,26674,27229,28427,29362,29998,30679,31591,36005,54499,54324,50730,41262,41635,41755,42964,42994,42613,39635,40609,41885,42967,44341,45943,47358,48760,50216,51922,52963,54065,57096,59053,61033,62170,63794,67525,69090,70119,71048,72450,73046,73886,75280,77266,78156,76108,76110,78035.0,79099.0,81037.0
5,1070,841,giovinazzi,51,11,11,+1 Lap,8255,9462,7712,3515,7206,9605,11673,13557,15522,17427,19484,21482,23542,25610,27580,33146,54591,55749,58605,61118,63256,65101,67157,68861,70855,72742,74888,77439,79641,83173,84180,85653,83736,75567,77272,78751,80599,83816,86130,84336,86568,88517,90697,94093,96407,98826,102787,104769,107196,108361,109953,112879,114626,116464,118308,120327,122193,124181,125870,127201,128740,130081,131959,134272,136794,138077,136663,137077,139409.0,141501.0,
6,1070,832,sainz,6,6,11,+1 Lap,9558,11545,10975,3831,6500,8170,9901,11550,13370,15201,16787,18286,19691,21226,22223,23440,24144,25058,26584,27554,28492,29012,29792,30303,31062,32048,32868,33493,34388,35552,35807,36257,32898,23820,24592,24796,25738,25765,25720,23256,25803,31191,51133,51914,52966,53769,54544,55468,56995,57184,57583,59511,60475,62723,63858,65162,66103,67257,67656,67818,68450,68513,68769,69304,70640,70950,68856,69765,79749.0,82932.0,
7,1070,20,vettel,117,7,11,+1 Lap,11095,12839,13241,4511,7772,10326,12255,14458,16336,18227,20523,22622,24641,26714,28573,30558,31275,32060,33713,34932,36168,37592,38531,39118,39890,41124,42235,44001,45497,46799,47151,48183,48635,57776,58064,58682,59446,59443,59162,56121,57509,58847,60410,61853,63474,64500,66076,66918,68323,68765,69498,71790,72552,73770,75216,76916,78296,82189,83848,85238,86372,86963,87744,88847,90653,91343,89153,89039,90514.0,90560.0,
8,1070,847,russell,3,16,12,+2 Laps,13896,15338,15888,5177,8730,11750,14770,17886,22085,26758,29891,32652,35269,38717,45718,65785,67146,68050,70104,71503,73210,74908,76630,78060,80006,83589,85485,87289,89338,91237,92210,96330,95134,87523,90769,92620,94892,98098,102335,103181,106576,109946,112805,115095,117939,120121,122351,124636,129733,131224,133400,137425,143547,146661,151597,155198,157953,162961,167749,172099,173828,176240,185116,188393,191616,193633,192623,194982,199718.0,,
9,1070,8,raikkonen,51,8,11,+1 Lap,15830,18669,18258,6017,9479,12424,15536,18505,20387,22195,24549,26714,28553,30323,31844,33724,34639,35411,37263,38807,39898,40972,41899,42596,43536,44389,45275,46232,47928,49352,50217,54093,69284,60494,61386,61930,63231,62914,62634,59870,61888,63332,64745,65964,67600,68835,70323,71526,73025,73437,74339,76686,77500,78641,82213,83590,84758,86184,87597,88718,89929,90467,91355,92481,94451,95528,93612,93642,95089.0,95661.0,
10,1070,853,mazepin,210,18,13,+3 Laps,18037,20230,20236,7004,11872,14705,17877,21288,24812,28308,33475,39850,47093,72986,75932,78856,81004,84427,88033,94590,98177,101454,104183,108719,114946,117605,120153,123590,126734,131447,137067,141272,140266,135294,138108,142926,147871,150219,151736,150975,155825,159565,165091,168998,175894,179565,184268,190855,195817,198854,204287,209202,215841,220279,224234,232197,237919,246282,270517,272573,273688,275427,278089,280557,283796,285951,285918,287593,,,
11,1070,4,alonso,214,9,11,+1 Lap,19704,21070,21298,7219,10086,13150,16623,19283,22572,24940,27322,29436,31295,33183,34923,36656,37717,38366,40065,41536,42982,44253,45562,46334,47442,48239,49064,50498,51851,53243,53769,56378,53358,44714,45947,46870,48457,49063,53262,70394,71418,73271,74217,74887,76542,77892,79520,82122,83398,83681,84089,85953,86610,87276,88260,89437,90940,92461,93273,94191,95163,95850,97226,102016,104028,104661,102553,102280,103761.0,104191.0,
12,1070,849,latifi,3,17,12,+2 Laps,21067,23420,22897,7901,12596,15676,19068,22371,26983,32627,40943,62706,67920,70537,73092,75728,77810,79714,84364,87075,91181,95379,97855,99774,102214,104217,106231,108221,113054,116529,119834,121969,120238,113093,115285,117219,123034,126806,128051,126674,129559,133592,136884,139509,142763,147849,153498,156943,163735,184345,185546,188791,190205,191791,193426,195063,196599,198627,200698,202259,203672,205027,206826,208690,211157,212400,210867,211884,214206.0,,
13,1070,839,ocon,214,13,11,+1 Lap,22839,24331,25188,8274,14168,17744,20796,23825,27669,31066,34048,37585,39812,45147,65370,67120,68747,69797,72074,73728,75142,76954,78539,79861,83191,84784,86732,88742,90856,92570,93638,96975,95895,88653,91580,93622,96799,98925,100471,98164,101743,103271,105400,106930,108856,111523,113178,114500,116909,117991,119687,122302,123816,125504,127151,129164,130782,132388,134221,135737,137385,138850,144584,146650,149126,150384,148649,149250,151281.0,153875.0,
14,1070,846,norris,1,10,11,+1 Lap,24304,27165,27775,8889,13119,16480,19867,22930,25833,28831,31338,33788,36028,39248,40849,42795,44143,45292,47189,48777,50159,51400,52584,53345,54457,55315,56329,57477,58911,60018,60337,61342,58775,50565,51636,52577,54148,54597,54893,52712,54783,56668,58599,63645,84636,85259,86051,86561,87673,87676,88399,90260,90835,91630,92585,93501,94426,95378,95954,96847,100975,101772,102853,104428,106143,107074,104608,104642,106066.0,106728.0,
15,1070,817,ricciardo,1,12,11,+1 Lap,24708,33139,32503,10849,16374,19308,22258,25035,29041,33703,38466,41177,44196,45717,48056,50045,51864,53456,56112,58480,60418,62314,64297,65719,68185,69921,71937,74042,76017,77761,78199,79756,77704,69607,71260,72502,74069,79017,98612,95330,96798,98663,101926,102985,104310,105288,106427,107284,109208,109772,110953,113785,115487,117381,119169,121197,123184,125396,127859,129422,130939,132111,133704,135792,138075,139372,137936,138405,140595.0,142391.0,
