,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
7,1070,830,max_verstappen,9,1,1,Finished,104815,236387,362671,490175,571790,653425,735047,816567,897618,978762,1059720,1140734,1221943,1303101,1384201,1465227,1546674,1628274,1708959,1790085,1871316,1952632,2034049,2115808,2197265,2278756,2360023,2441226,2522255,2603583,2685564,2766787,2851650,2950478,3031481,3111747,3192008,3272091,3352431,3432631,3512700,3592725,3672714,3753070,3832916,3913096,3993307,4073864,4153785,4234662,4315068,4394067,4474298,4554343,4634421,4714409,4794448,4874287,4954536,5034949,5115236,5195576,5275401,5355105,5434315,5514618,5597701,5678810,5758170.0,5838584.0,5919086.0
0,1070,1,hamilton,131,2,1,Finished,106593,237996,364509,491096,573641,655895,737842,819577,901097,982202,1063343,1144604,1226589,1308570,1390145,1471671,1552945,1634148,1715767,1797797,1879184,1961114,2042741,2124139,2205569,2287415,2368809,2450404,2535458,2636870,2716823,2797041,2877497,2958023,3038550,3118862,3199404,3280974,3361918,3442127,3522505,3602917,3683126,3764091,3843925,3924608,4005578,4085997,4166669,4247130,4327241,4407465,4487595,4568223,4648504,4729081,4810222,4890649,4971376,5052125,5133086,5213306,5293287,5373617,5453937,5533757,5613884,5694314,5774550.0,5854869.0,5935641.0
4,1070,815,perez,9,3,1,Finished,107610,239185,365540,491848,575033,657389,739719,821673,903439,985126,1066515,1147979,1229499,1310956,1392129,1473522,1555174,1636434,1717814,1799579,1881337,1963354,2044836,2126619,2207978,2289387,2370557,2451977,2534095,2615936,2698028,2779886,2861082,2942234,3023124,3104192,3184953,3266494,3348280,3432776,3532081,3611740,3691892,3771604,3851444,3931393,4012717,4093269,4172737,4252925,4332600,4412490,4492176,4572058,4651701,4731661,4811970,4892121,4972519,5052925,5133803,5214339,5294430,5374825,5455944,5535880,5615770,5695659,5775505.0,5855688.0,5936838.0
12,1070,842,gasly,213,4,1,Finished,109377,240962,367441,492419,576240,659164,741716,824438,906683,988782,1070554,1152836,1235007,1317250,1399353,1481644,1563948,1645783,1727731,1809779,1891846,1974323,2056835,2139543,2221798,2303924,2385870,2468113,2550746,2632773,2718041,2818984,2899574,2980518,3061434,3142568,3224004,3305565,3386869,3468297,3549372,3630442,3711464,3792918,3873885,3955115,4036460,4117951,4199602,4281477,4362476,4443599,4524573,4605516,4686418,4767410,4848170,4928966,5010287,5092398,5173733,5254653,5335762,5416867,5497766,5578276,5659034,5739674,5820566.0,5901444.0,5982931.0
13,1070,844,leclerc,6,5,1,Finished,110713,244217,369208,492912,577137,660647,743791,827160,909686,992088,1074288,1156576,1239078,1321461,1403490,1485677,1567754,1649966,1732246,1814439,1896586,1978580,2060723,2143037,2225692,2308118,2390021,2471905,2553846,2639588,2740063,2821111,2902380,2983496,3064759,3145947,3227917,3309488,3390893,3472266,3553309,3634610,3715681,3797411,3878859,3960454,4042067,4124080,4205707,4287625,4369133,4451163,4533351,4615376,4696591,4778203,4861973,4943377,5024655,5105997,5187686,5268622,5349287,5430385,5511581,5592774,5673809,5754920,5836205.0,5917683.0,6000123.0
11,1070,841,giovinazzi,51,11,11,+1 Lap,113070,245849,370383,493690,578996,663030,746720,830124,913140,996189,1079204,1162216,1245485,1328711,1411781,1498373,1601265,1684023,1767564,1851203,1934572,2017733,2101206,2184669,2268120,2351498,2434911,2518665,2601896,2686756,2769744,2852440,2935386,3017801,3100396,3182943,3265552,3350310,3434410,3516967,3599268,3681242,3763411,3847163,3929323,4011922,4096094,4178633,4260981,4343023,4425021,4506946,4588924,4670807,4752729,4834736,4916641,4998468,5080406,5162150,5243976,5325657,5407360,5489377,5571109,5652695,5734364,5815887,5897579.0,5980085.0,
8,1070,832,sainz,6,6,11,+1 Lap,114373,247932,373646,494006,578290,661595,744948,828117,910988,993963,1076507,1159020,1241634,1324327,1406424,1488667,1570818,1653332,1735543,1817639,1899808,1981644,2063841,2146111,2228327,2310804,2392891,2474719,2556643,2639135,2721371,2803044,2884548,2966054,3047716,3128988,3210691,3292259,3374000,3455887,3538503,3623916,3723847,3804984,3885882,3966865,4047851,4129332,4210780,4291846,4372651,4453578,4534773,4617066,4698279,4779571,4860551,4941544,5022192,5102767,5183686,5264089,5344170,5424409,5504955,5585568,5666557,5748575,5837919.0,5921516.0,
3,1070,20,vettel,117,7,11,+1 Lap,115910,249226,375912,494686,579562,663751,747302,831025,913954,996989,1080243,1163356,1246584,1329815,1412774,1495785,1577949,1660334,1742672,1825017,1907484,1990224,2072580,2154926,2237155,2319880,2402258,2485227,2567752,2650382,2732715,2814970,2900285,3000010,3081188,3162874,3244399,3325937,3407442,3488752,3570209,3651572,3733124,3814923,3896390,3977596,4059383,4140782,4222108,4303427,4384566,4465857,4546850,4628113,4709637,4791325,4872744,4956476,5038384,5120187,5201608,5282539,5363145,5443952,5524968,5605961,5686854,5767849,5848684.0,5929144.0,
15,1070,847,russell,3,16,12,+2 Laps,118711,251725,378559,495352,580520,665175,749817,834453,919703,1005520,1089611,1173386,1257212,1341818,1429919,1531012,1613820,1696324,1779063,1861588,1944526,2027540,2110679,2193868,2277271,2362345,2445508,2528515,2611593,2694820,2777774,2863117,2946784,3029757,3113893,3196812,3279845,3364592,3450615,3535812,3619276,3702671,3785519,3868165,3950855,4033217,4115658,4198500,4283518,4365886,4448468,4531492,4617845,4701004,4786018,4869607,4952401,5037248,5122285,5207048,5289064,5371816,5460517,5543498,5625931,5708251,5790324,5873792,5957888.0,,
2,1070,8,raikkonen,51,8,11,+1 Lap,120645,255056,380929,496192,581269,665849,750583,835072,918005,1000957,1084269,1167448,1250496,1333424,1416045,1498951,1581313,1663685,1746222,1828892,1911214,1993604,2075948,2158404,2240801,2323145,2405298,2487458,2570183,2652935,2735781,2820880,2920934,3002728,3084510,3166122,3248184,3329408,3410914,3492501,3574588,3656057,3737459,3819034,3900516,3981931,4063630,4145390,4226810,4308099,4389407,4470753,4551798,4632984,4716634,4797999,4879206,4960471,5042133,5123667,5205165,5286043,5366756,5447586,5528766,5610146,5691313,5772452,5853259.0,5934245.0,
17,1070,853,mazepin,210,18,13,+3 Laps,122852,256617,382907,497179,583662,668130,752924,837855,922430,1007070,1093195,1180584,1269036,1376087,1460133,1544083,1627678,1712701,1796992,1884675,1969493,2054086,2138232,2224527,2312211,2396361,2480176,2564816,2648989,2735030,2822631,2908059,2991916,3077528,3161232,3247118,3332824,3416713,3500016,3583606,3668525,3752290,3837805,3922068,4008810,4092661,4177575,4264719,4349602,4433516,4519355,4603269,4690139,4774622,4858655,4946606,5032367,5120569,5225053,5307522,5388924,5471003,5553490,5635662,5718111,5800569,5883619,5966403,,,
1,1070,4,alonso,214,9,11,+1 Lap,124519,257457,383969,497394,581876,666575,751670,835850,920190,1003702,1087042,1170170,1253238,1336284,1419124,1501883,1584391,1666640,1749024,1831621,1914298,1996885,2079611,2162142,2244707,2326995,2409087,2491724,2574106,2656826,2739333,2823165,2905008,2986948,3069071,3151062,3233410,3315557,3401542,3503025,3584118,3665996,3746931,3827957,3909458,3990988,4072827,4155986,4237183,4318343,4399157,4480020,4560908,4641619,4722681,4803846,4885388,4966748,5047809,5129140,5210399,5291426,5372627,5457121,5538343,5619279,5700254,5781090,5861931.0,5942775.0,
16,1070,849,latifi,3,17,12,+2 Laps,125882,259807,385568,498076,584386,669101,754115,838938,924601,1011389,1100663,1203440,1289863,1373638,1457293,1540955,1624484,1707988,1793323,1877160,1962497,2048011,2131904,2215582,2299479,2382973,2466254,2549447,2635309,2720112,2805398,2888756,2971888,3055327,3138409,3221411,3307987,3393300,3476331,3559305,3642259,3726317,3809598,3892579,3975679,4060945,4146805,4230807,4317520,4419007,4500614,4582858,4664503,4746134,4827847,4909472,4991047,5072914,5155234,5237208,5318908,5400603,5482227,5563795,5645472,5727018,5808568,5890694,5972376.0,,
9,1070,839,ocon,214,13,11,+1 Lap,127654,260718,387859,498449,585958,671169,755843,840392,925287,1009828,1093768,1178319,1261755,1348248,1449571,1532347,1615421,1698071,1781033,1863813,1946458,2029586,2112588,2195669,2280456,2363540,2446755,2529968,2613111,2696153,2779202,2863762,2947545,3030887,3114704,3197814,3281752,3365419,3448751,3530795,3614443,3695996,3778114,3860000,3941772,4024619,4106485,4188364,4270694,4352653,4434755,4516369,4598114,4679847,4761572,4843573,4925230,5006675,5088757,5170686,5252621,5334426,5419985,5501755,5583441,5665002,5746350,5828060,5909451.0,5992459.0,
14,1070,846,norris,1,10,11,+1 Lap,129119,263552,390446,499064,584909,669905,754914,839497,923451,1007593,1091058,1174522,1257971,1342349,1425050,1508022,1590817,1673566,1756148,1838862,1921475,2004032,2086633,2169153,2251722,2334071,2416352,2498703,2581166,2663601,2745901,2828129,2910425,2992799,3074760,3156769,3239101,3321091,3403173,3485343,3567483,3649393,3731313,3816715,3917552,3998355,4079358,4160425,4241458,4322338,4403467,4484327,4565133,4645973,4727006,4807910,4888874,4969665,5050490,5131796,5216211,5297348,5378254,5459533,5540458,5621692,5702309,5783452,5864236.0,5945312.0,
