,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1051,1,hamilton,131,1,1,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1051,4,alonso,214,3,1,Finished,1853,2228,2059,4264,6663,9163,12028,14643,17249,19962,22404,24744,27074,29055,30804,32520,34304,16737,11480,12860,13333,14350,36088,43243,44786,46304,48208,49214,52220,53790,54445,55484,61007,62427,63894,65401,66874,67833,68597,69106,69522,49432,45045,45863,47535,48724,50075,50794,51154.0,53424.0,55138.0,56969.0,57993.0,64073.0,76642.0,63566.0,59457.0
2,1051,842,gasly,213,11,11,+1 Lap,2843,3102,3413,5866,8130,10813,13829,16847,19681,22829,25464,29971,54689,62047,64086,65588,68481,51366,45870,47156,48126,49605,50952,52177,54098,56092,57296,58294,59860,61387,62181,63847,66826,69079,92926,99748,100292,100662,101567,102538,103443,84228,79687,80435,82288,83264,84462,86477,88222.0,90633.0,93397.0,95472.0,98216.0,112940.0,125442.0,103636.0,
3,1051,830,max_verstappen,9,2,1,Finished,3532,3906,3411,4440,3791,3887,4749,4729,5060,5536,5771,6222,6572,6965,7467,8258,29310,14523,8354,8609,8367,8614,8343,7560,7801,7881,7441,6980,7365,6794,6479,6329,7193,7175,7652,8285,8405,8524,8712,9010,29530,14001,8447,8699,9332,8319,8803,9060,8521.0,9428.0,9454.0,9721.0,9853.0,7490.0,27834.0,34994.0,25743.0
4,1051,846,norris,1,9,11,+1 Lap,4375,5149,5190,7031,9054,11792,14825,17676,20114,23428,25767,28103,29826,31823,34393,38154,40773,23118,18569,20537,22487,25039,28693,30590,52265,60488,62407,64272,66055,67139,67318,68278,70266,71312,72859,73872,75291,75630,75899,76131,76463,56608,51407,52618,54813,56268,57743,59250,83586.0,90978.0,90746.0,90863.0,91222.0,102820.0,115002.0,93162.0,
5,1051,839,ocon,214,5,1,Finished,5171,6100,6194,8069,10407,12786,16265,19252,23163,26434,29325,31974,34855,36799,38681,41096,44391,26833,22719,25049,27058,29965,32203,54733,60949,62836,63823,65157,67019,68659,69225,70451,72487,73772,75705,77168,79064,80679,81850,82665,83626,64269,59790,60974,63700,64718,67824,69270,70423.0,73265.0,75182.0,77378.0,78725.0,89762.0,102590.0,85082.0,80570.0
6,1051,832,sainz,6,7,1,Finished,6044,7238,7722,9942,11870,14306,17280,21369,24522,27610,30135,32582,35619,38026,41100,43608,46141,28659,24388,26688,28646,31334,33744,35700,38113,40327,62639,69923,72252,74078,75249,76839,79430,80777,82544,84577,88348,89819,90854,91277,92054,72697,67557,68057,69561,70088,71029,71984,72833.0,75287.0,76767.0,79101.0,80546.0,94395.0,105713.0,86610.0,81911.0
7,1051,852,tsunoda,213,13,11,+1 Lap,6622,8241,8877,11572,15225,18403,22278,26206,52184,60459,62775,64566,66688,68990,71132,73252,75888,58303,54321,57150,59277,61840,63536,65245,67678,69726,71232,73048,75439,77297,78563,80490,83249,106426,114502,116155,118974,120913,122232,123524,125467,107254,103677,105161,107642,109022,110686,112683,113374.0,115333.0,116594.0,118099.0,120068.0,140137.0,147948.0,126373.0,
8,1051,815,perez,9,4,1,Finished,7422,9120,9659,11951,12928,14544,17459,19418,21124,24325,26874,30071,31140,32465,34661,35703,37297,18869,33807,39778,40188,42234,42546,44867,45467,46822,48921,49626,50689,51511,51241,51824,55421,56916,57909,58933,60616,61357,62685,63212,84554,68920,62619,63364,64951,65094,65560,65990,65104.0,66329.0,66304.0,66358.0,66241.0,73123.0,83335.0,68286.0,62306.0
9,1051,840,stroll,117,6,1,Finished,7536,9610,10202,12681,15592,18753,22619,26469,28474,31329,32804,34568,36956,39452,41809,44349,46808,29567,25058,27404,29732,32456,55916,61547,63153,64732,66003,67270,69029,70557,71384,72758,75076,75971,77329,78704,80190,81857,83042,83977,85035,65869,61452,62447,64756,67396,69384,71093,72148.0,74501.0,76163.0,78169.0,79666.0,90526.0,103627.0,85938.0,81274.0
