,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,alonso,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,6,6,4,4,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,gasly,3,3,4,4,4,4,4,4,4,4,4,5,17,17,16,16,15,13,13,13,13,13,12,11,11,8,6,6,6,6,6,6,5,5,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,0
3,max_verstappen,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,norris,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,10,9,7,7,7,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,9,11,10,10,10,9,9,9,0
5,ocon,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,5,12,12,10,9,8,8,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5
6,sainz,7,7,7,7,7,7,7,8,8,8,8,8,7,7,8,8,8,8,7,7,7,7,6,5,4,4,8,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
7,tsunoda,8,8,8,8,9,9,9,9,19,19,18,18,18,18,17,17,16,15,15,15,15,14,14,14,14,12,11,11,11,11,11,11,10,13,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,0
8,perez,9,9,9,9,8,8,8,7,6,6,6,6,5,5,5,4,4,4,11,12,12,12,10,9,7,7,5,5,4,4,4,4,3,3,3,3,3,3,3,3,6,7,7,7,7,6,5,5,4,4,4,4,4,4,4,4,4
9,stroll,10,10,10,10,10,10,10,10,9,10,10,10,9,9,9,9,9,9,8,8,8,8,13,13,13,11,10,9,9,9,9,9,8,8,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6
10,bottas,11,11,11,11,11,11,11,11,10,9,9,9,8,8,7,7,6,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,13,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0
11,raikkonen,12,12,12,12,12,13,13,13,12,18,19,19,19,19,18,18,17,16,16,16,16,15,15,15,15,14,13,12,12,18,19,19,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,0
12,leclerc,13,13,13,13,13,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,9,8,6,5,5,12,13,13,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
13,giovinazzi,14,14,14,14,14,14,14,15,14,13,13,13,12,12,19,19,18,17,17,17,17,16,16,16,16,16,14,14,15,14,14,17,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,16,15,15,15,15,15,15,15,0
14,russell,15,15,15,15,15,15,16,16,15,14,14,14,13,14,13,13,19,19,18,18,18,17,17,17,17,17,17,17,17,16,16,15,15,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,18,18,17,17,17,17,17,0,0
15,ricciardo,16,16,16,16,16,16,15,14,13,12,12,12,11,11,11,11,11,11,10,10,10,10,9,8,8,13,15,16,16,15,15,14,14,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,0
16,vettel,17,17,17,17,17,17,17,17,16,15,15,15,14,13,12,12,12,12,12,11,11,11,11,10,9,15,16,15,14,13,13,13,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,0
17,mick_schumacher,18,18,19,19,19,19,19,19,18,17,17,17,16,16,15,15,14,14,14,14,14,19,19,19,19,19,19,19,19,19,18,18,17,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,17,17,16,16,16,16,16,16,0
18,latifi,19,19,18,18,18,18,18,18,17,16,16,16,15,15,14,14,13,18,19,19,19,18,18,18,18,18,18,18,18,17,17,16,16,16,15,15,15,15,16,16,16,17,17,17,17,17,17,17,15,16,0,0,0,0,0,0,0
