,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
8,1066,832,sainz,6,3,1,Finished,102997,205073,306741,408274,509670,611404,713695,816139,918565,1020901,1123467,1226277,1330148,1438371,1560339,1661199,1762317,1862994,1963791,2064732,2165974,2267213,2368485,2469888,2571290,2672646,2773393,2874185,2975513,3077159,3178543,3280031,3381363.0,3481416.0,3580973.0,3680873.0,3780264.0,3879910.0,3979356.0,4078650.0,4178315.0,4278040.0,4377568.0,4477120.0,4577125.0,4677828.0,4786074.0,4918944.0,5049353.0,5162638.0,5276270.0,5389990.0,5503476.0
14,1066,846,norris,1,7,1,Finished,104272,206476,308173,410013,511752,613635,715439,817194,919396,1021674,1125127,1227685,1328827,1430358,1531719,1632894,1733723,1834586,1935435,2036301,2136990,2237896,2338684,2439322,2540379,2641497,2742430,2848052,2967491,3066133,3165022,3263810,3363268.0,3461917.0,3560714.0,3659788.0,3758698.0,3856816.0,3954239.0,4052073.0,4149986.0,4247859.0,4345614.0,4443454.0,4541521.0,4640641.0,4743424.0,4858063.0,4970848.0,5088350.0,5279431.0,5415808.0,5528225.0
15,1066,847,russell,3,10,1,Finished,106318,209113,311995,414785,517442,619704,721710,823753,925828,1028025,1130285,1232566,1339421,1461970,1563738,1665084,1766461,1867900,1969815,2071423,2172628,2274242,2375874,2477239,2578611,2680858,2782714,2884568,2985574,3086443,3187182,3287913,3388598.0,3489271.0,3589998.0,3690787.0,3791491.0,3892090.0,3992750.0,4093346.0,4194150.0,4296358.0,4397239.0,4498341.0,4599432.0,4702626.0,4821278.0,4953823.0,5068421.0,5186261.0,5306232.0,5424452.0,5541552.0
10,1066,840,stroll,117,11,1,Finished,107279,210011,312720,415568,518196,620522,722622,824686,926685,1028966,1131189,1237817,1359209,1460002,1562197,1663255,1764580,1865680,1966713,2067850,2169010,2269974,2370837,2471799,2572876,2673893,2775508,2876472,2977912,3078529,3180763,3282375,3383590.0,3484473.0,3584937.0,3685471.0,3786863.0,3887929.0,3988769.0,4089345.0,4189853.0,4290837.0,4391897.0,4493873.0,4595562.0,4697722.0,4810645.0,4945907.0,5091989.0,5210032.0,5324111.0,5435756.0,5547199.0
5,1066,817,ricciardo,1,4,1,Finished,108221,211056,313471,416212,518894,621295,723466,825518,927463,1029761,1131994,1234209,1336318,1437965,1539484,1641054,1742602,1844016,1945720,2047509,2149224,2255424,2380514,2479638,2579234,2679154,2779362,2878842,2978629,3079239,3179549,3280647,3382179.0,3482498.0,3582259.0,3682194.0,3782041.0,3881644.0,3981327.0,4081049.0,4181099.0,4280402.0,4379883.0,4481994.0,4582293.0,4682974.0,4790397.0,4920493.0,5052996.0,5166439.0,5282042.0,5394148.0,5506608.0
1,1066,4,alonso,214,6,1,Finished,109347,213629,317282,419724,522321,624703,727051,830063,931825,1033988,1136047,1237958,1339944,1441792,1543525,1644899,1746311,1847752,1949198,2050890,2151990,2253533,2354515,2455462,2556298,2656739,2757053,2857330,2957428,3057374,3157727,3258106,3358410.0,3459002.0,3559132.0,3664499.0,3785176.0,3885398.0,3986328.0,4086822.0,4186831.0,4286134.0,4385579.0,4484265.0,4583485.0,4684158.0,4789251.0,4908670.0,5020733.0,5160111.0,5298657.0,5409883.0,5522322.0
0,1066,1,hamilton,131,1,1,Finished,109826,211860,313960,416694,519412,621826,724126,826202,928336,1030547,1132895,1235158,1337111,1439053,1540487,1641978,1743530,1845008,1946650,2048449,2150236,2251617,2351898,2451806,2551857,2657608,2776616,2877087,2975931,3074175,3172184,3270318,3368634.0,3466641.0,3564841.0,3663114.0,3760884.0,3858573.0,3956292.0,4053900.0,4151732.0,4249410.0,4346985.0,4444774.0,4542866.0,4641808.0,4744420.0,4860150.0,4977029.0,5103345.0,5216877.0,5329536.0,5441001.0
4,1066,815,perez,9,9,1,Finished,110617,214470,316098,417879,520115,622589,724835,826907,929116,1031278,1133502,1236023,1338103,1439921,1541743,1643115,1744515,1846013,1947650,2049358,2150973,2252603,2353274,2453799,2554046,2654301,2753848,2853736,2953252,3052799,3152159,3251777,3351333.0,3450958.0,3551342.0,3657150.0,3783062.0,3882522.0,3982153.0,4081846.0,4182042.0,4281260.0,4380735.0,4480813.0,4580028.0,4679396.0,4784316.0,4907450.0,5021575.0,5163909.0,5303076.0,5417951.0,5531077.0
9,1066,839,ocon,214,14,11,+1 Lap,111098,215393,318344,420800,523553,626188,728488,831145,933583,1035838,1138064,1240398,1342641,1444919,1551650,1673429,1774308,1875258,1976033,2077233,2178242,2278979,2379965,2481661,2582365,2683261,2785033,2886062,2986871,3087800,3188595,3289528,3390335.0,3490933.0,3591719.0,3692501.0,3793215.0,3894021.0,3994630.0,4096160.0,4197065.0,4298426.0,4399278.0,4500780.0,4602213.0,4704360.0,4817196.0,4938922.0,5059262.0,5244773.0,5380134.0,5490744.0,
2,1066,8,raikkonen,51,8,1,Finished,111778,216372,319312,421675,524665,627267,729718,832128,934726,1037077,1139373,1241651,1343946,1446452,1553177,1675801,1777005,1878320,1979276,2080598,2181421,2282422,2383739,2484047,2584873,2686059,2787450,2888352,2989347,3089910,3190663,3291294,3391980.0,3492269.0,3592739.0,3693327.0,3794158.0,3894935.0,3995438.0,4097093.0,4197909.0,4299192.0,4401500.0,4502573.0,4603653.0,4705457.0,4823908.0,4954315.0,5068934.0,5184551.0,5301068.0,5415357.0,5529956.0
