,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1072,1,hamilton,131,1,1,Finished,95234,189254,283036,376828,470225,563485,657205,750419,843569.0,965612.0,1146181.0,1314246.0,1489751.0,2684608.0,2899510.0,4197214.0,4354761.0,4447817.0,4540791.0,4633323.0,4725453.0,4818127.0,4918797.0,5035438.0,5126940.0,5218749.0,5311418.0,5415647.0,5518831.0,5645859.0,5773261.0,5899582.0,5996819.0,6088230.0,6179429.0,6282524.0,6379580.0,6471649.0,6563198.0,6654734.0,6745823.0,6837787.0,6929683.0,7021021.0,7111875.0,7203485.0,7294219.0,7385807.0,7479514.0,7575118.0
6,1072,822,bottas,131,3,1,Finished,96272,190320,284458,378043,471719,565184,658823,752478,846179.0,973619.0,1147594.0,1315366.0,1492303.0,2686270.0,2904417.0,4208289.0,4357023.0,4451817.0,4545958.0,4639447.0,4733355.0,4826643.0,4933668.0,5045681.0,5138980.0,5233433.0,5335645.0,5433015.0,5546126.0,5672723.0,5799656.0,5925963.0,6019087.0,6111689.0,6210993.0,6308311.0,6401750.0,6495272.0,6590159.0,6682885.0,6774993.0,6866818.0,6958495.0,7050088.0,7141822.0,7233619.0,7325027.0,7417532.0,7510002.0,7602649.0
7,1072,830,max_verstappen,9,2,1,Finished,96916,191254,285637,379291,473014,566692,660292,753895,847468.0,971698.0,1143735.0,1311017.0,1485898.0,2676073.0,2893179.0,4201048.0,4353251.0,4446676.0,4539388.0,4632152.0,4724640.0,4816844.0,4915318.0,5034166.0,5125951.0,5218130.0,5310013.0,5414712.0,5516439.0,5644125.0,5772386.0,5897362.0,5995534.0,6087025.0,6178513.0,6282235.0,6377912.0,6469595.0,6561151.0,6652718.0,6744302.0,6837393.0,6930396.0,7023102.0,7115845.0,7208158.0,7300924.0,7393753.0,7487911.0,7581943.0
13,1072,844,leclerc,6,7,1,Finished,98491,193497,287994,382408,476558,570744,664899,758875,852838.0,978134.0,1152649.0,1321040.0,1500230.0,2694628.0,2907670.0,4214823.0,4360142.0,4456625.0,4551697.0,4646538.0,4741109.0,4835714.0,4949030.0,5062119.0,5155761.0,5248847.0,5356780.0,5451654.0,5571095.0,5698892.0,5826556.0,5944585.0,6037289.0,6129546.0,6235582.0,6328791.0,6420857.0,6513602.0,6605630.0,6697775.0,6789658.0,6881752.0,6974147.0,7065857.0,7157602.0,7249203.0,7341454.0,7434170.0,7526162.0,7619593.0
4,1072,815,perez,9,17,4,Collision,99056,194359,288820,383294,477650,571821,666972,761393,855531.0,981371.0,1157426.0,1323899.0,1504750.0,2702409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1072,846,norris,1,10,1,Finished,100157,196024,291624,387009,482355,577688,673235,768549,864343.0,991204.0,1168829.0,1332902.0,1519280.0,2719071.0,2933986.0,4241948.0,4363144.0,4460329.0,4556385.0,4651578.0,4747082.0,4841857.0,4958912.0,5065992.0,5162027.0,5258344.0,5369162.0,5462160.0,5584282.0,5711873.0,5839467.0,5954146.0,6047079.0,6139907.0,6250906.0,6344581.0,6437730.0,6530232.0,6622537.0,6714672.0,6807115.0,6899717.0,6991719.0,7084064.0,7176262.0,7268297.0,7360325.0,7452588.0,7544502.0,7636476.0
9,1072,839,ocon,214,4,1,Finished,101170,197378,293033,388620,483947,579321,674789,770066,865308.0,990322.0,1149153.0,1317307.0,1493970.0,2688226.0,2895118.0,4190284.0,4354551.0,4449682.0,4543568.0,4637270.0,4730850.0,4824499.0,4930909.0,5044100.0,5137197.0,5230314.0,5329176.0,5428317.0,5539532.0,5666931.0,5794028.0,5920237.0,6015101.0,6108760.0,6208971.0,6307162.0,6399762.0,6492429.0,6584955.0,6677793.0,6770391.0,6862946.0,6955493.0,7048055.0,7140298.0,7232710.0,7324507.0,7417041.0,7509528.0,7602751.0
12,1072,842,gasly,213,6,1,Finished,101926,198418,294290,389780,485211,580487,676293,773102,868359.0,992643.0,1156339.0,1323088.0,1502661.0,2698812.0,2906035.0,4212191.0,4357863.0,4453552.0,4548050.0,4642312.0,4736399.0,4830531.0,4939036.0,5049044.0,5143232.0,5237189.0,5340240.0,5438274.0,5552798.0,5679962.0,5807269.0,5932437.0,6026777.0,6120265.0,6221999.0,6318761.0,6411642.0,6504846.0,6597611.0,6690431.0,6783253.0,6875802.0,6968660.0,7061127.0,7153510.0,7245807.0,7338230.0,7430741.0,7523723.0,7616731.0
5,1072,817,ricciardo,1,5,1,Finished,102224,199411,295290,390614,485996,580914,676467,771548,866463.0,991227.0,1150577.0,1319492.0,1498794.0,2691944.0,2902687.0,4205510.0,4356347.0,4450911.0,4544898.0,4638487.0,4732451.0,4825956.0,4931560.0,5045082.0,5138566.0,5232062.0,5332890.0,5430196.0,5542650.0,5669901.0,5796896.0,5923821.0,6017292.0,6110735.0,6209956.0,6307903.0,6401240.0,6495257.0,6589937.0,6684510.0,6777757.0,6870881.0,6963597.0,7056575.0,7149532.0,7242320.0,7335097.0,7427989.0,7521089.0,7615239.0
11,1072,841,giovinazzi,51,9,1,Finished,103867,201215,297154,392791,488235,584046,680115,775589,871262.0,998397.0,1160359.0,1325981.0,1508111.0,2705553.0,2911368.0,4216269.0,4358949.0,4454423.0,4549333.0,4643595.0,4737911.0,4832227.0,4942201.0,5051816.0,5145464.0,5239724.0,5345574.0,5443431.0,5560063.0,5686602.0,5813801.0,5938922.0,6032691.0,6126048.0,6230457.0,6326377.0,6419242.0,6513497.0,6607815.0,6701190.0,6794327.0,6887460.0,6980691.0,7074003.0,7167351.0,7260620.0,7353967.0,7446852.0,7540019.0,7633623.0
