,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
7,1058,830,max_verstappen,9,1,1,Finished,72767,142798.0,212632.0,282238.0,351904.0,421759.0,491631.0,561516.0,631263.0,701150.0,771051.0,840939.0,910686.0,980297.0,1050010.0,1119662.0,1189399.0,1259224.0,1329238.0,1399136.0,1468721.0,1538285.0,1608045.0,1677975.0,1747915.0,1817767.0,1887619.0,1957876.0,2031330.0,2117211.0,2186252.0,2255418.0,2324410.0,2393192.0,2461862.0,2530593.0,2599304.0,2667973.0,2736765.0,2805306.0,2873900.0,2942345.0,3011106.0,3079505.0,3148028.0,3216619.0,3285078.0,3353788.0,3422730.0,3491266.0,3559994.0,3628720.0,3697890.0,3766715.0,3835410.0,3904259.0,3973046.0,4041655.0,4110464.0,4179217.0,4247959.0,4317107.0,4385988.0,4454966.0,4523807.0,4592579.0,4661861.0,4729878.0,4799045.0,4868346.0,4938925.0
0,1058,1,hamilton,131,2,1,Finished,73718,144229.0,214274.0,284219.0,354084.0,424512.0,494358.0,564279.0,634202.0,703954.0,774033.0,843828.0,913523.0,983216.0,1053295.0,1123233.0,1193125.0,1263337.0,1333604.0,1403470.0,1473083.0,1542960.0,1612727.0,1682631.0,1753225.0,1822860.0,1893094.0,1966623.0,2052606.0,2121672.0,2190817.0,2260104.0,2328466.0,2397598.0,2466308.0,2534785.0,2603302.0,2672066.0,2740988.0,2809780.0,2878333.0,2946815.0,3015695.0,3084328.0,3153693.0,3222457.0,3291294.0,3360182.0,3429116.0,3497817.0,3567298.0,3636290.0,3705553.0,3774733.0,3843756.0,3912725.0,3981726.0,4051150.0,4120358.0,4189752.0,4259052.0,4328639.0,4398051.0,4467434.0,4538036.0,4607823.0,4677588.0,4747042.0,4820219.0,4907610.0,4974668.0
14,1058,846,norris,1,5,11,+1 Lap,74772,145885.0,216653.0,287384.0,358026.0,428997.0,499984.0,571187.0,642333.0,715115.0,788100.0,859754.0,930963.0,1002090.0,1073100.0,1144146.0,1214978.0,1285895.0,1356628.0,1427542.0,1498400.0,1569124.0,1639913.0,1710739.0,1781646.0,1852579.0,1923444.0,1994336.0,2065432.0,2136500.0,2211170.0,2300335.0,2371293.0,2441309.0,2511042.0,2580792.0,2650529.0,2720287.0,2790082.0,2859824.0,2929739.0,2999763.0,3069524.0,3139552.0,3209538.0,3279397.0,3348731.0,3418224.0,3488002.0,3557361.0,3626788.0,3696349.0,3765634.0,3836827.0,3906440.0,3975647.0,4044853.0,4114024.0,4183339.0,4252563.0,4321897.0,4391058.0,4460115.0,4529247.0,4598150.0,4667195.0,4736370.0,4805881.0,4875199.0,4944281.0,
4,1058,815,perez,9,4,1,Finished,75588,146724.0,217615.0,288132.0,358968.0,429785.0,500698.0,571993.0,643134.0,713910.0,784636.0,854907.0,924970.0,995204.0,1065267.0,1135516.0,1205745.0,1275952.0,1346301.0,1416755.0,1487110.0,1557328.0,1627507.0,1698105.0,1768909.0,1843986.0,1932265.0,2001916.0,2071518.0,2141137.0,2210804.0,2280001.0,2349594.0,2418768.0,2488052.0,2557165.0,2626194.0,2695016.0,2764025.0,2832967.0,2901833.0,2970535.0,3039347.0,3108207.0,3177133.0,3246314.0,3315482.0,3384677.0,3453758.0,3522985.0,3592379.0,3661820.0,3731385.0,3804615.0,3889097.0,3957146.0,4025040.0,4093243.0,4161735.0,4230302.0,4299644.0,4367631.0,4436372.0,4504889.0,4574212.0,4642795.0,4711735.0,4780017.0,4848602.0,4917487.0,4986359.0
6,1058,822,bottas,131,3,1,Finished,76145,147779.0,219173.0,289728.0,360269.0,431204.0,502433.0,573316.0,644297.0,715722.0,786936.0,857860.0,928492.0,998614.0,1068680.0,1138843.0,1209214.0,1279533.0,1349905.0,1420097.0,1490018.0,1559864.0,1630226.0,1700496.0,1770695.0,1841256.0,1913913.0,2000692.0,2069763.0,2139126.0,2208363.0,2277640.0,2346422.0,2415548.0,2485140.0,2554296.0,2623641.0,2692517.0,2761316.0,2830088.0,2898992.0,2967866.0,3036485.0,3105589.0,3175049.0,3244399.0,3314002.0,3383062.0,3452166.0,3521420.0,3590770.0,3660098.0,3729703.0,3799200.0,3868812.0,3938341.0,4008894.0,4078756.0,4148384.0,4217943.0,4287660.0,4357400.0,4426924.0,4496322.0,4566146.0,4635853.0,4705704.0,4775989.0,4846225.0,4916139.0,4985832.0
10,1058,840,stroll,117,8,11,+1 Lap,77559,149304.0,220790.0,292098.0,363304.0,434555.0,506205.0,577758.0,649218.0,720602.0,792505.0,864827.0,936735.0,1008541.0,1080184.0,1151751.0,1223365.0,1295014.0,1366650.0,1438100.0,1509668.0,1581069.0,1652391.0,1723638.0,1794993.0,1866662.0,1938167.0,2012798.0,2099275.0,2169684.0,2239872.0,2309659.0,2379812.0,2450112.0,2520622.0,2590884.0,2660765.0,2731013.0,2800979.0,2871035.0,2941100.0,3012635.0,3082446.0,3154634.0,3224995.0,3295103.0,3365210.0,3435295.0,3505686.0,3575645.0,3645771.0,3716006.0,3786056.0,3856321.0,3926232.0,3996135.0,4066012.0,4135998.0,4207088.0,4277453.0,4347360.0,4417213.0,4487155.0,4557077.0,4627029.0,4697153.0,4767233.0,4837283.0,4909128.0,4979121.0,
1,1058,4,alonso,214,9,11,+1 Lap,78154,150365.0,222417.0,293841.0,365244.0,436623.0,508178.0,579821.0,651466.0,723202.0,794929.0,866910.0,938640.0,1010505.0,1082313.0,1153933.0,1225483.0,1297032.0,1368582.0,1439890.0,1511456.0,1582843.0,1654117.0,1725115.0,1796556.0,1867929.0,1942941.0,2030017.0,2100734.0,2171043.0,2240831.0,2310742.0,2381191.0,2451581.0,2522042.0,2592357.0,2662399.0,2732567.0,2802655.0,2872739.0,2943798.0,3014473.0,3085984.0,3156330.0,3226567.0,3296742.0,3367020.0,3436941.0,3506972.0,3577019.0,3647116.0,3717139.0,3787670.0,3858707.0,3929311.0,3999363.0,4069125.0,4139429.0,4209266.0,4279292.0,4349041.0,4418935.0,4488736.0,4558851.0,4628754.0,4698827.0,4768830.0,4838787.0,4909465.0,4980099.0,
15,1058,847,russell,3,19,5,Engine,78529,151438.0,223492.0,295256.0,366679.0,438168.0,509973.0,581514.0,653183.0,724606.0,796363.0,868253.0,939910.0,1011465.0,1083079.0,1154622.0,1226622.0,1298443.0,1370008.0,1441479.0,1512668.0,1583872.0,1655017.0,1726245.0,1800815.0,1907120.0,2019375.0,2089874.0,2160470.0,2231206.0,2302631.0,2374143.0,2445152.0,2516030.0,2587103.0,2665454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1058,817,ricciardo,1,13,11,+1 Lap,79085,151948.0,224062.0,295981.0,367291.0,438809.0,514817.0,586717.0,658612.0,730084.0,801366.0,873148.0,944604.0,1015954.0,1087518.0,1158996.0,1230990.0,1302751.0,1374576.0,1445924.0,1517402.0,1588920.0,1659863.0,1731469.0,1802579.0,1873690.0,1944927.0,2015953.0,2087133.0,2158307.0,2229371.0,2301282.0,2372800.0,2443757.0,2514700.0,2585781.0,2656300.0,2726563.0,2797019.0,2867861.0,2942121.0,3030383.0,3100381.0,3170102.0,3239407.0,3309007.0,3378672.0,3448177.0,3518223.0,3588069.0,3657596.0,3727546.0,3797208.0,3867265.0,3937058.0,4006862.0,4076900.0,4146205.0,4216058.0,4286299.0,4355837.0,4425457.0,4495024.0,4564775.0,4635333.0,4706622.0,4776944.0,4847117.0,4919039.0,4989506.0,
17,1058,852,tsunoda,213,10,11,+1 Lap,79228,152616.0,224711.0,296698.0,368372.0,439803.0,511107.0,582709.0,654326.0,725752.0,797238.0,869060.0,940690.0,1012304.0,1084023.0,1155658.0,1227476.0,1299199.0,1370952.0,1442447.0,1513694.0,1584914.0,1655974.0,1727416.0,1798970.0,1873561.0,1960553.0,2031478.0,2102197.0,2172675.0,2242867.0,2312969.0,2383275.0,2453296.0,2523244.0,2593415.0,2663673.0,2733680.0,2803695.0,2875424.0,2945074.0,3016638.0,3086906.0,3157301.0,3227330.0,3297425.0,3368061.0,3438107.0,3508251.0,3578284.0,3648445.0,3718640.0,3789060.0,3860516.0,3930849.0,4001098.0,4070971.0,4140902.0,4210803.0,4280645.0,4350522.0,4420500.0,4490468.0,4560230.0,4630036.0,4700105.0,4769896.0,4839717.0,4910143.0,4980774.0,
8,1058,832,sainz,6,6,11,+1 Lap,79536,153176.0,225534.0,297448.0,369146.0,440644.0,512760.0,584012.0,655570.0,726986.0,798392.0,869963.0,941719.0,1013167.0,1085035.0,1156558.0,1228427.0,1299978.0,1371806.0,1443324.0,1514601.0,1585739.0,1656949.0,1728131.0,1799712.0,1871492.0,1941863.0,2012472.0,2082552.0,2152529.0,2222477.0,2292193.0,2362104.0,2431934.0,2501954.0,2571950.0,2642057.0,2712130.0,2782239.0,2852495.0,2926619.0,3013299.0,3082882.0,3151966.0,3223269.0,3292653.0,3362018.0,3431172.0,3500263.0,3569525.0,3638836.0,3707992.0,3776628.0,3845571.0,3914684.0,3983533.0,4052478.0,4121506.0,4190933.0,4260189.0,4329444.0,4398920.0,4468101.0,4536710.0,4605894.0,4674904.0,4744006.0,4812934.0,4881890.0,4951243.0,
3,1058,20,vettel,117,12,11,+1 Lap,79760,153646.0,226076.0,297885.0,369729.0,441478.0,513583.0,585122.0,656967.0,728177.0,799492.0,871034.0,942503.0,1013952.0,1085700.0,1157514.0,1229475.0,1300969.0,1372650.0,1443868.0,1515304.0,1586609.0,1657742.0,1729061.0,1800603.0,1872348.0,1946711.0,2033484.0,2103462.0,2173695.0,2244039.0,2314519.0,2384915.0,2454979.0,2524900.0,2595199.0,2665319.0,2735492.0,2806872.0,2876985.0,2948523.0,3018728.0,3088761.0,3158963.0,3228991.0,3299074.0,3369267.0,3439388.0,3510613.0,3581261.0,3651463.0,3721516.0,3791681.0,3861839.0,3932529.0,4002873.0,4072856.0,4142792.0,4212895.0,4283094.0,4353214.0,4423521.0,4493467.0,4563288.0,4633356.0,4703629.0,4774868.0,4845781.0,4918329.0,4988210.0,
2,1058,8,raikkonen,51,11,11,+1 Lap,80271,154166.0,226792.0,298457.0,370460.0,442250.0,514215.0,586000.0,657895.0,729240.0,800456.0,872046.0,943440.0,1014896.0,1086441.0,1158298.0,1230061.0,1301721.0,1373493.0,1444960.0,1516430.0,1587779.0,1658817.0,1730211.0,1801472.0,1873031.0,1944143.0,2015316.0,2086370.0,2157576.0,2228443.0,2300883.0,2372086.0,2442789.0,2513640.0,2588211.0,2675434.0,2745923.0,2815749.0,2885245.0,2955990.0,3026332.0,3096386.0,3166307.0,3236118.0,3306165.0,3376214.0,3446265.0,3516188.0,3586196.0,3655920.0,3725854.0,3795830.0,3865840.0,3935961.0,4005833.0,4074961.0,4144565.0,4214552.0,4284635.0,4354689.0,4424619.0,4494171.0,4563984.0,4634137.0,4704502.0,4773752.0,4843736.0,4913692.0,4983208.0,
13,1058,844,leclerc,6,7,11,+1 Lap,80376,175218.0,245579.0,316265.0,386694.0,457270.0,527837.0,598333.0,668917.0,739593.0,810219.0,882040.0,953175.0,1024000.0,1094789.0,1165548.0,1236500.0,1307663.0,1378563.0,1449412.0,1520628.0,1591405.0,1662285.0,1733184.0,1804199.0,1875102.0,1946018.0,2017126.0,2088094.0,2159073.0,2230019.0,2301865.0,2373529.0,2444423.0,2515408.0,2586577.0,2660568.0,2747068.0,2816412.0,2885675.0,2954508.0,3023876.0,3093072.0,3162633.0,3231680.0,3300979.0,3370436.0,3439954.0,3509365.0,3579209.0,3649177.0,3719421.0,3789789.0,3859275.0,3928149.0,3997569.0,4066699.0,4136515.0,4205604.0,4274558.0,4343568.0,4412493.0,4481364.0,4550102.0,4618982.0,4687829.0,4756798.0,4825590.0,4894946.0,4963757.0,
9,1058,839,ocon,214,14,11,+1 Lap,80716,154746.0,227498.0,299240.0,371043.0,443015.0,515328.0,587383.0,659493.0,730907.0,802321.0,874047.0,945509.0,1017050.0,1088825.0,1160544.0,1232352.0,1304267.0,1376017.0,1447407.0,1518867.0,1590295.0,1661638.0,1734173.0,1805461.0,1876960.0,1948272.0,2020679.0,2091835.0,2162802.0,2233721.0,2304531.0,2375622.0,2446775.0,2517871.0,2592131.0,2678494.0,2748250.0,2817948.0,2887735.0,2957423.0,3027502.0,3097462.0,3167302.0,3236900.0,3307077.0,3377122.0,3447112.0,3517097.0,3587044.0,3656924.0,3727009.0,3798501.0,3870176.0,3940334.0,4010693.0,4080460.0,4150382.0,4220680.0,4291079.0,4361071.0,4431178.0,4501138.0,4570943.0,4640715.0,4710716.0,4781804.0,4851636.0,4921383.0,4990959.0,
18,1058,853,mazepin,210,18,13,+3 Laps,81215,155284.0,228757.0,301596.0,373590.0,445760.0,517989.0,590517.0,662744.0,735283.0,807530.0,880043.0,952637.0,1026044.0,1098735.0,1171043.0,1243502.0,1316161.0,1389369.0,1461800.0,1537900.0,1629779.0,1702658.0,1774694.0,1846396.0,1918339.0,1990143.0,2061851.0,2133268.0,2204879.0,2276358.0,2348941.0,2421161.0,2492458.0,2563782.0,2635040.0,2706196.0,2777368.0,2848319.0,2919394.0,2992635.0,3064447.0,3135905.0,3207188.0,3278558.0,3350733.0,3422493.0,3494804.0,3566696.0,3640174.0,3712534.0,3784483.0,3858295.0,3934506.0,4009977.0,4082955.0,4155056.0,4227111.0,4299349.0,4372047.0,4444053.0,4515996.0,4589295.0,4661431.0,4734225.0,4807322.0,4878943.0,4950819.0,,,
19,1058,854,mick_schumacher,210,16,12,+2 Laps,81602,155860.0,229958.0,302231.0,374414.0,446693.0,518946.0,591439.0,663929.0,736556.0,809122.0,881640.0,954850.0,1027374.0,1099786.0,1172217.0,1244730.0,1317002.0,1390231.0,1462597.0,1535291.0,1606746.0,1680404.0,1752265.0,1826443.0,1899273.0,1971092.0,2042765.0,2114596.0,2187351.0,2259177.0,2331880.0,2406763.0,2496398.0,2566769.0,2637163.0,2707716.0,2778713.0,2849383.0,2920142.0,2991070.0,3061874.0,3132719.0,3203526.0,3274566.0,3345783.0,3416918.0,3490134.0,3562707.0,3633765.0,3706688.0,3779415.0,3850106.0,3920275.0,3990420.0,4060595.0,4130600.0,4200811.0,4271067.0,4341552.0,4413631.0,4483709.0,4554250.0,4624799.0,4695428.0,4765603.0,4835787.0,4908661.0,4981861.0,,
11,1058,841,giovinazzi,51,15,11,+1 Lap,83170,156204.0,229208.0,300550.0,372544.0,444253.0,515853.0,587912.0,660180.0,731984.0,803361.0,874856.0,946545.0,1018445.0,1090145.0,1161722.0,1233093.0,1305163.0,1376874.0,1448543.0,1520187.0,1592714.0,1667767.0,1755628.0,1826800.0,1897251.0,1967625.0,2038147.0,2108442.0,2178638.0,2248944.0,2319163.0,2389296.0,2459376.0,2529626.0,2601175.0,2671215.0,2742842.0,2812565.0,2882473.0,2952339.0,3022166.0,3092088.0,3162064.0,3233324.0,3303354.0,3373525.0,3443577.0,3513621.0,3583907.0,3653976.0,3723853.0,3793890.0,3864212.0,3934930.0,4005133.0,4076309.0,4147761.0,4219530.0,4290166.0,4360471.0,4432239.0,4502747.0,4574870.0,4645126.0,4715741.0,4786255.0,4856884.0,4927311.0,4997947.0,
16,1058,849,latifi,3,17,13,+3 Laps,115792,209263.0,279852.0,350641.0,425678.0,497359.0,569153.0,640955.0,712438.0,786180.0,861347.0,933293.0,1005234.0,1077098.0,1148663.0,1220162.0,1291852.0,1363557.0,1435082.0,1506386.0,1577749.0,1649365.0,1721173.0,1792946.0,1868097.0,1956489.0,2031051.0,2106038.0,2176572.0,2246805.0,2317231.0,2387376.0,2457573.0,2527677.0,2598001.0,2669821.0,2742014.0,2813800.0,2888713.0,2959176.0,3031433.0,3102045.0,3172666.0,3243093.0,3315046.0,3386708.0,3457264.0,3527547.0,3597973.0,3668766.0,3739266.0,3809547.0,3880024.0,3950307.0,4020573.0,4090799.0,4161442.0,4232547.0,4303514.0,4374081.0,4445119.0,4516382.0,4587529.0,4658177.0,4729746.0,4801233.0,4871596.0,4942430.0,,,
